Time(s),R1(O),R2(O),R3(O),R4(O)
1734296022.122773,Potval2:,0,mapval2:,0
1734296022.1562123,95.95,90.58,97.88,99.01
1734296022.2064655,96.03,90.63,97.93,99.12
1734296022.265339,96.03,90.63,97.90,99.12
1734296022.2992792,96.03,90.63,97.90,99.12
1734296022.358605,96.00,90.63,97.90,99.12
1734296022.4116647,96.00,90.63,97.88,99.09
1734296022.4625704,96.00,90.63,97.88,99.09
1734296022.512708,95.98,90.63,97.88,99.09
1734296022.5644426,95.98,90.63,97.88,99.07
1734296022.6262827,95.98,90.63,97.85,99.07
1734296022.6683083,95.98,90.63,97.85,99.07
1734296022.7297034,95.98,90.63,97.85,99.04
1734296022.774963,95.98,90.63,97.85,99.04
1734296022.8294358,95.95,90.63,97.85,99.04
1734296022.8842676,95.93,90.65,97.85,99.01
1734296022.9477346,95.90,90.75,97.88,99.01
1734296023.0002177,95.90,90.86,97.93,99.04
1734296023.0511158,95.88,91.01,98.00,99.01
1734296023.1033266,95.85,91.17,98.05,98.99
1734296023.1579678,95.85,91.34,98.11,98.99
1734296023.2241633,95.83,91.51,98.18,98.99
1734296023.2663167,95.80,91.67,98.23,98.96
1734296023.3134158,95.80,91.84,98.29,98.94
1734296023.3636603,95.78,91.98,98.34,98.94
1734296023.431128,95.75,92.13,98.41,98.94
1734296023.4843156,95.73,92.25,98.47,98.94
1734296023.5379403,95.70,92.37,98.49,98.94
1734296023.5756235,95.68,92.49,98.52,98.94
1734296023.6371596,95.68,92.59,98.54,98.91
1734296023.68698,95.68,92.66,98.57,98.91
1734296023.731351,95.68,92.68,98.57,98.88
1734296023.7980947,95.68,92.66,98.57,98.88
1734296023.8315287,95.68,92.61,98.54,98.88
1734296023.8914366,95.68,92.54,98.52,98.91
1734296023.957055,95.68,92.46,98.49,98.91
1734296023.9904907,95.68,92.39,98.47,98.91
1734296024.0444376,95.68,92.32,98.44,98.94
1734296024.101187,95.68,92.25,98.41,98.94
1734296024.1555119,95.68,92.20,98.39,98.94
1734296024.2272866,95.68,92.15,98.36,98.91
1734296024.263933,95.68,92.13,98.34,98.91
1734296024.3163438,95.68,92.10,98.34,98.91
1734296024.3685222,95.68,92.08,98.34,98.88
1734296024.435009,95.68,92.06,98.34,98.88
1734296024.4946663,95.68,92.03,98.34,98.88
1734296024.5393815,95.68,92.01,98.34,98.88
1734296024.5996435,95.68,92.01,98.34,98.88
1734296024.6478484,95.68,92.01,98.34,98.88
1734296024.6935,95.68,92.01,98.34,98.86
1734296024.742078,95.68,92.01,98.34,98.83
1734296024.816486,95.68,92.03,98.34,98.83
1734296024.8490603,95.68,92.03,98.34,98.81
1734296024.9020133,95.68,92.06,98.34,98.81
1734296024.949398,95.68,92.08,98.34,98.81
1734296025.0024679,95.68,92.10,98.34,98.83
1734296025.0637355,95.68,92.13,98.34,98.81
1734296025.1110463,95.68,92.15,98.34,98.81
1734296025.176824,95.68,92.20,98.34,98.81
1734296025.229649,95.68,92.22,98.34,98.81
1734296025.2760756,95.68,92.25,98.34,98.81
1734296025.3405645,95.68,92.27,98.36,98.81
1734296025.379472,95.68,92.32,98.39,98.78
