Time(s),R1(O),R2(O),R3(O),R4(O)
1734295952.3515184,0,mapval2:,0,Percentage:
1734295952.394799,147619,96.03,91.65,97.85
1734295952.4440196,10,95.68,90.58,97.57
1734295952.4743679,95.68,90.58,97.57,98.76
1734295952.5305128,95.70,90.60,97.57,98.78
1734295952.5928552,95.73,90.63,97.57,98.81
1734295952.652483,95.75,90.65,97.57,98.83
1734295952.7169344,95.78,90.67,97.57,98.83
1734295952.7703793,95.80,90.67,97.57,98.86
1734295952.8127563,95.80,90.70,97.57,98.88
1734295952.864518,95.83,90.75,97.59,98.88
1734295952.9142814,95.85,90.82,97.59,98.91
1734295952.9838338,95.88,90.93,97.65,98.94
1734295953.0148404,95.90,91.08,97.70,98.94
1734295953.063665,95.90,91.22,97.75,98.96
1734295953.1222098,95.90,91.39,97.80,98.99
1734295953.1783772,95.93,91.55,97.85,98.99
1734295953.2342458,95.93,91.72,97.90,99.01
1734295953.2854488,95.93,91.89,97.95,99.04
1734295953.3393555,95.93,92.01,98.00,99.01
1734295953.3936427,95.93,92.13,98.05,99.01
1734295953.4578474,95.90,92.22,98.11,99.01
1734295953.5024955,95.90,92.32,98.16,99.01
1734295953.545974,95.88,92.42,98.21,99.01
1734295953.5989213,95.88,92.49,98.23,99.01
1734295953.6581357,95.88,92.54,98.23,99.01
1734295953.727824,95.88,92.56,98.26,99.01
1734295953.7641895,95.85,92.54,98.23,99.01
1734295953.8179762,95.85,92.49,98.21,99.01
1734295953.8781545,95.88,92.42,98.18,99.01
1734295953.9320965,95.88,92.32,98.16,99.01
1734295953.9801035,95.88,92.22,98.13,99.01
1734295954.028274,95.90,92.13,98.11,99.01
1734295954.0833883,95.90,92.03,98.08,99.01
1734295954.141315,95.90,91.96,98.05,99.01
1734295954.1945887,95.90,91.89,98.03,99.01
1734295954.2450955,95.90,91.84,98.00,99.01
1734295954.2994432,95.90,91.79,97.98,99.01
1734295954.3545618,95.93,91.77,97.95,99.01
1734295954.41427,95.93,91.74,97.95,99.01
1734295954.462148,95.93,91.72,97.95,99.01
1734295954.5234993,95.93,91.70,97.95,99.01
1734295954.559594,95.93,91.67,97.95,99.01
1734295954.6210253,95.93,91.65,97.95,99.01
1734295954.6668894,95.93,91.65,97.95,99.01
1734295954.728422,95.93,91.65,97.95,99.01
1734295954.7672813,95.93,91.65,97.95,99.01
1734295954.8268185,95.93,91.65,97.95,99.01
1734295954.8895214,95.93,91.65,97.95,99.01
1734295954.926592,95.93,91.65,97.95,99.01
1734295954.9878378,95.93,91.65,97.95,99.01
1734295955.041842,95.93,91.65,97.95,99.01
1734295955.0872147,95.93,91.65,97.95,99.01
1734295955.1431494,95.93,91.65,97.95,99.01
1734295955.2150757,95.93,91.65,97.95,99.01
1734295955.259271,95.93,91.65,97.95,99.01
1734295955.29933,95.93,91.67,97.95,99.01
1734295955.3543968,95.93,91.67,97.95,99.01
1734295955.411452,95.93,91.70,97.95,99.01
1734295955.4815807,95.93,91.72,97.95,99.01
1734295955.5186293,95.93,91.74,97.95,98.99
1734295955.5732064,95.93,91.79,97.98,98.99
1734295955.6313157,95.90,91.84,98.00,98.99
1734295955.6788158,95.90,91.89,98.03,98.99
1734295955.7287188,95.90,91.94,98.05,98.99
1734295955.7867193,95.90,91.98,98.08,98.99
1734295955.8524625,95.90,92.03,98.11,98.99
1734295955.9007137,95.90,92.08,98.13,98.99
1734295955.9522634,95.90,92.15,98.16,98.99
1734295955.9975047,95.90,92.20,98.18,98.99
1734295956.0543373,95.88,92.27,98.21,98.99
1734295956.116454,95.85,92.32,98.23,98.99
1734295956.1761165,95.85,92.39,98.26,98.99
1734295956.2311468,95.85,92.44,98.29,98.99
1734295956.3442862,95.83,92.49,98.31,98.99
1734295956.4718423,95.83,92.54,98.34,99.01
1734295956.5892854,95.80,92.56,98.34,99.01
1734295956.7170005,95.80,92.59,98.34,99.01
1734295956.840952,95.80,92.61,98.34,99.01
1734295956.9674447,95.78,92.63,98.34,99.01
1734295957.0906057,95.75,92.68,98.34,99.01
1734295957.2077835,95.75,92.73,98.34,99.01
1734295957.3410645,95.73,92.78,98.34,99.01
1734295957.4524667,95.70,92.80,98.34,99.01
1734295957.5861528,95.70,92.85,98.34,99.01
1734295957.7127345,95.70,92.88,98.34,99.01
1734295957.82644,95.70,92.88,98.34,99.01
1734295957.960484,95.70,92.90,98.34,99.01
1734295958.0726447,95.68,92.92,98.34,99.01
1734295958.206912,95.68,92.92,98.34,99.01
1734295958.3351169,95.68,92.95,98.36,99.01
1734295958.4583824,95.68,93.00,98.36,99.01
1734295958.585471,95.68,93.00,98.36,99.01
1734295958.7035697,95.68,93.02,98.36,99.01
1734295958.8267393,95.68,93.07,98.36,99.01
1734295958.9578984,95.68,93.07,98.36,99.01
1734295959.069702,95.68,93.09,98.39,98.99
1734295959.2042615,95.68,93.12,98.39,98.99
1734295959.32514,95.68,93.12,98.39,98.99
1734295959.4548419,95.68,93.14,98.41,98.96
1734295959.5808363,95.68,93.17,98.41,98.96
1734295959.7069874,95.68,93.19,98.44,98.96
1734295959.8248649,95.68,93.21,98.47,98.96
1734295959.9576066,95.68,93.24,98.49,98.99
1734295960.080694,95.68,93.29,98.52,98.99
1734295960.2053628,95.68,93.31,98.52,98.96
1734295960.32741,95.68,93.31,98.52,98.96
1734295960.4396827,95.68,93.36,98.54,98.96
1734295960.5802407,95.68,93.39,98.57,98.94
1734295960.7030795,95.68,93.39,98.57,98.94
1734295960.8252118,95.68,93.41,98.59,98.91
1734295960.9527004,95.68,93.43,98.59,98.91
1734295961.0742657,95.68,93.43,98.62,98.91
1734295961.1984544,95.68,93.46,98.65,98.91
1734295961.3250532,95.68,93.48,98.65,98.91
1734295961.4526317,95.68,93.48,98.67,98.91
1734295961.5669303,95.68,93.51,98.67,98.88
1734295961.6941853,95.68,93.53,98.65,98.86
1734295961.8252025,95.68,93.53,98.65,98.86
1734295961.9420953,95.68,93.56,98.65,98.86
1734295962.0733953,95.68,93.58,98.62,98.86
1734295962.1883564,95.68,93.58,98.65,98.88
1734295962.3149974,95.68,93.60,98.65,98.88
1734295962.4378705,95.68,93.63,98.62,98.88
1734295962.5710437,95.68,93.63,98.65,98.91
1734295962.6907613,95.68,93.65,98.65,98.94
1734295962.8205569,95.68,93.65,98.65,98.96
1734295962.9477973,95.68,93.68,98.65,98.99
1734295963.070677,95.68,93.70,98.65,98.96
1734295963.1972477,95.68,93.70,98.62,98.96
1734295963.307659,95.68,93.73,98.62,98.96
1734295963.4466915,95.68,93.75,98.62,98.96
1734295963.5698678,95.68,93.75,98.65,98.96
1734295963.693261,95.68,93.78,98.65,98.96
1734295963.8200796,95.68,93.80,98.65,98.94
1734295963.9364169,95.68,93.80,98.67,98.94
1734295964.060053,95.68,93.82,98.67,98.91
1734295964.1926544,95.68,93.85,98.67,98.88
1734295964.31491,95.70,93.85,98.70,98.88
1734295964.4394848,95.70,93.90,98.70,98.86
1734295964.5588856,95.70,93.92,98.70,98.83
1734295964.692399,95.70,93.92,98.70,98.81
1734295964.8153353,95.70,93.95,98.70,98.78
1734295964.9351413,95.70,93.97,98.70,98.81
1734295965.0554912,95.70,93.97,98.72,98.81
1734295965.1873994,95.70,94.00,98.72,98.81
1734295965.3150127,95.70,94.02,98.72,98.81
1734295965.4346323,95.70,94.02,98.72,98.81
1734295965.5646946,95.70,94.04,98.72,98.78
1734295965.6846614,95.70,94.04,98.75,98.78
1734295965.8030314,95.70,94.07,98.77,98.78
1734295965.9297945,95.70,94.09,98.77,98.78
1734295966.060071,95.70,94.09,98.77,98.78
1734295966.1862903,95.68,94.12,98.77,98.78
1734295966.2956624,95.68,94.12,98.77,98.78
1734295966.4312587,95.70,94.12,98.77,98.78
1734295966.5601723,95.70,94.14,98.77,98.78
1734295966.6858602,95.70,94.14,98.77,98.78
1734295966.8096704,95.70,94.14,98.80,98.76
1734295966.9310045,95.70,94.17,98.80,98.76
