Time(s),R1(O),R2(O),R3(O),R4(O)
1734287098.9516258,64.00,56.87,63.23,65.06
1734287098.975092,64.27,57.11,63.47,65.27
1734287099.026326,64.29,57.16,63.59,65.37
1734287099.0825424,64.36,57.44,63.76,65.32
1734287099.1298437,64.48,57.41,63.90,65.25
1734287099.1780345,64.48,57.31,63.96,65.21
1734287099.2267773,64.36,57.38,64.03,65.32
1734287099.288379,64.71,57.38,63.95,65.18
1734287099.3356512,64.74,57.28,64.02,65.28
1734287099.3896918,64.57,57.53,64.17,65.23
1734287099.4535923,64.43,57.56,64.15,65.30
1734287099.496356,64.41,57.47,64.24,65.21
1734287099.5616436,64.27,57.53,64.33,65.37
1734287099.6060812,64.22,57.42,64.17,65.65
1734287099.6605024,64.41,57.36,64.05,65.49
1734287099.723129,64.45,57.45,64.15,65.39
1734287099.773189,64.05,57.30,63.83,65.23
1734287099.8252816,64.00,57.33,63.67,65.01
1734287099.8841593,63.78,57.09,63.83,65.04
1734287099.9477658,63.81,57.20,63.78,65.23
1734287099.9998598,63.74,57.17,63.74,65.58
1734287100.0543084,63.98,57.03,63.54,65.30
1734287100.101296,63.72,57.16,63.52,65.28
1734287100.1483457,63.57,57.31,63.57,65.30
1734287100.2033205,63.66,57.12,63.37,65.23
1734287100.2658386,63.90,57.16,63.50,65.08
1734287100.32158,63.71,57.19,63.49,65.21
1734287100.3930717,63.76,57.20,63.50,65.21
1734287100.4314861,63.91,57.22,63.52,64.78
1734287100.4815407,63.86,57.23,63.50,64.73
1734287100.5343325,63.67,57.39,63.55,64.80
1734287100.5897548,63.67,57.36,63.59,64.64
1734287100.638158,63.71,57.19,63.72,64.69
1734287100.6944435,63.72,57.19,63.49,64.88
1734287100.748629,63.52,57.01,63.25,64.83
1734287100.7999897,63.67,57.03,63.26,64.61
1734287100.849931,63.60,57.00,63.23,64.59
1734287100.9031374,63.62,57.19,63.31,64.66
1734287100.948421,63.60,57.17,63.33,64.68
1734287101.0008163,63.60,57.01,63.47,64.69
1734287101.0544717,63.60,57.01,63.26,64.73
1734287101.1075532,63.74,56.97,63.25,65.02
1734287101.1771598,63.90,56.98,63.25,64.76
1734287101.2219162,63.81,56.97,63.21,64.71
1734287101.2765718,63.79,57.14,63.28,64.74
1734287101.3387413,63.79,57.11,63.30,64.74
1734287101.3895192,63.81,56.95,63.42,64.76
1734287101.4568226,63.83,56.97,63.38,64.78
1734287101.5037026,63.84,56.98,63.38,64.76
