imgnum,timestamp,Angle1(deg),Angle2(deg)
0,1734296729.4544106,-5.874061394422483,4.927109947649015
1,1734296729.4923384,-5.874061394422483,4.927109947649015
2,1734296729.5476763,-5.840043821989482,4.885202568117293
3,1734296729.5974963,-5.874061394422483,4.927109947649015
4,1734296729.6482267,-5.881951201521204,4.927109947649015
5,1734296729.6995218,-5.874061394422483,4.927109947649015
6,1734296729.7527127,-5.881951201521204,4.927109947649015
7,1734296729.8052893,-5.874061394422483,4.927109947649015
8,1734296729.8570356,-5.881951201521204,4.927109947649015
9,1734296729.911282,-5.881951201521204,4.927109947649015
10,1734296729.9632137,-5.881951201521204,4.927109947649015
11,1734296730.0160122,-5.881951201521204,4.927109947649015
12,1734296730.0692453,-5.881951201521204,4.927109947649015
13,1734296730.1198382,-5.400618006383951,4.927109947649015
14,1734296730.1798365,-5.874061394422483,4.927109947649015
15,1734296730.228217,-5.881951201521204,4.927109947649015
16,1734296730.2809713,-5.881951201521204,4.927109947649015
17,1734296730.336929,-5.881951201521204,4.927109947649015
18,1734296730.392635,-5.874061394422483,4.927109947649015
19,1734296730.444643,-5.874061394422483,4.927109947649015
20,1734296730.4968007,-5.881951201521204,4.927109947649015
21,1734296730.5515153,-5.881951201521204,4.927109947649015
22,1734296730.6019251,-5.881951201521204,4.927109947649015
23,1734296730.6512525,-5.881951201521204,4.927109947649015
24,1734296730.7139485,-5.874061394422483,4.927109947649015
25,1734296730.7645507,-5.881951201521204,4.927109947649015
26,1734296730.8151515,-5.881951201521204,4.927109947649015
27,1734296730.864667,-5.874061394422483,4.927109947649015
28,1734296730.9138649,-5.874061394422483,4.927109947649015
29,1734296730.966391,-5.881951201521204,4.927109947649015
30,1734296731.0143292,-5.881951201521204,4.927109947649015
31,1734296731.071502,-5.881951201521204,4.927109947649015
32,1734296731.1225429,-5.400618006383951,4.927109947649015
33,1734296731.1722493,-5.874061394422483,4.927109947649015
34,1734296731.22425,-5.874061394422483,4.927109947649015
35,1734296731.2779636,-5.400618006383951,4.927109947649015
36,1734296731.3272083,-5.881951201521204,4.927109947649015
37,1734296731.379929,-5.400618006383951,4.927109947649015
38,1734296731.432632,-5.881951201521204,4.927109947649015
