Time(s),R1(O),R2(O),R3(O),R4(O)
1734289261.399041,57.11,50.59,62.22,58.55
1734289261.4151788,57.60,51.14,63.03,59.29
1734289261.4792976,57.98,51.56,63.54,59.52
1734289261.5235553,58.63,51.97,63.60,59.50
1734289261.600496,58.95,52.11,63.49,59.42
1734289261.6310127,58.88,52.13,63.33,59.34
1734289261.6887958,58.80,52.13,63.35,59.83
1734289261.740032,58.77,52.63,64.10,60.18
1734289261.8050098,59.27,53.02,64.41,60.23
1734289261.846035,59.55,53.07,64.48,60.20
1734289261.9044266,59.92,53.47,64.52,60.41
1734289261.956416,59.85,53.41,64.81,61.09
1734289262.0057774,59.90,53.37,64.69,61.09
1734289262.068653,60.54,53.49,64.57,61.12
1734289262.1140938,60.56,53.86,65.04,61.62
1734289262.1836119,60.67,53.81,64.91,61.55
1734289262.2248178,60.49,53.38,63.98,60.71
1734289262.2767339,60.33,53.49,64.10,60.69
1734289262.3327956,59.59,53.08,63.95,61.20
1734289262.3874109,59.35,53.02,64.00,61.20
1734289262.4446328,59.85,53.41,64.43,61.32
1734289262.49355,59.85,53.40,65.21,61.45
1734289262.554888,59.89,52.83,64.39,61.02
1734289262.605029,59.74,52.46,63.95,61.01
1734289262.6533113,59.40,52.80,64.34,61.52
1734289262.7061908,59.01,52.35,64.12,61.80
1734289262.7605588,59.35,52.41,63.67,61.04
1734289262.8134332,59.81,52.91,63.71,61.12
1734289262.8737009,59.21,52.73,64.17,61.57
1734289262.9202826,59.34,52.42,63.54,60.99
1734289262.9781237,59.69,52.71,63.57,60.99
1734289263.05167,59.29,53.02,64.22,61.64
1734289263.0979276,59.03,52.52,63.49,61.35
1734289263.1424026,59.27,52.51,63.54,60.77
1734289263.1939871,59.42,52.80,64.21,61.10
1734289263.2399073,58.92,52.35,63.88,61.72
1734289263.296226,59.09,52.33,62.91,61.10
1734289263.367797,59.58,52.82,63.03,61.32
1734289263.411158,59.17,52.77,63.54,61.95
1734289263.4584439,59.35,52.33,62.87,61.39
1734289263.528469,60.00,52.48,62.89,60.82
1734289263.5903413,59.76,52.94,63.52,61.24
1734289263.6368604,59.32,52.49,63.40,61.57
1734289263.6833537,59.40,52.67,62.87,61.01
1734289263.7329972,59.64,53.13,63.06,61.19
1734289263.7919805,59.09,52.89,63.62,61.82
1734289263.8376462,59.22,52.42,63.01,61.19
1734289263.8911133,59.74,52.46,63.11,61.20
1734289263.946604,59.48,52.79,63.72,62.00
1734289264.0133097,59.22,52.35,62.94,61.77
1734289264.0468268,59.50,52.41,62.81,61.14
1734289264.1205168,59.69,52.85,63.43,61.45
1734289264.1714356,59.26,52.36,63.18,61.77
1734289264.2148654,59.53,52.36,62.64,61.02
1734289264.2891812,59.87,52.91,62.98,61.12
1734289264.3291874,59.26,52.86,63.60,61.70
1734289264.3934236,59.22,52.46,62.99,61.29
1734289264.4453588,59.61,52.61,63.08,60.79
1734289264.4814675,59.47,52.98,63.91,61.29
1734289264.5429244,59.03,52.42,63.79,61.65
1734289264.6020265,59.26,52.39,63.25,61.04
1734289264.6448307,59.59,52.82,63.35,61.32
1734289264.69938,59.05,52.68,63.66,62.05
1734289264.7486467,59.17,52.32,62.87,61.35
1734289264.8030138,59.84,52.49,62.91,61.37
1734289264.8518891,59.64,52.85,63.52,61.85
1734289264.9830434,59.47,52.39,62.87,61.49
1734289265.1128995,59.74,52.58,62.87,60.94
1734289265.2320054,59.74,53.13,63.54,61.24
1734289265.372615,59.22,52.66,63.26,61.70
1734289265.499277,59.29,52.70,62.67,61.10
1734289265.6272092,59.72,53.04,63.04,61.22
1734289265.754218,59.19,52.86,63.72,61.92
1734289265.8733983,59.22,52.32,62.98,61.45
1734289266.0117326,59.61,52.39,62.91,61.01
1734289266.139458,59.40,52.79,63.38,61.54
1734289266.2663572,58.98,52.33,63.13,61.85
1734289266.3905392,59.32,52.39,62.64,61.09
1734289266.5181592,59.79,52.88,62.72,61.17
1734289266.6510103,59.19,52.70,63.20,61.62
1734289266.7825675,59.24,52.86,63.25,61.37
1734289266.9087644,59.76,53.32,63.49,61.39
1734289267.036576,59.58,53.34,63.52,61.39
1734289267.1673467,59.29,52.82,62.82,61.10
1734289267.2981837,59.27,52.85,63.52,61.19
1734289267.41643,59.63,53.28,64.31,61.45
1734289267.5522168,59.71,53.01,64.15,61.39
1734289267.6790426,59.81,52.98,63.49,60.71
1734289267.8148572,59.72,52.97,63.38,61.29
1734289267.9333668,59.30,53.28,64.14,61.75
1734289268.065742,59.92,53.34,63.78,61.45
1734289268.1918125,60.26,53.44,63.83,60.97
1734289268.3303895,59.94,53.38,63.79,61.05
1734289268.4489236,59.43,52.86,64.21,61.45
1734289268.5822387,59.89,53.38,64.34,61.15
1734289268.7190354,60.49,53.13,63.83,60.87
1734289268.8436503,59.92,52.71,63.59,60.81
1734289268.9761233,59.69,52.57,63.52,60.86
1734289269.1033363,59.69,52.74,64.21,61.45
1734289269.235485,60.23,53.26,63.95,61.01
1734289269.3534276,60.28,52.98,63.35,60.76
1734289269.4927917,59.79,52.80,63.16,60.74
1734289269.616873,59.79,52.79,63.14,61.37
1734289269.7506552,59.90,53.22,63.98,61.27
1734289269.869553,60.62,53.23,63.57,61.01
1734289269.9988575,60.36,52.89,63.50,60.94
1734289270.1316903,60.07,52.86,63.50,60.96
1734289270.264554,60.15,52.94,64.08,61.69
1734289270.3942275,60.70,53.55,64.27,61.54
1734289270.5140343,61.02,53.38,63.79,61.39
1734289270.64976,60.66,53.17,63.67,61.42
1734289270.7828913,60.74,53.17,63.71,61.94
1734289270.9100926,60.97,53.63,64.69,62.59
1734289271.0416167,61.78,54.10,64.67,62.20
1734289271.1671271,61.73,53.80,64.74,62.10
1734289271.294859,61.30,53.65,64.71,62.15
1734289271.4270303,61.30,53.77,65.25,62.79
1734289271.5578215,61.38,54.40,66.85,62.61
1734289271.6835053,62.00,54.45,66.60,62.27
1734289271.802383,61.66,54.17,67.31,62.09
1734289271.943142,61.40,54.07,67.42,62.04
1734289272.0610273,61.43,54.07,69.40,62.78
1734289272.1956725,62.00,54.57,70.29,62.37
1734289272.3322546,62.15,54.23,70.98,62.19
1734289272.459343,61.48,53.95,72.00,62.15
1734289272.5819259,61.30,53.87,73.52,62.62
1734289272.7139008,61.28,54.31,75.42,62.78
1734289272.84663,61.90,54.40,74.73,62.25
1734289272.975308,61.63,53.95,74.32,62.10
1734289273.10615,61.23,53.74,73.56,62.05
1734289273.2271233,61.13,53.68,73.40,62.61
