Time(s),R1(O),R2(O),R3(O),R4(O)
1734287436.636647,mapval2:,171,Percentage:,67
1734287436.6726162,61.00,56.52,62.91.28,61.85
1734287436.7273312,61.00,56.52,62.91Resistance:,10
1734287436.7723815,64.52,59.22,67.28,65.32
1734287436.8407583,64.14,59.30,67.46,65.44
1734287436.878794,64.45,59.66,67.42,65.08
1734287436.9339297,64.31,59.53,67.19,64.61
1734287436.9828374,63.86,59.21,66.74,64.09
1734287437.034992,63.38,58.88,66.39,64.17
1734287437.102138,62.91,58.95,66.83,64.40
1734287437.1476617,63.06,59.09,66.81,64.09
1734287437.1915104,63.03,58.84,66.48,63.80
1734287437.2602506,62.89,58.95,66.74,63.64
1734287437.3139486,62.49,58.52,66.33,63.92
1734287437.377724,62.32,58.13,65.79,63.42
1734287437.4162054,62.57,58.34,65.49,63.03
1734287437.4798808,62.23,57.98,65.49,63.18
1734287437.527114,61.98,57.71,64.86,62.69
1734287437.5733476,61.65,57.52,64.17,62.20
1734287437.623806,61.56,57.67,64.12,61.97
1734287437.6774645,60.84,57.05,63.64,62.39
1734287437.7311954,60.72,56.83,63.42,62.37
1734287437.7888849,61.20,57.25,63.69,62.57
1734287437.83641,61.22,57.14,64.08,62.83
1734287437.8842342,61.32,56.67,63.04,62.24
1734287437.9431772,61.37,56.25,62.47,62.19
1734287437.9912732,60.97,56.58,62.77,62.78
1734287438.0374882,60.84,56.07,61.88,62.47
1734287438.0866318,61.13,56.14,61.66,61.72
1734287438.1389945,61.18,56.69,62.22,61.94
1734287438.1927626,60.62,56.20,61.93,62.44
1734287438.2490811,60.64,56.34,61.35,61.80
1734287438.305253,61.00,56.86,61.60,61.89
1734287438.3588364,60.62,56.76,62.28,62.59
1734287438.4082994,60.69,56.16,61.68,62.22
1734287438.458709,61.07,56.13,61.73,61.70
1734287438.512792,60.87,56.56,62.32,62.17
1734287438.5608473,60.41,56.03,61.83,62.66
1734287438.6122622,60.62,56.11,61.17,61.97
1734287438.660394,61.10,56.66,61.45,62.12
1734287438.7275467,60.61,56.52,61.93,62.61
1734287438.7646825,60.84,56.10,61.33,61.82
1734287438.8221202,61.25,56.28,61.40,61.80
1734287438.8703845,60.98,56.81,62.03,62.46
1734287438.9435935,60.70,56.38,61.38,62.30
1734287438.9785707,60.75,56.44,61.38,61.70
1734287439.0321162,60.95,56.75,62.15,61.97
1734287439.0885265,60.39,56.10,62.05,62.54
1734287439.1342075,60.56,55.99,61.45,61.87
1734287439.1902583,61.05,56.50,61.47,62.09
1734287439.2402885,60.66,56.47,61.86,62.89
1734287439.2895358,60.74,55.97,61.08,62.52
1734287439.3508034,61.23,56.08,61.10,61.97
1734287439.4115734,61.15,56.56,61.71,62.15
1734287439.4608757,60.75,56.03,61.38,62.42
1734287439.4973812,60.90,56.24,60.87,61.80
1734287439.5577316,61.15,56.87,61.23,61.95
1734287439.6055684,60.56,56.78,61.75,62.57
1734287439.6593566,60.56,56.34,61.15,61.92
1734287439.7310433,61.10,56.33,61.33,61.87
1734287439.7847714,60.90,56.62,62.07,62.59
1734287439.8374207,60.61,56.13,61.37,62.42
1734287439.8912704,60.80,56.16,61.20,61.89
1734287439.9347494,60.98,56.66,61.61,62.20
