Time(s),R1(O),R2(O),R3(O),R4(O)
0.0,120.34,334.86,307.02,140.41
0.01,120.34,334.99,307.02,140.41
0.01,120.30,334.99,307.02,140.38
0.01,120.30,334.99,307.14,140.34
0.01,120.30,335.12,307.14,140.30
0.01,120.30,335.26,307.14,140.34
0.01,120.30,335.26,307.14,140.38
0.01,120.30,335.12,307.14,140.38
0.02,120.30,335.12,307.14,140.38
0.02,120.30,335.12,307.14,140.38
0.03,120.30,335.12,307.14,140.38
0.03,120.27,335.12,307.14,140.38
0.03,120.27,335.12,307.14,140.38
0.03,120.27,334.99,307.14,140.38
0.03,120.27,334.99,307.14,140.38
0.03,120.27,334.99,307.14,140.38
0.03,120.27,334.86,307.14,140.38
0.04,120.27,334.86,307.14,140.38
0.04,120.27,334.99,307.02,140.38
0.04,120.27,334.86,307.02,140.38
0.04,120.27,334.86,307.02,140.34
0.05,120.27,334.73,307.02,140.30
0.05,120.27,334.73,307.02,140.30
0.05,120.27,334.73,307.02,140.30
0.05,120.27,334.73,307.02,140.30
0.06,120.27,334.73,307.02,140.30
0.06,120.27,334.73,307.02,140.30
0.06,120.30,334.73,307.14,140.30
0.06,120.34,334.73,307.14,140.34
0.06,120.37,334.86,307.14,140.38
0.06,120.40,334.86,307.14,140.41
0.07,120.43,334.86,307.14,140.45
0.07,120.46,334.86,307.14,140.49
0.08,120.50,334.73,307.14,140.53
0.11,120.56,334.73,307.14,140.57
0.15,120.62,334.60,307.14,140.61
0.18,120.69,334.60,307.25,140.68
0.23,120.75,334.73,307.25,140.76
0.26,120.82,334.86,307.25,140.84
0.3,120.88,334.86,307.25,140.92
0.33,120.98,334.86,307.37,140.99
0.37,121.08,334.86,307.37,141.07
0.4,121.14,334.99,307.37,141.15
0.43,121.20,334.99,307.37,141.19
0.47,121.27,334.86,307.37,141.22
0.51,121.33,334.86,307.37,141.26
0.54,121.40,334.99,307.37,141.30
0.58,121.46,335.12,307.37,141.38
0.61,121.53,335.12,307.37,141.46
0.64,121.56,335.26,307.37,141.53
0.68,121.59,335.39,307.37,141.61
0.72,121.63,335.52,307.25,141.65
0.75,121.66,335.39,307.25,141.69
0.79,121.69,335.39,307.37,141.73
0.83,121.76,335.52,307.37,141.77
0.86,121.82,335.65,307.37,141.88
0.9,121.92,335.78,307.48,142.08
0.93,122.11,335.78,307.48,142.39
0.97,122.37,335.91,307.60,142.82
1.01,122.70,336.04,307.71,143.33
1.04,123.06,336.31,307.82,143.89
1.08,123.42,336.44,307.94,144.44
1.11,123.75,336.44,308.05,144.96
1.14,124.05,336.70,308.17,145.44
1.18,124.35,336.70,308.28,145.92
1.21,124.62,336.70,308.40,146.37
1.25,124.89,336.70,308.51,146.77
1.29,125.12,336.83,308.63,147.18
1.31,125.35,336.83,308.63,147.59
1.36,125.56,336.83,308.74,148.00
1.39,125.72,336.83,308.74,148.33
1.43,125.86,336.83,308.74,148.57
1.46,125.89,336.83,308.74,148.70
1.5,125.86,336.83,308.74,148.70
1.53,125.76,336.83,308.63,148.61
1.57,125.62,336.70,308.63,148.49
1.6,125.49,336.57,308.63,148.37
1.64,125.35,336.57,308.63,148.20
1.68,125.29,336.44,308.51,148.08
1.71,125.22,336.44,308.51,147.96
1.75,125.15,336.44,308.51,147.87
1.78,125.09,336.44,308.51,147.83
1.81,125.05,336.44,308.40,147.79
1.85,125.02,336.44,308.40,147.75
1.89,124.99,336.44,308.40,147.71
1.92,124.95,336.44,308.40,147.67
1.96,124.92,336.44,308.40,147.63
2.0,124.88,336.44,308.40,147.59
2.03,124.85,336.44,308.28,147.55
2.07,124.82,336.44,308.40,147.51
2.1,124.78,336.44,308.28,147.47
2.13,124.75,336.44,308.28,147.42
2.17,124.75,336.44,308.28,147.42
2.21,124.72,336.44,308.40,147.42
2.24,124.68,336.44,308.28,147.42
2.28,124.68,336.44,308.28,147.42
2.31,124.68,336.44,308.17,147.42
2.35,124.68,336.31,308.28,147.42
2.39,124.68,336.31,308.17,147.42
2.42,124.68,336.31,308.17,147.42
2.46,124.68,336.31,308.05,147.42
2.49,124.68,336.31,307.94,147.42
2.52,124.68,336.31,307.94,147.42
2.56,124.68,336.31,307.94,147.42
2.59,124.68,336.31,307.82,147.42
2.63,124.68,336.31,307.82,147.42
2.67,124.68,336.31,307.82,147.42
2.7,124.68,336.31,307.71,147.42
2.74,124.68,336.31,307.60,147.42
2.77,124.68,336.31,307.60,147.42
2.81,124.68,336.31,307.48,147.42
2.84,124.68,336.31,307.48,147.42
2.88,124.68,336.44,307.37,147.42
2.91,124.68,336.44,307.48,147.42
2.95,124.68,336.44,307.37,147.42
2.98,124.68,336.44,307.37,147.42
3.01,124.68,336.44,307.37,147.38
