Time(s),R1(O),R2(O),R3(O),R4(O)
0.0,162.11,254.03,201.47,213.72
0.0,162.11,254.11,201.47,213.72
0.0,162.11,254.11,201.47,213.65
0.0,162.06,254.11,201.47,213.65
0.0,162.06,254.03,201.47,213.65
0.01,162.11,253.94,201.47,213.58
0.01,162.15,253.94,201.47,213.58
0.01,162.11,254.03,201.47,213.58
0.01,162.11,254.03,201.47,213.65
0.02,162.11,254.03,201.47,213.65
0.02,162.15,254.11,201.47,213.65
0.02,162.11,254.11,201.47,213.72
0.02,162.15,254.20,201.47,213.72
0.02,162.15,254.20,201.47,213.72
0.02,162.15,254.20,201.47,213.72
0.02,162.15,254.20,201.47,213.72
0.03,162.11,254.11,201.47,213.65
0.03,162.06,254.03,201.47,213.65
0.03,162.06,254.03,201.47,213.58
0.04,162.01,254.03,201.47,213.58
0.04,161.97,254.03,201.47,213.58
0.04,161.92,254.03,201.47,213.65
0.04,161.92,253.94,201.47,213.58
0.05,161.92,253.94,201.47,213.58
0.05,161.92,253.94,201.41,213.58
0.05,161.92,253.86,201.41,213.52
0.05,161.97,253.77,201.41,213.52
0.06,161.92,253.77,201.41,213.45
0.06,161.92,253.77,201.41,213.38
0.06,161.92,253.77,201.41,213.38
0.06,161.88,253.86,201.41,213.32
0.06,161.92,253.86,201.41,213.38
0.06,161.92,253.86,201.41,213.38
0.08,161.97,253.86,201.41,213.38
0.12,161.97,253.94,201.41,213.45
0.14,161.97,253.94,201.41,213.52
0.19,162.01,253.94,201.41,213.52
0.23,162.01,253.94,201.41,213.52
0.26,161.97,254.03,201.41,213.45
0.3,161.97,254.11,201.47,213.52
0.33,161.92,254.11,201.47,213.52
0.36,161.92,254.11,201.47,213.45
0.39,161.97,254.03,201.47,213.52
0.43,161.97,254.03,201.47,213.58
0.47,161.97,254.11,201.47,213.58
0.51,161.97,254.03,201.47,213.65
0.54,161.92,254.03,201.47,213.58
0.58,161.92,254.03,201.47,213.65
0.61,161.92,254.03,201.47,213.72
0.64,161.92,253.94,201.47,213.72
0.68,161.92,254.03,201.47,213.65
0.72,161.92,254.03,201.47,213.58
0.76,161.92,254.03,201.47,213.65
0.79,161.92,254.03,201.47,213.72
0.83,161.92,253.94,201.47,213.72
0.86,161.92,253.94,201.47,213.78
0.9,161.88,253.94,201.47,213.78
0.92,161.88,253.94,201.47,213.78
0.96,161.83,253.94,201.47,213.72
1.0,161.83,253.86,201.47,213.72
1.03,161.88,253.86,201.47,213.72
1.08,161.92,253.94,201.47,213.72
1.11,161.97,253.94,201.47,213.72
1.14,161.97,253.94,201.47,213.65
1.18,161.97,253.94,201.47,213.65
1.21,161.97,253.86,201.47,213.72
1.24,161.92,253.86,201.47,213.78
1.28,161.97,253.86,201.47,213.78
1.31,161.97,253.86,201.47,213.72
1.36,162.01,253.86,201.47,213.72
1.39,162.01,253.86,201.47,213.72
1.43,162.06,253.86,201.47,213.78
1.46,162.01,253.86,201.47,213.78
1.5,162.06,253.86,201.47,213.78
1.52,162.01,253.86,201.47,213.78
1.57,161.97,253.94,201.47,213.72
1.61,161.97,253.86,201.47,213.72
1.64,161.92,253.86,201.47,213.65
1.68,161.88,253.86,201.47,213.72
1.71,161.88,253.86,201.47,213.65
1.75,161.92,253.86,201.47,213.58
1.78,161.92,253.86,201.47,213.52
1.81,161.88,253.86,201.47,213.52
1.85,161.88,253.86,201.47,213.52
1.89,161.83,253.86,201.47,213.52
1.92,161.83,253.86,201.47,213.45
1.96,161.78,253.94,201.47,213.45
2.0,161.78,253.94,201.47,213.38
2.03,161.74,253.94,201.47,213.38
2.06,161.74,253.94,201.47,213.38
2.1,161.74,253.86,201.47,213.45
2.13,161.69,253.86,201.47,213.45
2.17,161.69,253.86,201.47,213.45
2.21,161.69,253.86,201.47,213.38
2.24,161.69,253.86,201.47,213.38
2.28,161.65,253.86,201.47,213.45
2.31,161.65,253.86,201.47,213.52
2.35,161.65,253.86,201.47,213.45
2.38,161.65,253.77,201.47,213.45
2.42,161.65,253.77,201.47,213.38
2.46,161.69,253.77,201.47,213.45
2.49,161.69,253.69,201.47,213.38
2.53,161.69,253.69,201.47,213.45
2.56,161.69,253.69,201.47,213.45
2.6,161.69,253.69,201.47,213.38
2.63,161.69,253.69,201.47,213.32
2.66,161.74,253.69,201.47,213.32
2.69,161.74,253.69,201.47,213.38
2.73,161.74,253.69,201.47,213.38
2.77,161.74,253.69,201.47,213.38
2.81,161.74,253.69,201.47,213.32
2.84,161.78,253.77,201.47,213.25
2.88,161.78,253.77,201.47,213.25
2.91,161.78,253.86,201.47,213.25
2.95,161.78,253.86,201.47,213.32
2.97,161.74,253.86,201.47,213.25
3.01,161.78,253.86,201.47,213.32
3.06,161.83,253.86,201.47,213.25
3.09,161.83,253.86,201.47,213.32
3.13,161.83,253.86,201.47,213.32
3.16,161.83,253.86,201.47,213.32
3.2,161.78,253.86,201.47,213.38
3.23,161.78,253.86,201.47,213.32
3.26,161.78,253.77,201.47,213.32
3.3,161.78,253.77,201.47,213.32
3.34,161.78,253.77,201.47,213.38
3.38,161.74,253.69,201.47,213.45
3.41,161.74,253.69,201.47,213.45
3.45,161.78,253.60,201.47,213.45
3.48,161.83,253.69,201.47,213.38
3.51,161.83,253.69,201.47,213.45
3.54,161.78,253.69,201.47,213.45
3.58,161.74,253.69,201.47,213.45
3.62,161.74,253.69,201.47,213.38
3.66,161.74,253.69,201.47,213.38
3.69,161.78,253.69,201.47,213.45
3.73,161.78,253.69,201.47,213.38
3.76,161.78,253.69,201.47,213.38
3.79,161.78,253.77,201.47,213.38
3.83,161.78,253.77,201.47,213.38
3.86,161.78,253.77,201.47,213.32
3.9,161.78,253.77,201.47,213.25
3.94,161.78,253.77,201.47,213.32
3.97,161.74,253.77,201.47,213.32
4.01,161.74,253.69,201.47,213.32
4.05,161.74,253.69,201.41,213.32
4.08,161.74,253.69,201.41,213.32
4.11,161.74,253.69,201.41,213.32
4.14,161.74,253.69,201.41,213.38
4.18,161.74,253.69,201.41,213.38
4.22,161.69,253.77,201.41,213.32
4.26,161.69,253.77,201.41,213.32
4.29,161.69,253.77,201.41,213.32
4.33,161.69,253.86,201.41,213.38
4.36,161.69,253.86,201.41,213.38
4.4,161.69,253.94,201.41,213.38
4.42,161.69,253.94,201.41,213.38
4.46,161.69,253.94,201.41,213.32
4.51,161.69,253.94,201.41,213.38
4.54,161.65,254.03,201.41,213.45
4.58,161.65,254.03,201.47,213.38
4.61,161.65,254.03,201.47,213.32
