Time(s),R1(O),R2(O),R3(O),R4(O)
0.0,122.18,328.68,300.29,150.48
0.0,122.18,328.68,300.29,150.48
0.0,122.18,328.68,300.29,150.48
0.0,122.18,328.68,300.29,150.48
0.0,122.18,328.68,300.29,150.48
0.0,122.18,328.68,300.29,150.48
0.0,122.18,328.68,300.29,150.53
0.0,122.18,328.68,300.29,150.61
0.0,122.18,328.68,300.29,150.65
0.0,122.18,328.68,300.40,150.69
0.0,122.18,328.68,300.40,150.73
0.0,122.18,328.68,300.40,150.78
0.0,122.18,328.68,300.40,150.82
0.0,122.21,328.68,300.40,150.82
0.0,122.21,328.68,300.40,150.82
0.0,122.21,328.68,300.40,150.82
0.0,122.21,328.68,300.40,150.86
0.0,122.21,328.68,300.40,150.90
0.1,122.21,328.68,300.40,150.94
0.1,122.21,328.68,300.40,151.03
0.1,122.21,328.68,300.40,151.20
0.1,122.21,328.68,300.40,151.28
0.1,122.21,328.68,300.40,151.32
0.1,122.21,328.68,300.40,151.32
0.1,122.21,328.68,300.29,151.37
0.1,122.21,328.68,300.29,151.37
0.1,122.21,328.68,300.29,151.37
0.1,122.21,328.68,300.29,151.41
0.1,122.21,328.68,300.29,151.49
0.1,122.21,328.56,300.29,151.58
0.1,122.21,328.56,300.29,151.70
0.1,122.21,328.56,300.29,151.87
0.1,122.21,328.56,300.29,151.83
0.1,122.21,328.56,300.29,151.79
0.1,122.21,328.43,300.29,151.66
0.1,122.21,328.43,300.29,151.45
0.2,122.21,328.43,300.29,151.28
0.2,122.21,328.43,300.29,151.16
0.3,122.21,328.43,300.29,151.07
0.3,122.21,328.43,300.29,150.94
0.3,122.21,328.43,300.29,150.86
0.4,122.21,328.43,300.29,150.78
0.4,122.21,328.43,300.29,150.65
0.4,122.21,328.43,300.29,150.53
0.5,122.21,328.56,300.29,150.40
0.5,122.21,328.56,300.29,150.23
0.5,122.21,328.43,300.29,149.98
0.6,122.21,328.43,300.40,149.94
0.6,122.21,328.43,300.40,149.90
0.6,122.21,328.56,300.40,149.90
0.7,122.21,328.56,300.40,149.90
0.7,122.21,328.56,300.40,149.90
0.8,122.21,328.56,300.40,149.90
0.8,122.21,328.56,300.40,149.90
0.8,122.21,328.56,300.40,149.90
0.9,122.21,328.56,300.40,149.90
0.9,122.21,328.56,300.18,149.90
0.9,122.21,328.56,300.18,149.90
1.0,122.21,328.56,300.18,149.90
1.0,122.21,328.56,300.18,149.90
1.0,122.21,328.56,300.18,149.90
1.1,122.21,328.68,300.18,149.90
1.1,122.21,328.68,300.07,149.90
1.1,122.24,328.68,300.07,149.90
1.2,122.24,328.68,300.07,149.90
1.2,122.24,328.68,300.07,149.90
1.2,122.24,328.68,300.07,149.90
1.3,122.24,328.68,300.07,149.90
1.3,122.24,328.68,300.18,149.90
1.4,122.24,328.68,300.18,149.90
1.4,122.24,328.68,300.18,149.90
1.4,122.24,328.68,300.40,149.90
1.5,122.24,328.68,300.51,149.90
1.5,122.24,328.68,300.51,149.90
1.5,122.24,328.68,300.51,149.90
1.6,122.24,328.68,300.51,149.90
1.6,122.24,328.68,300.63,149.90
1.6,122.24,328.68,300.74,149.90
1.7,122.21,328.68,300.74,149.90
1.7,122.21,328.56,300.85,149.90
1.7,122.24,328.56,300.85,149.90
1.8,122.24,328.56,300.96,149.90
1.8,122.24,328.56,300.96,149.90
1.8,122.24,328.56,300.96,149.94
1.9,122.28,328.56,301.07,149.94
1.9,122.28,328.56,301.07,149.94
2.0,122.31,328.56,301.18,149.94
2.0,122.34,328.56,301.18,149.94
2.0,122.37,328.56,301.29,149.94
2.1,122.41,328.56,301.40,149.94
2.1,122.44,328.56,301.40,149.94
2.1,122.47,328.56,301.40,149.98
2.2,122.50,328.56,301.40,149.98
2.2,122.54,328.56,301.51,150.02
2.2,122.57,328.68,301.51,150.07
2.3,122.54,328.68,301.62,150.07
2.3,122.57,328.68,301.62,150.07
2.3,122.60,328.68,301.62,150.11
2.4,122.64,328.68,301.62,150.07
2.4,122.64,328.68,301.62,150.07
2.5,122.64,328.68,301.62,150.11
2.5,122.64,328.68,301.51,150.15
2.5,122.64,328.68,301.51,150.19
2.6,122.64,328.68,301.51,150.23
2.6,122.64,328.68,301.51,150.27
2.6,122.64,328.68,301.62,150.32
2.7,122.64,328.68,301.62,150.32
2.7,122.64,328.68,301.62,150.36
2.7,122.64,328.68,301.62,150.32
2.8,122.64,328.68,301.51,150.27
2.8,122.67,328.68,301.51,150.27
2.8,122.67,328.68,301.51,150.27
2.9,122.67,328.68,301.62,150.23
2.9,122.67,328.68,301.62,150.23
2.9,122.67,328.68,301.62,150.23
3.0,122.70,328.68,301.73,150.19
3.0,122.70,328.68,301.84,150.11
3.0,122.70,328.68,301.84,150.07
3.1,122.70,328.68,301.84,150.02
3.1,122.70,328.68,301.84,149.98
3.2,122.70,328.68,301.84,149.94
3.2,122.70,328.68,301.84,149.90
3.2,122.70,328.68,301.84,149.86
3.3,122.70,328.68,301.84,149.86
3.3,122.70,328.68,301.95,149.86
3.3,122.70,328.68,301.95,149.86
3.4,122.70,328.68,301.95,149.86
3.4,122.70,328.68,301.95,149.86
3.4,122.70,328.68,301.95,149.86
3.5,122.70,328.68,301.95,149.86
3.5,122.70,328.68,301.95,149.86
3.5,122.70,328.68,301.95,149.90
3.6,122.70,328.68,301.95,149.90
3.6,122.70,328.68,301.95,149.90
3.7,122.70,328.68,301.95,149.90
3.7,122.70,328.68,301.95,149.90
3.7,122.70,328.68,301.95,149.90
3.8,122.70,328.68,301.95,149.90
3.8,122.70,328.68,301.95,149.90
3.8,122.70,328.68,301.95,149.90
3.9,122.70,328.68,301.95,149.90
3.9,122.70,328.68,301.95,149.90
3.9,122.70,328.68,301.95,149.90
4.0,122.70,328.68,301.95,149.90
4.0,122.70,328.68,301.84,149.90
4.0,122.70,328.68,301.84,149.94
4.1,122.70,328.68,301.84,149.94
4.1,122.70,328.81,301.84,149.98
4.1,122.70,328.81,301.84,150.02
4.2,122.70,328.81,301.84,150.02
4.2,122.70,328.81,301.84,150.07
4.3,122.70,328.81,301.84,150.11
4.3,122.70,328.81,301.84,150.15
4.3,122.70,328.81,301.84,150.19
4.4,122.70,328.81,301.84,150.23
4.4,122.70,328.81,301.84,150.27
4.4,122.70,328.81,301.84,150.32
4.5,122.70,328.81,301.84,150.36
4.5,122.70,328.81,301.84,150.40
4.5,122.70,328.81,301.95,150.44
4.6,122.70,328.81,301.95,150.44
4.6,122.70,328.81,301.95,150.48
4.6,122.70,328.68,301.95,150.48
4.7,122.70,328.68,301.95,150.48
4.7,122.70,328.68,301.95,150.53
4.7,122.70,328.68,301.95,150.53
4.8,122.70,328.81,301.95,150.53
4.8,122.70,328.81,301.95,150.53
4.9,122.70,328.94,301.95,150.53
4.9,122.70,329.06,301.95,150.53
4.9,122.70,329.06,301.95,150.53
5.0,122.70,329.06,301.95,150.53
5.0,122.70,329.06,301.95,150.53
5.0,122.70,329.06,301.95,150.53
5.1,122.70,329.06,301.95,150.53
5.1,122.70,329.06,301.95,150.53
5.1,122.70,329.06,301.95,150.53
5.2,122.70,329.06,301.95,150.53
5.2,122.70,329.19,301.95,150.53
5.2,122.70,329.19,301.95,150.53
5.3,122.70,329.32,301.95,150.53
5.3,122.70,329.32,301.95,150.57
5.4,122.70,329.32,301.95,150.61
5.4,122.70,329.32,301.95,150.65
5.4,122.70,329.19,301.95,150.69
5.5,122.70,329.19,301.95,150.74
5.5,122.70,329.19,301.95,150.78
5.5,122.70,329.19,301.95,150.82
5.6,122.70,329.19,301.95,150.86
5.6,122.70,329.19,301.95,150.90
5.6,122.70,329.19,301.95,150.94
5.7,122.70,329.19,301.95,150.99
5.7,122.70,329.32,301.95,151.07
5.7,122.70,329.32,301.95,151.16
5.8,122.70,329.45,301.95,151.28
5.8,122.70,329.32,301.95,151.32
5.8,122.70,329.19,301.95,151.28
5.9,122.70,329.32,301.95,151.24
5.9,122.70,329.32,301.95,151.20
6.0,122.70,329.45,301.95,151.16
6.0,122.70,329.45,301.95,151.11
6.0,122.70,329.45,301.95,151.07
6.1,122.70,329.45,301.95,151.03
6.1,122.70,329.57,301.95,150.99
6.1,122.70,329.70,301.95,150.95
6.2,122.70,329.83,301.95,150.90
6.2,122.70,329.96,301.95,150.86
6.2,122.70,329.83,301.95,150.78
6.3,122.70,329.83,301.95,150.69
6.3,122.70,329.70,301.95,150.57
6.3,122.70,329.83,301.95,150.48
6.4,122.70,329.96,301.95,150.48
6.4,122.70,329.83,301.95,150.48
6.4,122.70,329.83,301.95,150.44
6.5,122.70,329.83,301.95,150.40
6.5,122.70,329.96,301.95,150.36
6.6,122.70,329.96,301.95,150.32
6.6,122.70,329.96,301.95,150.27
6.6,122.70,329.96,301.95,150.23
6.7,122.70,329.83,301.95,150.19
6.7,122.70,329.83,301.95,150.15
6.7,122.73,329.83,301.95,150.11
6.8,122.90,329.96,302.07,150.27
6.8,123.19,330.08,302.18,150.53
6.8,123.56,330.34,302.29,150.82
6.9,123.92,330.47,302.40,151.16
6.9,124.25,330.59,302.51,151.41
6.9,124.55,330.85,302.62,151.62
7.0,124.85,330.85,302.73,151.87
7.0,125.15,330.85,302.85,152.08
7.1,125.42,330.85,302.96,152.30
