Time(s),Angle1(deg),Angle2(deg)
1733457435.5056016,88.33,82.66
1733457435.613846,88.11,82.66
1733457435.645503,88.32,82.66
1733457435.6782227,88.32,82.66
1733457435.7074332,88.12,82.66
1733457435.7360892,88.32,82.66
1733457435.7680283,88.11,82.69
1733457435.7915077,88.11,82.69
1733457435.8220842,88.11,82.69
1733457435.855532,88.32,82.69
1733457435.886821,88.32,82.85
1733457435.9197621,88.32,82.85
1733457435.9533317,88.1,82.87
1733457435.9915247,88.1,82.87
1733457436.0248468,88.1,82.87
1733457436.0532963,88.1,82.87
1733457436.085566,88.1,82.87
1733457436.1075063,88.1,82.87
1733457436.136192,88.1,82.87
1733457436.1698895,88.1,82.87
1733457436.202361,88.11,82.87
1733457436.2417526,88.11,82.87
1733457436.2698827,88.1,82.87
1733457436.3031826,88.1,82.87
1733457436.336593,88.1,82.69
1733457436.369786,88.1,82.87
1733457436.3889015,88.1,82.69
1733457436.423151,88.1,82.66
1733457436.4557765,88.1,82.69
1733457436.4887602,88.11,82.66
1733457436.520946,88.11,82.66
1733457436.5515842,88.11,82.66
1733457436.5728884,88.11,82.66
1733457436.6192136,88.32,82.66
1733457436.6653757,88.11,82.66
1733457436.6876235,88.32,82.66
1733457436.7192395,88.32,82.66
1733457436.7529898,88.32,82.66
1733457436.7866185,88.11,82.66
1733457436.819442,88.11,82.66
1733457436.8393762,88.11,82.66
1733457436.8720415,88.11,82.66
1733457436.9110036,88.11,82.66
1733457436.9365675,88.11,82.66
1733457436.9668696,88.11,82.66
1733457436.9982474,88.11,82.66
1733457437.0494936,88.11,82.66
1733457437.0808542,88.11,82.66
1733457437.101539,88.11,82.66
1733457437.1340468,88.11,82.66
1733457437.1662998,88.11,82.66
1733457437.195993,88.11,82.66
1733457437.2272434,88.11,82.66
1733457437.258491,88.11,82.66
1733457437.2906408,88.11,82.66
1733457437.3219225,88.11,82.66
1733457437.353185,88.11,82.69
1733457437.3848982,88.11,82.69
1733457437.400538,88.11,82.69
1733457437.4473932,88.53,82.42
1733457437.4791374,85.2,81.75
1733457437.511459,79.26,78.69
1733457437.5421588,72.36,74.44
1733457437.5781553,66.8,70.26
1733457437.6160073,62.69,67.55
1733457437.6454344,61.56,66.17
1733457437.6674314,62.59,67.15
1733457437.6987078,63.62,67.83
1733457437.7329402,63.53,67.95
1733457437.7636678,62.68,67.55
1733457437.7933614,60.9,66.97
1733457437.824617,59.4,66.08
1733457437.8558662,58.35,65.01
1733457437.8875973,57.71,64.42
1733457437.919033,57.71,64.42
1733457437.9503558,57.71,64.42
1733457437.9818525,57.71,64.42
1733457438.015083,57.71,64.42
1733457438.0447838,57.24,64.42
1733457438.076434,56.95,64.13
1733457438.1127763,56.48,63.93
1733457438.149891,56.14,63.63
1733457438.1685302,55.56,63.43
1733457438.199905,55.44,63.24
1733457438.2313573,55.15,63.24
1733457438.268687,55.15,63.04
1733457438.2943728,55.27,63.04
1733457438.3271658,55.15,63.04
1733457438.357339,54.97,62.94
1733457438.3902383,54.68,62.64
1733457438.420545,54.39,62.45
1733457438.4517992,54.27,62.45
1733457438.4834769,54.39,62.45
1733457438.5303795,54.22,62.45
1733457438.561697,54.1,62.45
1733457438.5777564,53.8,62.45
1733457438.6246505,53.93,62.25
1733457438.6599803,53.93,62.15
1733457438.6861005,53.63,62.15
1733457438.7173712,53.63,62.15
1733457438.7486093,53.63,62.15
1733457438.7727988,53.68,61.95
1733457438.795985,53.51,61.95
1733457438.8321671,53.34,61.95
1733457438.870094,53.21,61.95
1733457438.9058802,53.34,61.85
1733457438.9295492,53.34,61.85
1733457438.9538093,53.34,61.85
1733457438.985348,53.34,61.85
1733457439.0014489,52.88,61.85
1733457439.0327237,52.92,61.65
1733457439.063974,52.88,61.65
1733457439.0800009,52.75,61.65
1733457439.111557,52.88,61.65
1733457439.1272182,52.88,61.65
1733457439.158453,52.88,61.65
1733457439.1868286,52.75,61.65
1733457439.216589,52.88,61.65
1733457439.2346606,52.88,61.65
1733457439.2506883,52.88,61.65
1733457439.2831378,52.46,61.65
1733457439.3132994,52.29,61.65
1733457439.3297498,52.29,61.65
1733457439.3604348,52.29,61.65
1733457439.3760831,52.58,61.35
1733457439.407329,52.46,61.46
1733457439.4229567,52.58,61.35
1733457439.454205,52.58,61.35
1733457439.4854615,52.58,61.35
1733457439.501087,52.58,61.35
1733457439.532332,52.42,61.35
1733457439.5479562,52.42,61.35
1733457439.579369,52.29,61.35
1733457439.6108055,52.29,61.35
1733457439.6303215,52.29,61.35
1733457439.6576538,52.29,61.35
1733457439.678084,52.29,61.35
1733457439.708373,52.29,61.35
1733457439.7344117,52.16,61.35
1733457439.7534308,52.0,61.35
1733457439.7835758,52.13,61.25
1733457439.7989094,52.13,61.25
1733457439.83154,52.13,61.25
1733457439.8460531,52.13,61.25
1733457439.877444,52.16,61.27
1733457439.9089527,52.16,61.27
1733457439.9264026,52.0,61.46
1733457439.9578154,52.0,61.46
1733457439.972392,52.0,61.46
1733457440.003662,52.0,61.46
1733457440.0194848,52.0,61.46
1733457440.0509841,52.0,61.46
1733457440.0666118,52.0,61.46
1733457440.0978606,52.0,61.46
1733457440.113488,52.0,61.46
1733457440.1447349,52.0,61.46
1733457440.176537,52.16,61.27
1733457440.1958225,52.16,61.27
1733457440.2263632,52.16,61.27
1733457440.2524571,52.16,61.27
1733457440.2696028,52.16,61.27
1733457440.3008564,52.16,61.27
1733457440.3164773,52.16,61.27
1733457440.3477302,52.16,61.27
1733457440.363353,52.16,61.27
1733457440.4027696,51.87,61.27
1733457440.4264383,51.87,61.27
1733457440.4577043,51.87,61.27
1733457440.473678,52.0,61.05
1733457440.5046108,52.0,61.05
1733457440.522498,52.0,61.05
1733457440.5516634,52.0,61.05
1733457440.5829382,52.0,61.05
1733457440.6141927,52.0,61.05
1733457440.6454341,52.0,61.05
1733457440.663556,52.0,61.05
1733457440.6931486,52.0,61.05
1733457440.70995,52.0,61.05
1733457440.7603583,52.0,61.05
1733457440.785709,52.0,61.05
1733457440.8034172,52.0,61.05
1733457440.8340783,52.0,61.05
1733457440.8653307,52.0,61.05
1733457440.881198,52.0,61.05
1733457440.91319,52.0,61.05
1733457440.928323,52.0,61.05
1733457440.9595928,51.83,61.05
1733457440.975222,51.87,61.05
1733457441.0069757,51.87,61.05
1733457441.038964,51.87,61.05
1733457441.0696294,51.87,61.05
1733457441.0853055,51.87,61.05
1733457441.1165783,51.83,61.05
1733457441.1322072,51.83,61.05
1733457441.1634574,51.7,61.05
1733457441.194917,51.7,61.05
1733457441.2105622,51.7,61.05
1733457441.2418277,51.7,61.05
1733457441.2652946,51.7,61.05
1733457441.2933292,51.83,61.05
1733457441.3180678,51.54,61.05
1733457441.335765,51.54,61.05
1733457441.351409,51.7,61.05
1733457441.382663,51.7,61.05
1733457441.414157,51.83,61.05
1733457441.4299254,51.83,61.05
1733457441.4615798,51.83,61.05
1733457441.4783733,51.83,61.05
1733457441.5085926,51.83,61.05
1733457441.5242405,51.83,61.05
1733457441.5716543,51.83,61.05
1733457441.587279,51.83,61.05
1733457441.618526,51.83,61.05
1733457441.6497762,51.83,61.05
1733457441.6666064,51.83,61.05
1733457441.697205,51.54,61.05
1733457441.7128475,51.54,61.05
1733457441.7440991,51.54,61.05
1733457441.7761,51.54,61.05
1733457441.791136,51.54,61.05
1733457441.8236427,51.54,61.05
1733457441.8486893,51.54,61.05
1733457441.8711102,51.54,61.05
1733457441.900778,51.54,61.16
1733457441.9320617,51.54,61.05
1733457441.9633431,51.54,61.05
1733457441.97925,51.54,61.05
1733457442.01052,51.41,60.86
1733457442.0263138,51.41,60.86
1733457442.057589,51.41,60.86
1733457442.0888445,51.41,60.86
1733457442.104464,51.41,60.86
1733457442.1372075,51.41,60.86
1733457442.1517258,51.41,60.86
1733457442.1830225,51.41,60.86
1733457442.2143095,51.41,60.86
1733457442.2312531,51.41,60.86
1733457442.2694612,51.41,60.86
1733457442.2936082,51.41,60.86
1733457442.309252,51.41,60.86
1733457442.343783,51.24,60.75
1733457442.375048,51.24,60.75
1733457442.388355,51.24,60.75
1733457442.41799,51.24,60.75
1733457442.4336402,51.24,60.75
1733457442.4654627,51.24,60.75
1733457442.4809809,51.24,60.75
1733457442.5122588,51.24,60.75
1733457442.5435534,51.24,60.75
1733457442.5595796,51.24,60.75
1733457442.5909,51.24,60.75
1733457442.6135232,51.24,60.75
1733457442.6385705,51.24,60.75
1733457442.6704447,51.24,60.86
1733457442.688813,52.29,61.35
1733457442.717483,54.39,62.16
1733457442.7331097,56.95,63.93
1733457442.764357,61.09,65.99
1733457442.7956226,65.02,68.16
1733457442.8112345,67.54,70.32
1733457442.8426616,68.78,71.36
1733457442.8583088,69.05,71.57
1733457442.8948946,69.25,71.36
1733457442.9184246,69.05,71.36
1733457442.9362597,69.05,71.57
1733457442.9664266,69.05,71.57
1733457442.9820547,69.05,71.36
1733457443.0133028,69.05,71.57
1733457443.0291965,69.05,71.57
1733457443.0604694,69.05,71.57
1733457443.0917428,69.05,71.36
1733457443.1073456,69.05,71.36
1733457443.1388326,69.05,71.36
