Time(s),Res(O),Angles(deg)
1733109910.8317645,"(123.26, 321.21, 292.19, 155.57)","(2.3099999999999987, 18.64)"
1733109910.868404,"(123.23, 321.21, 292.19, 155.53)","(2.3099999999999987, 18.64)"
1733109910.90592,"(123.23, 321.21, 292.19, 155.48)","(2.3099999999999987, 18.64)"
1733109910.942337,"(123.19, 321.21, 292.19, 155.48)","(2.3099999999999987, 18.64)"
1733109910.9789343,"(123.19, 321.21, 292.19, 155.57)","(2.3099999999999987, 18.64)"
1733109911.0160031,"(123.19, 321.21, 292.19, 155.66)","(2.3099999999999987, 18.64)"
1733109911.0492828,"(123.19, 321.21, 292.09, 155.7)","(2.3099999999999987, 18.64)"
1733109911.0852458,"(123.19, 321.21, 292.09, 155.7)","(2.3099999999999987, 18.64)"
1733109911.1223726,"(123.19, 321.21, 291.98, 155.7)","(2.3099999999999987, 18.64)"
1733109911.159371,"(123.19, 321.21, 291.98, 155.75)","(2.3099999999999987, 18.64)"
1733109911.1958876,"(123.19, 321.21, 291.98, 155.79)","(2.3099999999999987, 18.64)"
1733109911.233293,"(123.19, 321.21, 291.98, 155.83)","(2.3099999999999987, 18.64)"
1733109911.270342,"(123.19, 321.21, 291.98, 155.88)","(2.3099999999999987, 18.64)"
1733109911.3068836,"(123.19, 321.21, 291.98, 155.92)","(2.3099999999999987, 18.64)"
1733109911.3437543,"(123.19, 321.21, 291.88, 156.01)","(2.3099999999999987, 18.64)"
1733109911.376374,"(123.19, 321.21, 291.88, 156.05)","(2.3099999999999987, 18.64)"
1733109911.4136124,"(123.19, 321.21, 291.88, 156.18)","(2.3099999999999987, 18.64)"
1733109911.4500113,"(123.19, 321.21, 291.88, 156.27)","(2.3099999999999987, 18.64)"
1733109911.486632,"(123.16, 321.21, 291.88, 156.4)","(2.3099999999999987, 18.64)"
1733109911.523594,"(123.16, 321.21, 291.88, 156.54)","(2.3099999999999987, 18.64)"
1733109911.560552,"(123.16, 321.21, 291.88, 156.67)","(2.3099999999999987, 18.64)"
1733109911.5972695,"(123.16, 321.21, 291.98, 156.76)","(2.3099999999999987, 18.64)"
1733109911.634456,"(123.13, 321.21, 291.98, 156.84)","(2.3099999999999987, 18.64)"
1733109911.6712122,"(123.13, 321.21, 292.09, 156.93)","(2.3099999999999987, 18.64)"
1733109911.7081723,"(123.13, 321.21, 292.09, 157.02)","(2.3099999999999987, 18.64)"
1733109911.7403147,"(123.13, 321.21, 292.09, 157.06)","(2.3099999999999987, 18.64)"
1733109911.7773223,"(123.13, 321.21, 292.09, 157.15)","(2.3099999999999987, 18.64)"
1733109911.8148513,"(123.13, 321.21, 292.09, 157.24)","(2.3099999999999987, 18.64)"
1733109911.851643,"(123.09, 321.21, 292.09, 157.29)","(2.3099999999999987, 18.64)"
1733109911.8887331,"(123.09, 321.21, 292.09, 157.29)","(2.3099999999999987, 18.64)"
1733109911.9254563,"(123.09, 321.21, 292.09, 157.29)","(2.3099999999999987, 18.64)"
1733109911.9624326,"(123.09, 321.21, 291.98, 157.29)","(2.3099999999999987, 18.64)"
1733109911.9990847,"(123.13, 321.21, 291.88, 157.37)","(2.3099999999999987, 18.64)"
1733109912.0358355,"(123.19, 321.21, 291.88, 157.42)","(2.3099999999999987, 18.64)"
1733109912.069039,"(123.23, 321.21, 291.88, 157.46)","(2.3099999999999987, 18.64)"
1733109912.10592,"(123.26, 321.21, 291.88, 157.51)","(2.3099999999999987, 18.64)"
1733109912.1427228,"(123.32, 321.21, 291.88, 157.6)","(2.3099999999999987, 18.64)"
1733109912.179332,"(123.42, 321.21, 291.88, 157.68)","(2.3099999999999987, 18.64)"
1733109912.216058,"(123.49, 321.21, 291.88, 157.82)","(2.3099999999999987, 18.64)"
1733109912.253006,"(123.56, 321.33, 291.88, 157.91)","(2.3099999999999987, 18.64)"
1733109912.2893226,"(123.65, 321.33, 291.88, 158.04)","(2.1099999999999994, 18.64)"
1733109912.326538,"(123.79, 321.33, 291.88, 158.17)","(2.0500000000000007, 18.43)"
1733109912.3637755,"(123.92, 321.33, 291.88, 158.31)","(2.129999999999999, 18.16)"
1733109912.3967738,"(124.09, 321.33, 291.88, 158.49)","(2.1400000000000006, 17.95)"
1733109912.4335396,"(124.25, 321.33, 291.98, 158.67)","(1.4100000000000001, 17.95)"
1733109912.4705417,"(124.42, 321.45, 291.98, 158.8)","(1.4800000000000004, 17.68)"
1733109912.507286,"(124.62, 321.57, 292.09, 158.89)","(1.3000000000000007, 17.47)"
1733109912.543193,"(124.78, 321.7, 292.19, 158.98)","(1.3000000000000007, 17.2)"
1733109912.580712,"(124.98, 321.82, 292.19, 159.07)","(0.7799999999999976, 17.26)"
1733109912.6175814,"(125.19, 321.94, 292.19, 159.2)","(0.8500000000000014, 16.99)"
1733109912.6543028,"(125.39, 322.06, 292.19, 159.34)","(0.9800000000000004, 16.66)"
1733109912.6912994,"(125.59, 322.19, 292.19, 159.52)","(0.8099999999999987, 16.57)"
1733109912.7273571,"(125.79, 322.31, 292.19, 159.7)","(0.6799999999999997, 16.3)"
1733109912.7610967,"(126.03, 322.43, 292.19, 159.88)","(0.75, 16.03)"
1733109912.7980912,"(126.26, 322.43, 292.19, 160.11)","(0.9000000000000004, 15.62)"
1733109912.834421,"(126.5, 322.43, 292.19, 160.33)","(0.3000000000000007, 15.62)"
1733109912.871637,"(126.71, 322.56, 292.3, 160.56)","(0.11000000000000121, 15.35)"
1733109912.908291,"(126.94, 322.68, 292.41, 160.83)","(-0.14000000000000057, 15.14)"
1733109912.9448464,"(127.22, 322.8, 292.51, 160.92)","(-0.5399999999999991, 14.93)"
1733109912.9824278,"(127.49, 322.93, 292.62, 161.38)","(-0.5300000000000011, 14.46)"
1733109913.0184395,"(127.8, 322.93, 292.72, 161.88)","(-1.2800000000000011, 14.4)"
1733109913.0552027,"(128.07, 322.93, 292.83, 162.44)","(-1.1100000000000012, 13.98)"
1733109913.088657,"(128.32, 322.93, 292.94, 162.95)","(-1.1400000000000006, 13.56)"
1733109913.1259491,"(128.49, 322.93, 293.04, 163.41)","(-1.7800000000000011, 13.46)"
1733109913.1625392,"(128.66, 322.93, 293.15, 163.83)","(-1.5300000000000011, 12.88)"
1733109913.1993525,"(128.8, 322.93, 293.26, 164.25)","(-2.09, 12.62)"
1733109913.23591,"(128.9, 322.93, 293.26, 164.58)","(-2.08, 12.2)"
1733109913.2732763,"(129.01, 322.93, 293.26, 164.91)","(-2.4000000000000004, 11.9)"
1733109913.3092906,"(129.08, 322.93, 293.26, 165.19)","(-2.6799999999999997, 11.52)"
1733109913.3467517,"(129.11, 322.93, 293.26, 165.42)","(-2.8000000000000007, 11.23)"
1733109913.3829105,"(129.11, 323.05, 293.26, 165.66)","(-3.4299999999999997, 11.02)"
1733109913.4156923,"(129.11, 323.05, 293.15, 165.85)","(-4.090000000000001, 10.38)"
1733109913.4534428,"(129.08, 323.05, 293.04, 165.99)","(-4.630000000000001, 9.46)"
1733109913.4899547,"(129.01, 323.05, 292.94, 166.32)","(-5.479999999999999, 8.62)"
1733109913.5268288,"(128.9, 323.05, 292.83, 166.28)","(-5.46, 7.55)"
1733109913.5633464,"(128.76, 323.05, 292.72, 166.23)","(-5.84, 7.1)"
1733109913.600199,"(128.63, 323.05, 292.62, 166.13)","(-5.63, 6.89)"
1733109913.6377947,"(128.52, 323.05, 292.51, 166.09)","(-5.63, 6.89)"
1733109913.6739526,"(128.45, 323.05, 292.41, 166.13)","(83.11, None)"
1733109913.7110198,"(128.35, 323.05, 292.3, 166.23)","(-6.0200000000000005, 7.07)"
1733109913.7481048,"(128.28, 323.05, 292.19, 166.28)","(-6.05, 7.1)"
1733109913.7808745,"(128.21, 322.93, 292.19, 166.42)","(-6.05, 7.1)"
1733109913.8176532,"(128.14, 322.93, 292.19, 166.52)","(-6.0200000000000005, 7.07)"
1733109913.8542764,"(128.07, 322.8, 292.19, 166.61)","(-6.0200000000000005, 7.07)"
1733109913.890951,"(128.04, 322.8, 292.19, 166.71)","(-6.0200000000000005, 7.07)"
1733109913.928549,"(128.0, 322.8, 292.19, 166.8)","(-6.0200000000000005, 7.07)"
1733109913.9660912,"(127.97, 322.8, 292.19, 166.9)","(-6.0200000000000005, 7.07)"
1733109914.001936,"(127.94, 322.8, 292.19, 166.99)","(-6.0200000000000005, 7.07)"
1733109914.0385506,"(127.9, 322.8, 292.19, 167.09)","(-6.0200000000000005, 7.07)"
1733109914.0759268,"(127.87, 322.68, 292.19, 167.14)","(-6.0200000000000005, 7.07)"
1733109914.1081183,"(127.83, 322.56, 292.19, 167.18)","(-6.0200000000000005, 7.07)"
1733109914.145144,"(127.8, 322.56, 292.19, 167.23)","(-6.0200000000000005, 7.07)"
1733109914.1820672,"(127.76, 322.43, 292.19, 167.09)","(-6.0200000000000005, 7.07)"
1733109914.2188969,"(127.73, 322.43, 292.19, 166.9)","(-6.0200000000000005, 7.07)"
1733109914.2552657,"(127.73, 322.43, 292.19, 166.66)","(-6.0200000000000005, 7.07)"
1733109914.2921677,"(127.73, 322.31, 292.19, 166.47)","(-6.0200000000000005, 7.07)"
1733109914.3289373,"(127.73, 322.31, 292.19, 166.23)","(-6.0200000000000005, 7.07)"
1733109914.366722,"(127.7, 322.19, 292.19, 166.04)","(-6.0200000000000005, 7.07)"
1733109914.403019,"(127.7, 322.19, 292.19, 165.85)","(-6.0200000000000005, 7.07)"
1733109914.4404552,"(127.7, 322.06, 292.19, 165.66)","(-6.0200000000000005, 7.07)"
1733109914.473281,"(127.66, 321.94, 292.19, 165.47)","(-6.0200000000000005, 7.07)"
1733109914.5100384,"(127.63, 321.82, 292.19, 165.28)","(-6.0200000000000005, 7.07)"
1733109914.5463097,"(127.59, 321.7, 292.19, 165.09)","(-6.0200000000000005, 7.07)"
1733109914.583856,"(127.56, 321.57, 292.19, 164.95)","(-5.66, 6.91)"
1733109914.620556,"(127.52, 321.7, 292.19, 164.86)","(-5.65, 6.91)"
1733109914.6568296,"(127.49, 321.7, 292.19, 164.67)","(-5.66, 6.91)"
1733109914.6938455,"(127.46, 321.57, 292.19, 164.53)","(-5.65, 6.91)"
1733109914.73099,"(127.42, 321.57, 292.19, 164.53)","(-5.65, 6.91)"
1733109914.7671783,"(127.39, 321.57, 292.19, 164.53)","(-5.86, 6.91)"
1733109914.8005576,"(127.35, 321.57, 292.19, 164.53)","(-5.65, 6.91)"
1733109914.836918,"(127.32, 321.57, 292.19, 164.53)","(-5.65, 6.91)"
1733109914.8737695,"(127.28, 321.57, 292.19, 164.53)","(-5.65, 6.91)"
1733109914.9115326,"(127.28, 321.57, 292.19, 164.53)","(-6.08, 7.13)"
1733109914.9480698,"(127.25, 321.57, 292.19, 164.48)","(-6.08, 7.13)"
1733109914.9848075,"(127.22, 321.57, 292.19, 164.48)","(-6.08, 7.13)"
1733109915.0220172,"(127.22, 321.57, 292.19, 164.48)","(-5.86, 6.91)"
1733109915.0589054,"(127.22, 321.57, 292.19, 164.44)","(-5.86, 6.91)"
1733109915.095116,"(127.22, 321.57, 292.19, 164.44)","(-6.05, 7.1)"
1733109915.1278265,"(127.22, 321.57, 292.19, 164.39)","(-5.86, 6.91)"
1733109915.1655636,"(127.22, 321.45, 292.19, 164.34)","(-6.05, 7.1)"
1733109915.2014248,"(127.22, 321.45, 292.19, 164.39)","(-6.05, 7.1)"
1733109915.2390294,"(127.22, 321.45, 292.19, 164.39)","(-6.05, 7.1)"
1733109915.2761016,"(127.22, 321.45, 292.19, 164.39)","(-6.05, 7.1)"
1733109915.3120863,"(127.22, 321.33, 292.19, 164.39)","(-6.05, 7.1)"
1733109915.3492706,"(127.22, 321.33, 292.19, 164.44)","(-6.05, 7.1)"
1733109915.3858297,"(127.42, 321.7, 292.41, 164.62)","(-6.05, 7.1)"
1733109915.4233236,"(127.59, 321.94, 292.51, 164.76)","(-6.05, 7.1)"
1733109915.460237,"(127.7, 322.19, 292.62, 164.86)","(-5.46, 6.72)"
1733109915.492839,"(127.8, 322.31, 292.62, 165.0)","(-5.65, 6.91)"
1733109915.5295205,"(127.9, 322.43, 292.62, 165.14)","(-5.65, 6.91)"
1733109915.5663023,"(128.0, 322.56, 292.62, 165.24)","(-5.65, 6.91)"
1733109915.6036596,"(128.07, 322.68, 292.62, 165.42)","(-5.65, 6.91)"
1733109915.639851,"(128.11, 322.8, 292.51, 165.57)","(-5.65, 6.91)"
1733109915.6760323,"(128.14, 322.93, 292.51, 165.71)","(-5.44, 6.7)"
1733109915.7134244,"(128.18, 323.05, 292.41, 165.8)","(-5.44, 6.7)"
1733109915.7508342,"(128.21, 323.05, 292.3, 165.94)","(-5.44, 6.7)"
1733109915.787378,"(128.25, 323.17, 292.2, 166.09)","(-5.44, 6.7)"
1733109915.820068,"(128.28, 323.17, 292.09, 166.23)","(-5.44, 6.7)"
1733109915.8570707,"(128.28, 323.17, 291.98, 166.37)","(-5.44, 6.7)"
1733109915.8945878,"(128.28, 323.17, 291.88, 166.42)","(-6.05, 7.1)"
1733109915.9316962,"(128.07, 322.8, 291.56, 166.32)","(-6.05, 7.1)"
1733109915.9681468,"(127.9, 322.56, 291.35, 166.28)","(-6.05, 7.1)"
1733109916.0047245,"(127.8, 322.31, 291.14, 166.23)","(-6.05, 7.1)"
1733109916.041905,"(127.7, 322.19, 291.04, 166.04)","(-6.05, 7.1)"
1733109916.0784786,"(127.59, 322.06, 290.93, 165.85)","(-6.05, 7.1)"
1733109916.114936,"(127.49, 321.94, 290.83, 165.71)","(0.1200000000000001, 4.92)"
1733109916.1485517,"(127.42, 321.82, 290.72, 165.57)","(3.2799999999999994, 4.73)"
1733109916.1846206,"(127.39, 321.7, 290.72, 165.42)","(5.050000000000001, 5.35)"
1733109916.2218742,"(127.35, 321.57, 290.62, 165.33)","(8.47, 5.16)"
1733109916.2582812,"(127.32, 321.45, 290.62, 165.28)","(9.620000000000001, 5.8)"
1733109916.2955637,"(127.28, 321.45, 290.62, 165.19)","(9.829999999999998, 6.46)"
1733109916.3324957,"(127.25, 321.33, 290.62, 165.14)","(10.099999999999998, 6.46)"
1733109916.3693302,"(127.22, 321.33, 290.62, 165.05)","(10.099999999999998, 6.46)"
1733109916.4059615,"(127.18, 321.33, 290.62, 164.91)","(10.36, 6.46)"
1733109916.4426868,"(127.15, 321.21, 290.62, 164.72)","(10.559999999999999, 6.46)"
1733109916.4795852,"(127.11, 321.21, 290.62, 164.53)","(10.77, 6.46)"
1733109916.5130303,"(127.08, 321.21, 290.62, 164.34)","(11.02, 6.27)"
1733109916.5497994,"(127.05, 321.21, 290.62, 164.2)","(11.219999999999999, 6.27)"
1733109916.5867982,"(127.01, 321.21, 290.62, 164.2)","(11.239999999999998, 6.46)"
1733109916.6229084,"(126.98, 321.21, 290.62, 164.2)","(11.690000000000001, 6.27)"
1733109916.659908,"(126.94, 321.21, 290.62, 164.2)","(11.690000000000001, 6.27)"
1733109916.6973956,"(126.91, 321.21, 290.62, 164.2)","(11.5, 6.46)"
1733109916.7338977,"(126.87, 321.21, 290.62, 164.16)","(11.760000000000002, 6.27)"
1733109916.7703333,"(126.84, 321.21, 290.62, 164.11)","(11.71, 6.46)"
1733109916.807801,"(126.81, 321.21, 290.62, 164.02)","(11.71, 6.46)"
1733109916.8406105,"(126.77, 321.21, 290.62, 163.92)","(11.77, 6.46)"
1733109916.8768775,"(126.74, 321.21, 290.62, 163.78)","(11.969999999999999, 6.46)"
1733109916.9141338,"(126.7, 321.21, 290.62, 163.69)","(12.18, 6.46)"
1733109916.9503305,"(126.7, 321.21, 290.62, 163.64)","(11.969999999999999, 6.46)"
1733109916.9873471,"(126.7, 321.21, 290.62, 163.69)","(11.969999999999999, 6.46)"
1733109917.0242157,"(126.7, 321.21, 290.62, 163.74)","(11.969999999999999, 6.46)"
1733109917.0616858,"(126.7, 321.21, 290.62, 163.78)","(12.18, 6.46)"
1733109917.0987012,"(126.7, 321.21, 290.62, 163.88)","(12.25, 6.46)"
1733109917.13472,"(126.7, 321.21, 290.62, 163.97)","(12.45, 6.46)"
1733109917.1712575,"(126.7, 321.21, 290.62, 163.97)","(12.45, 6.46)"
1733109917.2046125,"(126.7, 321.21, 290.62, 163.97)","(12.86, 6.25)"
1733109917.2419236,"(126.7, 321.21, 290.62, 163.97)","(12.86, 6.25)"
1733109917.2780228,"(126.7, 321.21, 290.62, 164.02)","(12.86, 6.25)"
1733109917.315091,"(126.7, 321.21, 290.51, 164.02)","(12.86, 6.25)"
1733109917.3522036,"(126.7, 321.21, 290.41, 164.06)","(12.86, 6.25)"
1733109917.3887854,"(126.7, 321.21, 290.41, 164.16)","(12.86, 6.25)"
1733109917.4261944,"(126.7, 321.21, 290.3, 164.25)","(13.059999999999999, 6.25)"
1733109917.4627905,"(126.7, 321.21, 290.3, 164.3)","(13.129999999999999, 6.25)"
1733109917.4991214,"(126.7, 321.21, 290.2, 164.39)","(13.129999999999999, 6.25)"
1733109917.5325866,"(126.7, 321.21, 290.09, 164.48)","(13.129999999999999, 6.25)"
1733109917.5690415,"(126.67, 321.21, 289.99, 164.53)","(13.129999999999999, 6.25)"
1733109917.606536,"(126.64, 321.21, 289.99, 164.58)","(13.329999999999998, 6.25)"
1733109917.6425776,"(126.6, 321.21, 289.88, 164.53)","(13.529999999999998, 6.05)"
1733109917.679774,"(126.57, 321.21, 289.78, 164.48)","(13.46, 6.05)"
1733109917.7169838,"(126.57, 321.21, 289.78, 164.48)","(13.529999999999998, 6.05)"
1733109917.753322,"(126.53, 321.21, 289.67, 164.48)","(13.529999999999998, 6.05)"
1733109917.789988,"(126.5, 321.21, 289.57, 164.44)","(13.599999999999998, 6.05)"
1733109917.827343,"(126.47, 321.21, 289.57, 164.39)","(13.599999999999998, 6.05)"
1733109917.860342,"(126.43, 321.08, 289.57, 164.3)","(13.529999999999998, 6.05)"
1733109917.8967202,"(126.4, 320.96, 289.57, 164.2)","(13.529999999999998, 6.05)"
1733109917.9343698,"(126.37, 320.96, 289.47, 164.06)","(13.809999999999999, 6.05)"
1733109917.9705875,"(126.33, 320.96, 289.47, 163.92)","(13.809999999999999, 6.05)"
1733109918.0076823,"(126.3, 320.96, 289.36, 163.88)","(13.700000000000001, 6.08)"
1733109918.0436854,"(126.26, 320.96, 289.36, 163.78)","(13.700000000000001, 6.08)"
1733109918.0814831,"(126.23, 320.96, 289.36, 163.64)","(13.829999999999998, 6.03)"
1733109918.1171608,"(126.23, 320.96, 289.36, 163.5)","(13.829999999999998, 6.03)"
1733109918.1548474,"(126.23, 320.96, 289.26, 163.41)","(13.829999999999998, 6.03)"
1733109918.1916924,"(126.23, 320.96, 289.26, 163.41)","(13.73, 6.05)"
1733109918.2252438,"(126.23, 320.96, 289.26, 163.41)","(13.73, 6.05)"
1733109918.2618742,"(126.2, 320.96, 289.15, 163.36)","(13.73, 6.05)"
1733109918.2985623,"(126.2, 320.96, 289.15, 162.99)","(13.829999999999998, 6.03)"
1733109918.3349142,"(126.2, 320.96, 289.15, 162.9)","(13.95, 6.03)"
1733109918.3720543,"(126.2, 320.96, 289.05, 162.81)","(13.809999999999999, 6.05)"
1733109918.409273,"(126.2, 321.08, 289.05, 162.76)","(14.029999999999998, 6.03)"
1733109918.4453907,"(126.2, 321.21, 289.05, 162.71)","(13.809999999999999, 6.05)"
1733109918.4825678,"(126.2, 321.21, 289.05, 162.67)","(13.57, 6.29)"
1733109918.5191853,"(126.2, 321.21, 289.05, 162.62)","(14.029999999999998, 6.03)"
1733109918.5521834,"(126.2, 321.21, 289.05, 162.53)","(14.029999999999998, 6.03)"
1733109918.5886967,"(126.2, 321.21, 289.05, 162.44)","(14.029999999999998, 6.03)"
1733109918.6264036,"(126.2, 321.21, 289.05, 162.39)","(14.029999999999998, 6.03)"
1733109918.662985,"(126.2, 321.21, 289.05, 162.39)","(13.79, 6.27)"
1733109918.7000184,"(126.2, 321.21, 289.05, 162.3)","(14.029999999999998, 6.03)"
1733109918.7366536,"(126.2, 321.21, 289.05, 162.16)","(14.029999999999998, 6.03)"
1733109918.7736287,"(126.2, 321.21, 289.05, 161.98)","(14.029999999999998, 6.03)"
1733109918.8100777,"(126.2, 321.08, 289.05, 161.88)","(14.029999999999998, 6.03)"
1733109918.847401,"(126.2, 321.08, 289.05, 162.11)","(14.029999999999998, 6.03)"
1733109918.8803658,"(126.2, 321.08, 289.05, 162.07)","(14.029999999999998, 6.03)"
1733109918.9171176,"(126.2, 320.96, 289.05, 162.07)","(14.029999999999998, 6.03)"
1733109918.9536302,"(126.2, 320.96, 289.05, 162.02)","(13.91, 6.27)"
1733109918.9907467,"(126.2, 320.96, 289.05, 161.93)","(13.91, 6.27)"
1733109919.0277722,"(126.2, 320.84, 289.05, 161.88)","(13.71, 6.27)"
1733109919.0646698,"(126.2, 320.72, 289.05, 161.52)","(13.71, 6.27)"
1733109919.1012614,"(126.2, 320.72, 289.05, 161.47)","(13.91, 6.27)"
1733109919.1374755,"(126.2, 320.59, 289.15, 161.43)","(13.71, 6.27)"
1733109919.1746297,"(126.2, 320.59, 289.15, 161.38)","(13.71, 6.27)"
1733109919.2119043,"(126.2, 320.59, 289.15, 161.38)","(13.71, 6.27)"
1733109919.2439277,"(126.2, 320.59, 289.15, 161.38)","(13.990000000000002, 6.27)"
1733109919.2810135,"(126.2, 320.47, 289.15, 161.33)","(13.990000000000002, 6.27)"
1733109919.318544,"(126.2, 320.47, 289.15, 161.33)","(13.990000000000002, 6.27)"
1733109919.354501,"(126.2, 320.59, 289.15, 161.29)","(13.91, 6.27)"
1733109919.391478,"(126.2, 320.47, 289.15, 161.29)","(14.299999999999997, 6.03)"
1733109919.4291768,"(126.2, 320.35, 289.15, 161.29)","(14.299999999999997, 6.03)"
1733109919.4653916,"(126.2, 320.35, 289.15, 161.24)","(14.23, 6.03)"
1733109919.5019984,"(126.2, 320.23, 289.15, 161.29)","(14.23, 6.03)"
1733109919.5397122,"(126.2, 320.11, 289.15, 161.33)","(14.23, 6.03)"
1733109919.572454,"(126.2, 320.11, 289.15, 161.33)","(14.23, 6.03)"
1733109919.609308,"(126.2, 320.11, 289.15, 161.66)","(14.23, 6.03)"
1733109919.6453953,"(126.2, 319.98, 289.15, 161.66)","(14.23, 6.03)"
1733109919.6829276,"(126.2, 319.98, 289.05, 161.66)","(14.23, 6.03)"
1733109919.7188032,"(126.2, 319.86, 289.05, 161.66)","(14.23, 6.03)"
1733109919.7565863,"(126.2, 319.74, 289.05, 161.66)","(14.23, 6.03)"
1733109919.7935555,"(126.2, 319.62, 289.05, 161.66)","(14.23, 6.03)"
1733109919.829716,"(126.2, 319.62, 289.05, 161.7)","(14.23, 6.03)"
1733109919.8672383,"(126.2, 319.5, 289.05, 161.75)","(14.299999999999997, 6.03)"
1733109919.9034674,"(126.2, 319.38, 289.05, 161.79)","(14.299999999999997, 6.03)"
1733109919.9367757,"(126.2, 319.38, 289.05, 161.79)","(14.21, 6.05)"
1733109919.973662,"(126.2, 319.38, 289.05, 161.79)","(14.079999999999998, 6.25)"
1733109920.0100596,"(126.2, 319.5, 289.05, 161.79)","(14.079999999999998, 6.25)"
1733109920.0468097,"(126.2, 319.62, 289.05, 161.79)","(14.079999999999998, 6.25)"
1733109920.0844443,"(126.2, 319.62, 289.05, 161.79)","(14.079999999999998, 6.25)"
1733109920.1204956,"(126.16, 319.62, 289.05, 161.79)","(14.079999999999998, 6.25)"
1733109920.158032,"(126.16, 319.62, 289.05, 161.79)","(14.079999999999998, 6.25)"
1733109920.194154,"(126.13, 319.62, 289.05, 161.84)","(14.079999999999998, 6.25)"
1733109920.23137,"(126.13, 319.74, 289.05, 161.88)","(13.990000000000002, 6.27)"
1733109920.2645984,"(126.13, 319.74, 289.05, 161.93)","(14.079999999999998, 6.25)"
1733109920.301149,"(126.13, 319.74, 289.05, 161.88)","(14.180000000000001, 6.08)"
1733109920.3376648,"(126.13, 319.86, 289.05, 161.93)","(14.48, 6.05)"
1733109920.3746688,"(126.13, 319.86, 289.05, 161.93)","(14.48, 6.05)"
1733109920.4113116,"(126.13, 319.86, 289.05, 161.98)","(14.38, 6.08)"
1733109920.4480524,"(126.13, 319.86, 289.05, 162.02)","(14.48, 6.05)"
1733109920.4849904,"(126.13, 319.86, 289.05, 162.07)","(14.48, 6.05)"
1733109920.5220296,"(126.13, 319.86, 289.05, 162.11)","(14.48, 6.05)"
1733109920.559142,"(126.13, 319.74, 289.05, 162.16)","(14.299999999999999, 6.08)"
1733109920.5924437,"(126.13, 319.62, 289.05, 162.16)","(14.41, 6.05)"
1733109920.6279988,"(126.13, 319.62, 289.05, 162.25)","(14.41, 6.05)"
1733109920.6650672,"(126.16, 319.62, 289.05, 162.34)","(14.299999999999999, 6.08)"
1733109920.7021382,"(126.16, 319.62, 289.05, 162.39)","(14.11, 6.22)"
1733109920.7389994,"(126.2, 319.62, 289.05, 162.39)","(14.11, 6.22)"
1733109920.7759886,"(126.16, 319.5, 289.05, 162.44)","(14.11, 6.22)"
1733109920.8127573,"(126.16, 319.62, 289.05, 162.44)","(14.11, 6.22)"
1733109920.8500829,"(126.13, 319.62, 289.05, 162.53)","(14.11, 6.22)"
1733109920.8868346,"(126.09, 319.5, 289.05, 162.53)","(14.310000000000002, 6.22)"
1733109920.9238791,"(126.06, 319.5, 289.05, 162.62)","(14.010000000000002, 6.25)"
1733109920.955877,"(126.06, 319.5, 289.05, 162.67)","(14.11, 6.22)"
1733109920.9934874,"(126.03, 319.62, 289.05, 162.71)","(14.299999999999997, 6.03)"
1733109921.030458,"(125.99, 319.62, 289.05, 162.76)","(14.43, 6.03)"
1733109921.0666523,"(125.96, 319.62, 289.05, 162.81)","(14.299999999999997, 6.03)"
1733109921.104001,"(125.93, 319.74, 289.05, 162.85)","(14.299999999999997, 6.03)"
1733109921.1412165,"(125.89, 319.74, 289.05, 162.95)","(14.5, 6.03)"
1733109921.17746,"(125.86, 319.86, 289.05, 163.04)","(14.41, 6.05)"
1733109921.214732,"(125.82, 319.86, 289.05, 163.18)","(14.5, 6.03)"
1733109921.2509587,"(125.79, 319.86, 289.05, 163.36)","(14.5, 6.03)"
1733109921.284288,"(125.76, 319.86, 289.05, 163.55)","(14.5, 6.03)"
1733109921.3212762,"(125.76, 319.98, 289.05, 163.69)","(14.5, 6.03)"
1733109921.3577044,"(125.72, 319.86, 289.05, 163.88)","(14.5, 6.03)"
1733109921.3952255,"(125.72, 319.86, 288.95, 163.97)","(14.5, 6.03)"
1733109921.4321313,"(125.76, 319.98, 288.95, 164.11)","(14.5, 6.03)"
1733109921.4682076,"(125.76, 319.98, 288.95, 164.2)","(14.5, 6.03)"
1733109921.504937,"(125.72, 319.98, 288.95, 164.3)","(14.41, 6.05)"
1733109921.542405,"(125.72, 319.86, 288.95, 164.34)","(14.5, 6.03)"
1733109921.57892,"(125.72, 319.86, 288.95, 164.44)","(14.5, 6.03)"
1733109921.6120253,"(125.72, 319.86, 288.95, 164.53)","(14.5, 6.03)"
1733109921.6488085,"(125.72, 319.86, 288.95, 164.58)","(14.5, 6.03)"
1733109921.6855352,"(125.72, 319.86, 288.95, 164.62)","(14.46, 6.27)"
1733109921.722375,"(125.72, 319.74, 288.95, 164.62)","(14.48, 6.05)"
1733109921.759119,"(125.72, 319.74, 288.95, 164.58)","(14.260000000000002, 6.27)"
1733109921.795782,"(125.72, 319.74, 288.95, 164.58)","(14.7, 6.03)"
1733109921.8330977,"(125.72, 319.74, 288.95, 164.58)","(14.68, 6.05)"
1733109921.8701134,"(125.72, 319.62, 288.95, 164.53)","(14.68, 6.05)"
1733109921.9065928,"(125.72, 319.62, 288.95, 164.48)","(14.58, 6.08)"
1733109921.9429245,"(125.76, 319.62, 288.95, 164.48)","(14.68, 6.05)"
1733109921.9759808,"(125.72, 319.5, 288.95, 164.53)","(14.68, 6.05)"
