Time(s),Res(O),Angles(deg)
1733109902.5297945,"(124.85, 320.96, 290.83, 158.22)","(6.68, 23.92)"
1733109902.5666616,"(125.02, 321.2, 291.14, 158.58)","(6.66, 24.99)"
1733109902.6031437,"(125.22, 321.45, 291.46, 158.89)","(6.710000000000001, 25.58)"
1733109902.636735,"(125.39, 321.82, 291.77, 159.02)","(6.710000000000001, 25.58)"
1733109902.6726692,"(125.52, 322.06, 292.09, 159.07)","(6.710000000000001, 25.58)"
1733109902.7096744,"(125.66, 322.31, 292.41, 158.98)","(6.710000000000001, 25.58)"
1733109902.742835,"(125.79, 322.56, 292.73, 158.89)","(6.710000000000001, 25.58)"
1733109902.779794,"(125.89, 322.8, 293.04, 158.75)","(7.18, 25.58)"
1733109902.8163,"(125.96, 323.05, 293.36, 158.58)","(7.179999999999996, 25.87)"
1733109902.8488066,"(126.03, 323.3, 293.68, 158.35)","(7.450000000000003, 26.07)"
1733109902.8861246,"(125.99, 323.42, 293.9, 158.44)","(7.489999999999998, 26.37)"
1733109902.9184935,"(125.69, 323.3, 293.9, 157.95)","(7.869999999999997, 26.57)"
1733109902.9555404,"(125.35, 323.3, 293.9, 157.37)","(7.800000000000001, 26.76)"
1733109902.9921036,"(125.02, 323.17, 293.9, 156.76)","(8.09, 26.76)"
1733109903.0255487,"(124.75, 323.17, 293.79, 156.32)","(7.890000000000001, 26.96)"
1733109903.0618672,"(124.55, 323.17, 293.79, 156.01)","(7.769999999999996, 26.96)"
1733109903.098844,"(124.42, 323.3, 293.79, 155.75)","(7.890000000000001, 26.96)"
1733109903.1311166,"(124.25, 323.3, 293.79, 155.48)","(7.970000000000002, 27.06)"
1733109903.169053,"(124.12, 323.17, 293.79, 155.22)","(7.960000000000001, 27.36)"
1733109903.2055254,"(123.99, 323.17, 293.79, 155.0)","(8.059999999999999, 27.55)"
1733109903.2385824,"(123.89, 323.05, 293.79, 154.79)","(8.179999999999996, 27.55)"
1733109903.2755797,"(123.75, 323.05, 293.79, 154.27)","(8.059999999999999, 27.55)"
1733109903.307231,"(123.66, 323.05, 293.68, 154.05)","(8.23, 27.55)"
1733109903.344803,"(123.59, 323.05, 293.68, 153.88)","(8.349999999999998, 27.55)"
1733109903.3820558,"(123.52, 323.05, 293.68, 153.84)","(8.650000000000002, 27.55)"
1733109903.4144735,"(123.49, 323.05, 293.68, 153.79)","(8.32, 27.75)"
1733109903.4514928,"(123.46, 323.05, 293.58, 153.71)","(8.219999999999999, 27.85)"
1733109903.4879267,"(123.42, 323.05, 293.47, 153.66)","(8.519999999999996, 27.85)"
1733109903.5212371,"(123.39, 323.05, 293.47, 153.58)","(8.519999999999996, 27.85)"
1733109903.5579414,"(123.36, 323.05, 293.36, 153.45)","(8.519999999999996, 27.85)"
1733109903.5948732,"(123.29, 323.05, 293.36, 153.32)","(8.27, 28.05)"
1733109903.6271672,"(123.23, 322.93, 293.26, 153.19)","(8.440000000000001, 28.05)"
1733109903.664098,"(123.16, 322.93, 293.26, 153.11)","(8.609999999999996, 28.05)"
1733109903.7006366,"(123.09, 322.93, 293.26, 153.02)","(8.739999999999998, 28.05)"
1733109903.7333453,"(123.06, 322.93, 293.26, 152.94)","(8.509999999999998, 28.15)"
1733109903.770803,"(123.0, 323.05, 293.26, 152.81)","(8.509999999999998, 28.15)"
1733109903.8038137,"(122.96, 323.05, 293.15, 152.98)","(8.509999999999998, 28.15)"
1733109903.8398912,"(122.93, 323.05, 293.15, 152.64)","(8.509999999999998, 28.15)"
1733109903.8768368,"(122.9, 323.05, 293.04, 152.25)","(8.969999999999999, 28.15)"
1733109903.9096878,"(122.86, 323.05, 292.94, 151.83)","(8.729999999999997, 28.35)"
1733109903.9464931,"(122.83, 323.05, 292.83, 151.41)","(8.769999999999996, 28.35)"
1733109903.983377,"(122.8, 323.05, 292.83, 151.03)","(8.899999999999999, 28.35)"
1733109904.016754,"(122.73, 323.05, 292.83, 150.61)","(8.769999999999996, 28.35)"
1733109904.0535738,"(122.7, 323.05, 292.72, 150.27)","(8.769999999999996, 28.35)"
1733109904.089928,"(122.64, 323.05, 292.72, 149.98)","(8.769999999999996, 28.35)"
1733109904.1226351,"(122.6, 323.05, 292.62, 149.69)","(8.899999999999999, 28.35)"
1733109904.1597266,"(122.57, 323.05, 292.72, 149.61)","(8.769999999999996, 28.35)"
1733109904.1926332,"(122.54, 323.05, 292.62, 149.52)","(8.769999999999996, 28.35)"
1733109904.2297251,"(122.5, 323.05, 292.51, 149.44)","(8.769999999999996, 28.35)"
1733109904.2659984,"(122.47, 323.05, 292.41, 149.36)","(9.189999999999998, 28.35)"
1733109904.2990303,"(122.44, 323.05, 292.3, 149.4)","(9.36, 28.35)"
1733109904.3356252,"(122.41, 323.05, 292.3, 149.52)","(9.36, 28.35)"
1733109904.3725045,"(122.37, 323.05, 292.3, 149.82)","(9.36, 28.35)"
1733109904.4053218,"(122.34, 323.05, 292.3, 150.19)","(8.770000000000003, 28.65)"
1733109904.4427378,"(122.31, 323.05, 292.3, 150.44)","(9.0, 28.54)"
1733109904.4789393,"(122.28, 323.05, 292.3, 150.73)","(8.770000000000003, 28.65)"
1733109904.5115514,"(122.24, 323.05, 292.3, 151.07)","(8.770000000000003, 28.65)"
1733109904.5492322,"(122.24, 323.05, 292.3, 151.41)","(8.770000000000003, 28.65)"
1733109904.5817626,"(122.21, 323.05, 292.3, 151.75)","(8.770000000000003, 28.65)"
