Angle1(deg),Angle2(deg)
-5.67,7.34
-5.45,7.34
-5.66,7.34
-5.66,7.34
-5.46,7.34
-5.66,7.34
-5.42,7.31
-5.42,7.31
-5.42,7.31
-5.63,7.31
-5.470000000000001,7.15
-5.470000000000001,7.15
-5.23,7.13
-5.23,7.13
-5.23,7.13
-5.23,7.13
-5.23,7.13
-5.23,7.13
-5.23,7.13
-5.23,7.13
-5.24,7.13
-5.24,7.13
-5.23,7.13
-5.23,7.13
-5.41,7.31
-5.23,7.13
-5.41,7.31
-5.4399999999999995,7.34
-5.41,7.31
-5.45,7.34
-5.45,7.34
-5.45,7.34
-5.45,7.34
-5.66,7.34
-5.45,7.34
-5.66,7.34
-5.66,7.34
-5.66,7.34
-5.45,7.34
-5.45,7.34
-5.45,7.34
-5.45,7.34
-5.45,7.34
-5.45,7.34
-5.45,7.34
-5.45,7.34
-5.45,7.34
-5.45,7.34
-5.45,7.34
-5.45,7.34
-5.45,7.34
-5.45,7.34
-5.45,7.34
-5.45,7.34
-5.45,7.34
-5.45,7.34
-5.42,7.31
-5.42,7.31
-5.42,7.31
-6.11,7.58
-3.45,8.25
-0.5700000000000003,11.31
2.08,15.56
3.460000000000001,19.74
4.859999999999999,22.45
4.610000000000003,23.83
4.559999999999999,22.85
4.209999999999997,22.17
4.419999999999998,22.05
4.870000000000001,22.45
6.07,23.03
6.68,23.92
6.66,24.99
6.710000000000001,25.58
6.710000000000001,25.58
6.710000000000001,25.58
6.710000000000001,25.58
6.710000000000001,25.58
7.18,25.58
7.179999999999996,25.87
7.450000000000003,26.07
7.489999999999998,26.37
7.869999999999997,26.57
7.800000000000001,26.76
8.09,26.76
7.890000000000001,26.96
7.769999999999996,26.96
7.890000000000001,26.96
7.970000000000002,27.06
7.960000000000001,27.36
8.059999999999999,27.55
8.179999999999996,27.55
8.059999999999999,27.55
8.23,27.55
8.349999999999998,27.55
8.650000000000002,27.55
8.32,27.75
8.219999999999999,27.85
8.519999999999996,27.85
8.519999999999996,27.85
8.519999999999996,27.85
8.27,28.05
8.440000000000001,28.05
8.609999999999996,28.05
8.739999999999998,28.05
8.509999999999998,28.15
8.509999999999998,28.15
8.509999999999998,28.15
8.509999999999998,28.15
8.969999999999999,28.15
8.729999999999997,28.35
8.769999999999996,28.35
8.899999999999999,28.35
8.769999999999996,28.35
8.769999999999996,28.35
8.769999999999996,28.35
8.899999999999999,28.35
8.769999999999996,28.35
8.769999999999996,28.35
8.769999999999996,28.35
9.189999999999998,28.35
9.36,28.35
9.36,28.35
9.36,28.35
8.770000000000003,28.65
9.0,28.54
8.770000000000003,28.65
8.770000000000003,28.65
8.770000000000003,28.65
8.770000000000003,28.65
8.93,28.65
8.93,28.65
9.060000000000002,28.65
9.060000000000002,28.65
9.060000000000002,28.65
9.060000000000002,28.65
9.060000000000002,28.65
9.060000000000002,28.65
9.190000000000005,28.65
9.350000000000001,28.65
9.119999999999997,28.75
9.119999999999997,28.75
9.119999999999997,28.75
9.119999999999997,28.75
9.110000000000003,28.73
9.110000000000003,28.73
9.46,28.54
9.46,28.54
9.46,28.54
9.46,28.54
9.46,28.54
9.46,28.54
9.46,28.54
9.46,28.54
9.46,28.54
9.46,28.54
9.110000000000003,28.73
9.110000000000003,28.73
9.110000000000003,28.73
9.110000000000003,28.73
9.110000000000003,28.73
9.110000000000003,28.73
9.110000000000003,28.73
9.110000000000003,28.73
9.110000000000003,28.73
9.400000000000002,28.73
9.400000000000002,28.73
9.400000000000002,28.73
9.05,28.95
9.05,28.95
9.05,28.95
9.05,28.95
9.05,28.95
9.05,28.95
9.05,28.95
9.05,28.95
9.05,28.95
9.05,28.95
9.05,28.95
9.05,28.95
9.05,28.95
9.05,28.95
9.05,28.95
9.05,28.95
9.05,28.95
9.05,28.95
9.220000000000002,28.95
9.180000000000003,28.95
9.180000000000003,28.95
9.180000000000003,28.95
9.180000000000003,28.95
9.180000000000003,28.95
9.220000000000002,28.95
9.220000000000002,28.95
9.349999999999998,28.95
9.349999999999998,28.95
9.349999999999998,28.95
9.349999999999998,28.95
9.349999999999998,28.95
9.220000000000002,28.95
9.510000000000002,28.95
9.510000000000002,28.95
9.349999999999998,28.95
9.349999999999998,28.95
9.220000000000002,28.95
9.220000000000002,28.95
9.220000000000002,28.95
9.220000000000002,28.95
9.220000000000002,28.95
9.220000000000002,28.95
9.220000000000002,28.95
9.220000000000002,28.95
9.220000000000002,28.95
9.220000000000002,28.95
9.220000000000002,28.95
9.510000000000002,28.95
