R1(O),R2(O),R3(O),R4(O),Angle1(deg),Angle2(deg)
126.13,319.62,289.05,162.25,69.54,83.95
126.16,319.62,289.05,162.34,69.62,83.92
126.16,319.62,289.05,162.39,69.67,83.78
126.2,319.62,289.05,162.39,69.67,83.78
126.16,319.5,289.05,162.44,69.67,83.78
126.16,319.62,289.05,162.44,69.67,83.78
126.13,319.62,289.05,162.53,69.67,83.78
126.09,319.5,289.05,162.53,69.47,83.78
126.06,319.5,289.05,162.62,69.74,83.75
126.06,319.5,289.05,162.67,69.67,83.78
126.03,319.62,289.05,162.71,69.67,83.97
125.99,319.62,289.05,162.76,69.54,83.97
125.96,319.62,289.05,162.81,69.67,83.97
125.93,319.74,289.05,162.85,69.67,83.97
125.89,319.74,289.05,162.95,69.47,83.97
125.86,319.86,289.05,163.04,69.54,83.95
125.82,319.86,289.05,163.18,69.47,83.97
125.79,319.86,289.05,163.36,69.47,83.97
125.76,319.86,289.05,163.55,69.47,83.97
125.76,319.98,289.05,163.69,69.47,83.97
125.72,319.86,289.05,163.88,69.47,83.97
125.72,319.86,288.95,163.97,69.47,83.97
125.76,319.98,288.95,164.11,69.47,83.97
125.76,319.98,288.95,164.2,69.47,83.97
125.72,319.98,288.95,164.3,69.54,83.95
125.72,319.86,288.95,164.34,69.47,83.97
125.72,319.86,288.95,164.44,69.47,83.97
125.72,319.86,288.95,164.53,69.47,83.97
125.72,319.86,288.95,164.58,69.47,83.97
125.72,319.86,288.95,164.62,69.27,83.73
125.72,319.74,288.95,164.62,69.47,83.95
125.72,319.74,288.95,164.58,69.47,83.73
125.72,319.74,288.95,164.58,69.27,83.97
125.72,319.74,288.95,164.58,69.27,83.95
125.72,319.62,288.95,164.53,69.27,83.95
125.72,319.62,288.95,164.48,69.34,83.92
125.76,319.62,288.95,164.48,69.27,83.95
125.72,319.5,288.95,164.53,69.27,83.95
125.72,319.62,288.95,164.53,69.34,83.95
125.72,319.62,288.95,164.53,69.27,83.95
125.72,319.74,288.95,164.58,69.27,83.95
125.72,319.74,288.95,164.58,69.34,83.95
125.72,319.74,288.95,164.39,69.34,83.95
125.72,319.62,288.95,164.3,69.34,83.95
125.72,319.62,288.95,164.11,69.34,83.95
125.72,319.62,288.95,163.92,69.34,83.95
125.72,319.62,288.95,163.74,69.34,83.95
125.72,319.62,288.95,163.55,69.34,83.95
125.76,319.62,288.95,163.36,69.34,83.95
125.76,319.62,288.95,163.22,69.34,83.95
125.76,319.62,288.95,163.08,69.27,83.73
125.72,319.62,289.05,162.95,69.34,83.92
125.72,319.74,289.05,162.76,69.34,83.95
125.72,319.62,288.95,162.62,69.47,83.95
125.72,319.62,288.95,162.48,69.47,83.95
125.72,319.5,288.95,162.44,69.47,83.95
125.72,319.62,288.95,162.44,69.34,83.95
125.72,319.62,288.95,162.67,69.34,83.95
125.72,319.62,288.95,162.85,69.34,83.95
125.72,319.62,288.95,163.13,69.34,83.95
125.72,319.62,288.95,163.41,69.34,83.95
125.72,319.62,288.95,163.69,69.34,83.95
125.72,319.62,288.95,163.88,69.47,83.95
125.69,319.62,288.95,164.11,69.47,83.92
125.69,319.62,288.84,164.34,69.47,83.92
125.69,319.62,288.84,164.53,69.47,83.92
125.69,319.62,288.84,164.72,69.47,83.92
125.69,319.5,288.84,164.81,69.47,83.92
125.69,319.5,288.95,164.81,69.47,83.92
125.69,319.5,288.95,164.81,69.47,83.92
125.69,319.5,288.84,164.72,69.47,83.92
125.69,319.38,288.84,164.53,69.47,83.92
125.69,319.38,288.84,164.3,69.47,83.92
125.69,319.38,288.84,164.02,69.47,83.92
125.69,319.38,288.84,163.74,69.27,83.95
125.69,319.5,288.84,163.46,69.27,83.95
125.76,319.74,288.95,163.27,69.27,83.95
125.82,319.98,289.15,163.13,69.19,83.97
125.86,320.23,289.36,162.95,69.27,83.95
125.89,320.47,289.67,162.71,69.19,83.97
125.89,320.71,289.88,162.53,69.19,83.97
125.89,320.96,290.09,162.34,69.27,83.95
125.89,321.2,290.3,162.25,69.19,83.97
125.89,321.45,290.51,162.25,69.19,83.97
125.93,321.82,290.83,162.25,69.19,83.97
125.96,322.19,291.35,162.25,69.27,83.95
125.96,322.55,291.67,162.3,69.19,83.75
125.96,322.92,291.98,162.3,69.27,83.73
125.96,323.17,292.3,162.39,69.27,83.73
125.93,323.42,292.62,162.39,69.27,83.73
125.89,323.54,292.94,162.44,69.27,83.73
125.79,323.54,293.15,162.34,69.27,83.92
125.69,323.54,293.15,162.25,69.27,83.92
125.62,323.54,293.26,162.16,69.27,83.92
125.55,323.54,293.26,162.11,69.27,83.92
125.52,323.54,293.26,162.11,69.27,83.92
125.49,323.54,293.26,162.11,69.27,83.92
125.45,323.54,293.26,162.11,69.27,83.92
125.39,323.54,293.26,162.11,69.19,83.97
125.32,323.42,293.15,162.11,69.19,83.97
125.22,323.3,292.94,162.02,69.19,84.16
125.15,323.17,292.83,161.93,69.19,84.16
125.08,323.05,292.72,161.88,69.19,84.16
125.05,323.05,292.62,161.79,69.27,84.14
125.02,322.92,292.51,161.75,69.27,83.95
124.98,322.8,292.41,161.7,69.27,83.95
124.95,322.68,292.3,161.7,69.27,83.95
124.92,322.68,292.3,161.7,69.27,83.95
124.88,322.68,292.19,161.7,69.27,83.95
124.85,322.68,292.19,161.7,69.27,83.95
124.82,322.55,292.19,161.7,69.27,83.95
124.78,322.55,292.19,161.66,69.27,83.95
124.75,322.43,292.19,161.66,69.27,83.95
124.75,322.31,292.19,161.66,69.27,83.95
124.72,322.31,292.19,161.7,69.27,83.95
124.72,322.19,292.19,161.88,70.29,83.95
124.72,322.06,292.19,161.93,71.9,83.95
124.72,322.06,292.19,161.93,74.78,83.3
124.68,322.06,292.19,161.75,77.2,83.33
124.68,322.06,292.19,161.7,78.52,83.54
124.68,322.06,292.19,161.98,79.19,83.75
124.68,322.06,292.19,162.34,79.64,83.54
124.68,321.94,292.19,162.81,79.88,83.49
124.68,321.82,292.19,163.13,80.3,83.71
124.68,321.69,292.19,163.36,80.71,83.49
124.68,321.69,292.19,163.55,82.85,83.06
124.68,321.69,292.19,163.78,85.15,82.85
124.68,321.69,292.19,163.97,87.06,82.85
124.72,321.69,292.19,164.2,87.9,83.28
125.05,321.94,292.41,164.81,88.11,83.28
125.39,322.31,292.72,165.33,88.33,83.28
125.62,322.68,293.04,165.85,88.11,83.28
125.76,322.92,293.36,166.18,88.11,83.28
125.79,323.17,293.68,166.66,88.11,83.28
125.76,323.54,293.89,166.85,88.33,83.49
125.72,323.79,294.11,166.47,88.33,83.52
125.72,324.04,294.32,165.9,88.33,83.3
125.79,324.29,294.54,165.33,88.33,83.28
125.82,324.54,294.75,164.95,88.33,83.3
125.82,324.78,294.86,164.67,88.33,83.49
125.82,325.03,294.96,164.2,88.33,83.28
125.76,325.03,295.07,163.74,88.33,83.49
125.69,325.28,295.18,163.27,88.33,83.28
125.55,325.53,295.29,162.71,88.11,83.3
125.08,325.28,295.18,161.84,88.11,83.3
124.62,325.03,294.96,160.79,88.33,83.3
124.25,324.78,294.75,159.93,88.11,83.3
123.99,324.54,294.54,159.34,88.11,83.3
123.82,324.29,294.32,158.8,88.11,83.3
123.72,324.04,294.22,158.44,88.11,83.3
123.59,323.91,294.0,158.22,88.11,83.3
123.46,323.79,293.79,158.04,88.11,83.3
123.23,323.67,293.68,157.82,88.11,83.3
123.03,323.54,293.47,157.55,88.11,83.3
122.86,323.42,293.47,157.29,88.11,83.3
122.7,323.3,293.47,157.15,88.11,83.3
122.6,323.3,293.47,157.02,88.11,83.3
122.5,323.17,293.36,156.89,88.11,83.52
122.44,323.05,293.26,156.49,88.33,83.33
122.41,323.05,293.15,156.1,88.33,83.33
122.37,323.05,293.04,155.96,88.33,83.3
122.34,323.05,292.94,155.83,88.33,83.3
122.31,323.05,292.83,155.66,88.33,83.3
122.27,323.05,292.72,155.53,88.33,83.3
122.24,323.05,292.62,155.4,88.33,83.3
122.24,322.92,292.62,155.35,88.33,83.3
122.18,322.92,292.62,155.48,88.33,83.3
122.14,322.92,292.62,155.57,88.33,83.3
122.11,322.92,292.62,155.57,88.33,83.3
122.11,322.92,292.51,155.79,88.33,83.3
122.08,322.92,292.41,156.05,88.54,83.11
122.05,322.92,292.3,156.32,88.54,83.28
122.01,322.92,292.3,156.54,88.54,83.28
121.98,322.92,292.3,156.98,88.54,83.28
121.95,322.92,292.3,157.37,87.27,83.09
121.92,322.92,292.3,157.73,82.25,80.89
121.88,322.92,292.3,158.08,73.68,76.17
121.85,322.92,292.3,158.49,64.93,70.26
121.82,322.92,292.3,158.8,57.71,65.48
121.79,322.92,292.3,159.02,54.44,62.85
121.75,323.05,292.3,158.8,54.68,62.65
121.75,323.05,292.3,158.62,57.59,63.92
121.75,323.05,292.19,158.67,61.56,66.17
121.75,323.05,292.3,158.89,65.12,68.4
121.72,323.05,292.3,158.8,66.72,69.5
121.72,323.05,292.3,158.4,66.25,69.5
121.72,323.05,292.3,158.08,64.19,68.52
121.72,323.05,292.3,157.86,61.84,67.06
121.72,323.05,292.3,157.73,59.68,65.88
121.72,323.05,292.3,157.6,59.4,65.0
121.72,323.05,292.3,157.46,59.22,65.39
121.72,323.05,292.3,157.29,59.5,65.59
121.72,323.05,292.3,157.2,59.5,65.68
121.72,323.05,292.3,157.15,59.5,65.68
121.72,323.05,292.3,157.15,59.68,65.39
121.72,323.05,292.3,157.55,59.68,65.39
121.72,323.05,292.3,157.77,59.68,65.39
121.72,323.05,292.3,157.82,59.68,65.59
121.72,323.05,292.19,157.73,59.68,65.39
121.75,323.17,292.41,157.82,59.68,65.59
121.85,323.3,292.51,158.22,59.68,65.39
122.01,323.3,292.51,158.58,59.68,65.39
122.14,323.3,292.51,158.89,59.4,65.39
122.24,323.3,292.41,159.16,59.5,65.3
122.34,323.17,292.3,159.34,59.22,65.3
122.44,323.05,292.19,159.29,59.22,65.3
122.54,322.92,292.09,159.34,59.22,65.21
122.6,322.8,291.98,159.25,59.11,65.1
122.67,322.68,291.88,159.2,58.93,65.1
122.73,322.56,291.77,159.52,58.93,65.1
122.8,322.43,291.67,159.61,58.93,65.1
122.86,322.31,291.56,159.65,58.93,65.1
122.93,322.19,291.46,159.56,58.75,65.01
123.0,322.06,291.35,159.61,58.46,65.01
123.0,321.82,291.04,159.56,58.46,65.01
122.93,321.57,290.83,159.56,58.28,65.01
122.8,321.45,290.72,159.52,58.35,64.81
122.7,321.33,290.62,159.34,58.28,64.81
122.63,321.2,290.51,159.2,58.28,64.81
122.57,321.08,290.51,159.34,58.28,64.81
122.5,321.08,290.41,159.11,58.28,64.81
122.44,321.08,290.3,158.84,58.28,64.81
122.41,321.08,290.2,158.58,58.28,64.81
122.37,321.08,290.09,158.26,58.28,64.81
122.34,321.08,289.99,157.64,58.06,64.81
122.31,321.08,289.88,157.29,57.99,64.81
122.27,321.08,289.78,156.98,58.11,64.72
122.21,320.96,289.67,156.76,57.99,64.52
122.14,320.96,289.57,156.4,57.99,64.52
122.11,320.84,289.47,156.1,57.99,64.52
122.08,320.84,289.36,155.75,57.99,64.52
122.05,320.84,289.36,155.44,57.99,64.52
122.01,320.84,289.26,155.0,57.99,64.52
121.98,320.84,289.26,154.57,57.88,64.52
121.95,320.96,289.15,153.88,57.88,64.52
121.92,320.96,289.15,153.88,57.88,64.52
121.88,320.84,289.15,153.71,57.88,64.52
121.85,320.84,289.15,153.58,57.71,64.52
121.82,320.84,289.15,153.62,57.53,64.52
121.79,320.72,289.15,153.67,57.71,64.32
121.75,320.72,289.15,153.54,57.71,64.32
121.72,320.59,289.15,153.32,57.59,64.32
121.72,320.72,289.15,153.32,57.42,64.52
121.72,320.59,289.15,153.28,57.59,64.32
121.72,320.59,289.15,153.11,57.35,64.42
121.72,320.59,289.15,152.94,57.35,64.42
121.72,320.47,289.05,152.68,57.42,64.32
121.69,320.35,289.05,152.89,57.53,64.22
121.69,320.35,289.05,152.89,57.53,64.22
121.69,320.23,289.05,152.94,57.53,64.22
121.69,320.11,289.05,152.25,57.53,64.22
121.69,320.11,289.05,151.7,55.61,65.01
121.69,319.98,289.05,151.11,51.74,67.95
121.69,319.86,289.05,150.36,49.79,69.29
121.66,319.86,289.05,149.57,49.49,69.57
121.62,319.74,289.05,148.94,49.21,69.57
121.59,319.74,288.95,148.45,49.21,69.57
121.56,319.62,288.95,148.08,48.61,69.57
121.53,319.62,288.95,147.87,48.0,69.5
121.49,319.62,288.95,147.83,47.54,69.29
121.46,319.5,288.95,147.47,47.25,69.09
121.43,319.5,288.95,147.34,47.1,68.81
121.43,319.5,288.95,147.1,46.95,68.81
121.4,319.38,288.84,147.02,46.95,68.81
121.37,319.38,288.84,146.94,46.8,68.73
121.33,319.38,288.84,147.42,46.2,68.73
121.3,319.38,288.84,147.96,45.9,68.52
121.27,319.38,288.84,148.41,45.45,68.52
121.24,319.38,288.84,148.86,45.15,68.32
121.24,319.38,288.84,149.4,44.85,68.32
121.24,319.38,288.84,149.86,44.7,68.32
121.24,319.38,288.95,150.27,44.4,68.32
121.24,319.38,288.95,150.27,44.4,68.24
121.24,319.38,288.95,150.32,44.25,68.24
121.24,319.38,288.95,150.23,44.24,68.04
121.24,319.38,288.95,150.44,43.95,68.24
121.24,319.38,288.95,150.44,43.95,68.24
121.24,319.38,288.95,150.36,43.94,68.04
121.24,319.38,289.05,150.32,43.64,68.24
121.24,319.38,289.05,150.27,43.5,67.95
121.24,319.38,289.05,150.19,43.49,68.16
121.24,319.38,289.05,150.15,43.35,68.16
121.24,319.38,289.05,150.23,43.35,68.16
121.24,319.38,289.05,150.27,43.19,67.83
121.24,319.38,289.05,150.23,43.19,67.83
121.24,319.38,289.05,150.23,43.19,67.83
121.24,319.38,288.95,150.27,43.05,67.95
121.24,319.38,288.95,150.32,42.89,67.83
121.24,319.38,288.95,150.32,42.89,67.83
121.24,319.38,288.95,150.32,42.73,67.83
121.24,319.38,288.95,150.32,42.89,67.75
121.24,319.38,288.95,150.4,42.73,67.55
121.24,319.38,288.95,150.48,42.58,67.55
121.24,319.38,288.95,150.53,42.43,67.55
121.24,319.38,288.95,150.57,42.58,67.55
121.24,319.38,288.95,150.65,42.43,67.55
121.24,319.38,288.95,150.65,42.43,67.55
121.24,319.38,288.95,150.65,42.43,67.63
121.24,319.38,288.95,150.69,42.43,67.63
121.24,319.38,288.95,150.78,42.13,67.63
121.24,319.38,288.95,150.82,42.29,67.46
121.24,319.38,289.05,150.82,42.27,67.43
121.24,319.38,289.05,150.9,42.29,67.55
121.24,319.38,289.05,150.82,42.29,67.63
121.24,319.38,289.05,150.86,42.13,67.55
121.24,319.38,289.05,150.9,41.99,67.55
121.24,319.38,289.05,150.9,41.83,67.51
121.24,319.38,289.05,150.86,41.83,67.43
121.2,319.38,289.05,150.86,41.83,67.43
121.17,319.38,289.05,150.86,41.67,67.43
121.17,319.38,289.05,150.86,41.67,67.43
121.17,319.38,289.05,150.99,41.67,67.43
121.17,319.38,289.05,150.99,41.67,67.43
121.17,319.38,289.05,151.03,41.67,67.43
121.14,319.38,289.05,150.99,41.69,67.35
121.14,319.38,289.05,150.99,41.69,67.43
121.11,319.38,289.05,151.03,41.69,67.35
121.11,319.38,289.05,151.03,41.69,67.35
121.11,319.38,289.05,151.11,41.69,67.35
121.07,319.38,289.05,151.11,41.69,67.43
121.04,319.38,289.05,151.16,41.69,67.35
121.01,319.38,288.95,151.2,41.69,67.35
120.98,319.38,288.95,151.24,41.53,67.35
120.98,319.38,288.95,151.28,41.37,67.35
120.98,319.38,288.95,151.32,41.37,67.35
120.95,319.38,288.84,151.41,67.35,
120.91,319.38,288.84,151.37,41.23,67.46
120.88,319.38,288.84,151.45,41.39,67.35
120.85,319.38,288.84,151.49,41.39,67.35
120.85,319.38,288.84,151.62,41.53,67.15
120.82,319.38,288.74,151.7,41.53,67.15
120.82,319.38,288.74,151.75,41.39,67.35
120.78,319.38,288.74,151.79,41.39,67.35
120.75,319.38,288.74,151.87,41.39,67.35
120.75,319.38,288.74,152.0,41.53,67.15
120.75,319.38,288.74,152.17,41.37,67.15
120.75,319.25,288.84,152.21,41.37,67.15
120.75,319.25,288.84,151.87,41.37,67.15
120.75,319.25,288.74,151.96,41.37,67.26
120.75,319.25,288.74,152.04,41.37,67.26
120.75,319.25,288.84,152.21,41.37,67.26
120.75,319.25,288.84,152.26,41.21,67.15
120.75,319.25,288.84,152.09,41.21,67.15
120.75,319.25,288.84,152.0,41.21,67.15
120.75,319.25,288.74,151.92,41.21,67.15
120.75,319.25,288.84,151.87,41.21,67.15
120.75,319.25,288.84,151.87,41.21,67.15
120.75,319.25,288.74,151.92,41.07,67.15
120.75,319.25,288.74,152.09,41.07,67.15
120.75,319.25,288.63,152.17,41.07,67.15
120.75,319.25,288.63,152.04,41.07,67.23
120.75,319.38,288.53,152.13,41.07,67.23
120.75,319.38,288.53,152.77,41.07,67.23
120.75,319.38,288.53,152.68,41.07,67.15
120.75,319.38,288.43,152.72,41.07,67.15
120.75,319.38,288.32,152.68,41.23,67.06
120.75,319.25,288.22,152.68,41.07,67.15
120.75,319.25,288.12,152.85,41.23,67.06
120.75,319.25,288.12,153.02,41.07,67.15
120.75,319.25,288.12,153.19,41.07,67.15
120.75,319.25,288.12,153.32,41.09,67.15
120.75,319.25,288.12,153.32,40.93,67.06
120.75,319.25,288.12,153.24,40.76,67.15
120.75,319.25,288.12,153.06,40.76,67.26
120.75,319.25,288.22,153.19,40.76,67.06
120.75,319.25,288.12,153.28,40.76,67.06
120.75,319.25,288.22,153.32,40.76,67.06
120.75,319.25,288.22,153.45,40.76,67.06
120.75,319.25,288.32,153.49,40.6,67.35
120.75,319.25,288.43,153.54,40.76,67.06
120.75,319.25,288.43,153.58,40.76,67.15
120.75,319.38,288.43,153.97,40.6,67.15
120.75,319.38,288.43,154.27,40.76,67.23
120.75,319.38,288.43,154.27,40.62,67.23
120.75,319.38,288.53,154.4,40.46,67.15
120.75,319.38,288.53,154.61,40.46,67.23
120.75,319.38,288.43,154.92,40.76,66.94
120.75,319.38,288.43,155.14,40.46,67.15
120.75,319.38,288.32,155.14,40.62,67.06
120.75,319.38,288.22,155.09,40.62,67.15
120.75,319.38,288.32,155.22,40.62,67.06
120.75,319.38,288.32,155.27,40.62,67.15
120.75,319.38,288.22,154.92,40.62,67.15
120.75,319.38,288.22,155.14,40.76,66.86
120.75,319.38,288.12,155.22,40.76,66.94
120.75,319.38,288.12,155.18,40.76,66.94
120.75,319.38,288.12,154.87,40.46,67.35
120.75,319.38,288.12,154.66,40.76,67.06
120.75,319.38,288.01,154.7,40.76,67.06
120.75,319.38,287.91,154.48,40.6,66.94
120.75,319.38,287.81,154.27,40.6,66.94
120.75,319.38,287.81,154.14,40.6,67.15
120.75,319.38,287.91,154.23,40.76,67.06
120.75,319.38,287.91,154.4,40.6,67.15
120.75,319.38,288.01,154.4,40.6,67.15
120.75,319.38,287.91,154.44,40.6,67.15
120.75,319.38,287.91,154.53,40.76,67.06
120.75,319.38,287.91,154.61,40.6,67.06
120.75,319.38,287.81,154.74,40.6,66.94
120.75,319.38,287.81,154.79,40.62,67.06
120.75,319.38,287.81,154.66,40.62,67.06
120.75,319.38,287.81,154.79,40.62,67.06
120.75,319.38,287.81,154.61,40.62,67.06
120.75,319.38,287.81,154.57,40.62,67.06
120.75,319.38,287.81,154.7,40.62,67.06
120.75,319.38,287.81,154.87,40.62,67.06
120.75,319.38,287.81,154.96,40.62,67.06
120.75,319.38,287.81,154.87,40.62,67.06
120.75,319.38,287.81,154.83,40.62,67.06
120.75,319.38,287.81,154.79,40.62,67.06
120.75,319.38,287.81,154.74,40.62,67.06
120.75,319.38,287.7,154.7,40.62,66.94
120.75,319.38,287.7,154.92,40.62,67.06
120.75,319.38,287.7,154.83,40.62,67.06
120.75,319.38,287.7,154.74,40.6,66.94
120.75,319.38,287.7,154.87,40.6,67.06
120.75,319.25,287.81,154.7,40.46,66.94
120.75,319.38,287.91,154.83,40.46,66.94
120.75,319.38,287.91,154.79,40.46,66.94
120.75,319.38,287.91,154.66,40.46,67.06
120.75,319.38,287.91,154.44,40.46,66.94
120.75,319.38,287.91,154.23,40.46,67.06
120.75,319.38,287.81,154.14,40.32,66.86
120.75,319.38,287.81,154.05,40.32,66.86
120.75,319.38,287.7,153.97,40.32,66.86
120.75,319.38,287.7,153.88,40.32,66.86
120.75,319.38,287.7,153.79,40.32,66.86
120.78,319.38,287.81,153.62,40.3,66.86
120.82,319.38,287.91,153.58,40.16,66.86
120.95,319.38,288.01,153.79,40.16,66.86
121.24,319.5,288.12,154.23,40.16,66.86
121.62,319.74,288.12,154.79,40.16,66.86
122.01,319.74,288.12,155.4,40.16,66.86
122.37,319.86,288.22,156.01,40.16,66.86
122.73,319.98,288.32,156.67,40.16,66.94
123.06,320.11,288.43,157.68,40.16,66.94
123.39,320.23,288.53,158.22,40.16,66.94
123.72,320.35,288.63,158.62,40.16,66.94
124.02,320.47,288.74,159.65,40.16,66.94
124.32,320.59,288.84,160.74,40.16,66.94
124.62,320.72,288.95,161.24,40.16,66.86
124.95,320.84,289.15,162.16,40.16,66.86
125.25,320.96,289.26,162.44,40.0,66.86
125.59,321.08,289.36,162.81,40.0,66.86
125.79,321.2,289.36,163.04,40.16,66.86
125.82,321.2,289.36,163.08,40.0,66.86
125.76,321.2,289.36,163.04,40.14,66.86
125.69,321.2,289.36,163.74,40.0,66.86
125.69,321.2,289.47,164.2,40.0,66.86
125.69,321.2,289.57,164.16,40.0,66.86
125.72,321.2,289.67,163.88,40.0,66.86
125.79,321.2,289.78,164.34,40.0,66.86
125.89,321.2,289.88,165.09,40.0,66.86
126.06,321.2,289.99,165.0,40.0,66.86
126.23,321.2,290.09,164.81,40.0,66.86
126.4,321.2,290.2,165.24,40.0,66.86
126.57,321.2,290.2,165.09,40.0,66.86
126.77,321.2,290.2,165.8,39.86,66.86
126.98,321.2,290.2,166.52,39.86,67.06
127.22,321.33,290.3,167.66,39.86,67.06
127.46,321.33,290.41,168.63,39.86,67.06
127.66,321.33,290.41,168.97,39.86,67.06
127.83,321.33,290.41,168.53,39.86,67.06
127.97,321.33,290.3,168.34,39.86,67.06
128.11,321.33,290.2,169.21,39.86,67.06
128.21,321.33,290.09,169.41,39.86,67.06
128.28,321.33,289.99,169.45,39.86,67.06
128.31,321.33,289.88,169.31,39.86,67.06
128.31,321.33,289.78,169.7,39.86,67.06
128.31,321.33,289.67,169.7,39.86,67.06
128.28,321.2,289.57,169.89,39.86,66.94
128.21,321.2,289.47,170.09,39.7,66.94
128.11,321.2,289.36,170.24,39.7,67.06
127.97,321.2,289.26,170.24,39.56,67.06
127.83,321.08,289.15,169.6,39.56,66.94
127.7,321.08,289.05,169.06,39.56,66.86
127.59,321.08,289.05,169.26,39.56,66.86
127.52,321.08,289.05,169.41,39.56,66.86
127.46,321.08,289.05,169.5,39.56,66.86
127.35,321.08,289.05,169.02,39.56,67.06
127.32,321.08,289.05,168.92,39.7,66.66
127.25,321.08,289.05,168.73,39.7,66.66
127.18,321.08,289.05,168.63,39.56,67.06
127.11,321.08,289.05,168.29,39.56,66.97
127.05,321.08,289.05,168.34,39.56,67.06
127.01,321.08,289.05,168.29,39.56,67.06
126.98,321.08,289.05,168.29,39.56,67.06
126.94,321.08,289.05,168.05,39.72,66.97
126.91,321.08,289.05,167.86,39.7,66.77
126.87,321.08,289.05,167.9,39.39,67.06
126.84,320.96,289.05,168.15,39.72,66.77
126.81,320.96,289.05,168.34,39.56,67.06
126.77,320.84,289.05,168.39,39.72,66.97
126.74,320.72,289.05,168.53,39.72,66.97
126.74,320.72,289.05,168.58,39.7,66.77
126.7,320.59,289.05,168.68,39.7,66.77
126.7,320.59,289.05,168.73,39.56,66.77
126.67,320.59,289.05,168.92,39.7,66.77
126.64,320.47,289.05,169.06,39.56,66.77
126.6,320.35,289.05,169.26,39.56,66.77
126.57,320.47,289.05,169.16,40.93,67.35
126.53,320.35,289.05,168.87,43.34,68.12
126.5,320.23,289.05,168.68,47.11,69.98
126.47,320.11,289.05,168.53,51.17,72.05
126.43,319.98,289.05,168.34,54.49,74.32
126.4,319.98,289.05,168.24,56.6,75.49
126.37,319.86,289.05,168.0,57.25,76.02
126.33,319.86,289.05,167.95,57.07,76.02
126.3,319.86,289.05,167.95,57.07,76.02
126.26,319.74,289.05,167.71,57.07,76.02
126.23,319.74,289.05,167.66,57.66,75.96
126.2,319.62,289.05,167.62,57.95,75.96
126.2,319.5,289.05,167.38,58.35,75.96
126.2,319.5,289.05,167.09,59.18,75.96
126.2,319.5,288.95,166.75,59.65,76.23
126.2,319.38,288.95,166.8,60.49,76.49
126.2,319.38,288.95,166.94,61.17,76.91
126.2,319.38,288.95,167.33,62.2,77.01
126.2,319.38,288.95,167.62,62.3,77.21
126.2,319.38,288.95,167.81,62.49,77.21
126.2,319.38,288.84,167.71,62.59,77.21
126.2,319.38,288.84,167.76,62.59,77.38
126.16,319.38,288.74,167.81,63.53,77.33
126.16,319.38,288.63,167.57,63.53,77.85
126.16,319.38,288.63,167.81,64.29,77.89
126.16,319.38,288.63,168.0,64.75,78.06
126.16,319.38,288.53,168.29,65.33,78.27
126.16,319.38,288.53,168.58,66.27,78.77
126.16,319.38,288.53,168.82,67.22,79.16
126.16,319.5,288.63,169.02,67.77,79.58
126.16,319.62,288.63,169.06,68.43,79.83
126.16,319.74,288.63,169.26,69.1,80.25
126.16,319.98,288.74,169.21,69.89,80.54
126.2,320.23,288.84,169.21,70.63,81.38
126.26,320.47,288.95,169.21,71.57,82.02
126.3,320.71,289.15,169.36,71.9,82.69
126.33,320.96,289.36,169.5,72.1,82.9
126.4,321.2,289.57,169.5,71.63,82.9
126.43,321.45,289.78,169.75,71.36,82.93
126.47,321.69,289.88,169.8,71.09,82.93
126.47,321.94,289.99,169.84,70.82,82.93
126.47,322.18,290.2,169.84,70.62,82.93
126.47,322.43,290.3,169.8,70.49,83.09
126.5,322.68,290.41,169.75,70.49,83.06
126.5,322.8,290.51,169.7,70.14,83.06
126.5,322.92,290.62,169.6,70.02,83.06
126.53,323.17,290.93,169.55,70.02,83.06
126.57,323.29,291.14,169.5,69.74,83.06
126.53,323.42,291.35,169.36,69.74,83.06
126.47,323.54,291.56,169.11,69.39,83.09
126.47,323.67,291.77,169.02,69.19,82.9
126.43,323.79,291.88,168.97,69.19,83.09
126.4,323.79,292.09,168.97,68.99,83.09
126.37,323.79,292.3,168.82,68.99,83.09
126.33,323.79,292.51,168.58,69.07,82.87
126.33,323.79,292.62,168.48,69.07,82.9
126.33,323.79,292.72,168.34,68.87,82.9
126.33,323.79,292.83,168.15,68.67,82.87
126.3,323.79,292.94,168.15,68.79,83.06
126.3,323.79,293.04,168.58,68.79,82.87
126.26,323.79,293.15,168.77,68.79,83.06
126.2,323.67,293.04,168.77,68.79,83.06
126.16,323.54,292.94,168.77,68.52,83.06
126.13,323.42,292.83,168.82,68.59,83.06
126.09,323.29,292.72,168.77,68.4,83.06
126.03,323.17,292.62,168.63,68.32,83.06
125.99,323.05,292.51,168.58,68.32,82.93
125.96,323.05,292.41,168.68,68.32,82.93
125.93,323.05,292.3,168.82,68.24,82.93
125.89,323.05,292.19,168.92,68.24,82.93
125.86,323.05,292.19,168.92,68.24,82.93
125.82,323.05,292.19,168.92,68.04,82.93
125.79,323.05,292.19,169.02,68.24,82.93
125.76,323.05,292.19,169.02,68.04,82.93
125.72,323.05,292.19,168.58,68.04,82.9
125.72,323.05,292.19,168.34,68.04,83.11
125.72,323.05,292.19,168.15,68.04,83.11
125.69,323.05,292.19,167.95,68.04,83.11
125.69,323.05,292.19,167.81,67.92,83.11
125.69,323.05,292.09,167.9,67.92,83.09
125.69,322.92,292.09,167.86,67.84,83.09
