R1(O),R2(O),R3(O),R4(O),Angle1(deg),Angle2(deg)
122.21,323.05,292.3,152.51,52.42,61.35
122.21,323.05,292.19,152.68,52.29,61.35
122.18,322.93,292.19,152.89,52.29,61.35
122.15,322.93,292.19,153.02,52.29,61.35
122.15,322.93,292.19,153.19,52.29,61.35
122.11,322.93,292.19,153.28,52.29,61.35
122.08,322.93,292.19,153.24,52.29,61.35
122.05,322.93,292.19,153.28,52.16,61.35
122.02,322.93,292.19,153.28,52.0,61.35
121.98,322.93,292.19,153.36,52.13,61.25
121.95,322.93,292.19,153.41,52.13,61.25
121.92,322.93,292.19,153.41,52.13,61.25
121.89,322.93,292.19,153.45,52.13,61.25
121.85,322.93,292.19,153.45,52.16,61.27
121.82,322.93,292.19,153.45,52.16,61.27
121.79,322.93,292.19,153.49,52.0,61.46
121.76,322.93,292.19,153.58,52.0,61.46
121.76,323.05,292.19,153.58,52.0,61.46
121.76,323.05,292.19,153.66,52.0,61.46
121.72,323.05,292.19,153.71,52.0,61.46
121.72,323.05,292.19,153.75,52.0,61.46
121.72,323.05,292.19,153.79,52.0,61.46
121.72,323.05,292.19,153.88,52.0,61.46
121.72,323.05,292.19,153.92,52.0,61.46
121.72,323.05,292.19,153.97,52.0,61.46
121.72,323.05,292.19,154.01,52.16,61.27
121.72,323.05,292.19,154.05,52.16,61.27
121.72,323.05,292.19,154.05,52.16,61.27
121.72,323.05,292.19,154.14,52.16,61.27
121.72,323.05,292.19,154.18,52.16,61.27
121.72,323.05,292.19,154.18,52.16,61.27
121.72,323.05,292.19,154.14,52.16,61.27
121.72,323.05,292.19,154.18,52.16,61.27
121.72,323.05,292.19,154.18,52.16,61.27
121.72,323.05,292.19,154.22,51.87,61.27
121.72,323.05,292.19,154.22,51.87,61.27
121.72,323.05,292.19,154.31,51.87,61.27
121.69,323.05,292.19,154.27,52.0,61.05
121.69,323.05,292.19,154.27,52.0,61.05
121.69,323.05,292.19,154.31,52.0,61.05
121.69,323.05,292.19,154.35,52.0,61.05
121.69,323.05,292.19,154.27,52.0,61.05
121.69,323.05,292.19,154.22,52.0,61.05
121.66,323.05,292.19,153.71,52.0,61.05
121.63,323.05,292.19,153.19,52.0,61.05
121.59,323.05,292.19,152.72,52.0,61.05
121.59,323.05,292.19,152.25,52.0,61.05
121.56,323.05,292.19,151.96,52.0,61.05
121.53,323.05,292.19,151.66,52.0,61.05
121.5,322.93,292.19,151.32,52.0,61.05
121.46,322.93,292.19,151.03,52.0,61.05
121.43,322.8,292.19,150.69,52.0,61.05
121.43,322.8,292.19,150.44,52.0,61.05
121.4,322.8,292.19,150.15,52.0,61.05
121.37,322.8,292.19,149.86,52.0,61.05
121.33,322.8,292.19,149.57,51.83,61.05
121.3,322.8,292.19,149.4,51.87,61.05
121.27,322.8,292.19,149.19,51.87,61.05
121.27,322.8,292.19,149.4,51.87,61.05
121.27,322.8,292.19,149.61,51.87,61.05
121.27,322.8,292.19,149.77,51.87,61.05
121.24,322.8,292.19,149.94,51.83,61.05
121.24,322.8,292.19,149.94,51.83,61.05
121.24,322.8,292.19,149.98,51.7,61.05
121.24,322.93,292.19,150.02,51.7,61.05
121.24,322.93,292.19,150.07,51.7,61.05
121.24,323.05,292.19,150.11,51.7,61.05
121.24,322.93,292.19,150.15,51.7,61.05
121.24,322.93,292.19,150.19,51.83,61.05
121.24,322.93,292.19,150.23,51.54,61.05
121.24,322.93,292.19,150.32,51.54,61.05
121.24,322.93,292.19,150.36,51.7,61.05
121.24,322.93,292.19,150.4,51.7,61.05
121.24,322.93,292.19,150.44,51.83,61.05
121.24,322.93,292.19,150.53,51.83,61.05
121.24,322.93,292.19,150.61,51.83,61.05
121.24,322.8,292.19,150.69,51.83,61.05
121.24,322.68,292.19,150.74,51.83,61.05
121.24,322.68,292.19,150.82,51.83,61.05
121.24,322.68,292.19,150.9,51.83,61.05
121.24,322.68,292.19,150.99,51.83,61.05
121.24,322.68,292.19,151.11,51.83,61.05
121.24,322.8,292.19,151.28,51.83,61.05
121.24,322.68,292.19,151.58,51.83,61.05
121.24,322.68,292.19,151.83,51.54,61.05
121.24,322.68,292.19,152.0,51.54,61.05
121.24,322.56,292.19,152.25,51.54,61.05
121.24,322.56,292.19,152.47,51.54,61.05
121.24,322.56,292.19,152.68,51.54,61.05
121.24,322.56,292.19,152.85,51.54,61.05
121.24,322.56,292.19,152.89,51.54,61.05
121.24,322.68,292.19,153.06,51.54,61.05
121.24,322.68,292.19,153.24,51.54,61.16
121.24,322.68,292.19,153.36,51.54,61.05
121.24,322.68,292.19,153.49,51.54,61.05
121.24,322.68,292.19,153.58,51.54,61.05
121.24,322.68,292.19,153.62,51.41,60.86
121.24,322.68,292.19,153.67,51.41,60.86
121.24,322.8,292.19,153.58,51.41,60.86
121.24,322.8,292.19,153.54,51.41,60.86
121.24,322.8,292.19,153.49,51.41,60.86
121.24,322.8,292.19,153.41,51.41,60.86
121.24,322.8,292.19,153.36,51.41,60.86
121.24,322.8,292.19,153.32,51.41,60.86
121.24,322.8,292.19,153.28,51.41,60.86
121.24,322.68,292.19,153.36,51.41,60.86
121.24,322.68,292.19,153.32,51.41,60.86
121.24,322.8,292.19,153.28,51.41,60.86
121.24,322.8,292.19,153.24,51.41,60.86
