Time(s),R1(O),R2(O),R3(O),R4(O)
3.94,210.08,12.29,9.91,166.28
3.97,210.21,12.30,9.90,167.09
4.01,210.41,12.28,9.89,168.00
4.04,210.80,12.13,9.87,168.73
4.07,211.46,12.12,9.83,148.20
4.1,212.25,12.10,9.78,129.75
4.14,213.18,12.08,9.68,114.76
4.17,214.11,12.06,9.58,101.61
4.19,215.05,16.90,9.45,89.74
4.23,216.00,22.23,9.28,78.94
4.26,216.95,28.11,9.10,69.67
4.29,217.91,34.69,8.95,60.76
4.32,218.94,42.03,8.80,52.95
4.35,220.05,50.29,8.64,45.82
4.39,221.17,59.64,8.49,39.32
4.42,222.15,59.95,8.41,33.44
4.44,223.07,60.08,8.33,28.03
4.48,223.93,60.21,8.25,23.06
4.51,224.57,60.56,8.18,18.19
4.54,224.86,71.36,8.06,17.88
4.57,225.00,83.85,7.94,17.79
4.6,225.00,98.47,7.87,17.15
4.64,225.00,115.76,7.80,16.87
4.67,225.00,115.73,7.79,16.21
4.7,225.00,115.67,7.81,15.99
4.73,225.00,115.61,7.82,15.62
4.77,225.00,115.52,7.80,15.57
4.8,224.93,115.42,7.78,15.53
4.83,224.71,115.33,7.76,15.50
4.86,224.50,115.27,7.75,15.51
4.89,224.36,135.15,7.66,15.50
4.93,224.21,159.69,7.56,15.49
4.96,224.07,190.41,7.48,15.16
4.99,223.93,230.19,7.36,15.47
5.02,223.86,230.11,7.32,15.47
5.06,223.79,230.04,7.29,15.15
5.09,223.71,229.96,7.25,15.47
5.12,223.71,229.96,7.21,15.46
5.15,223.71,230.04,7.19,15.87
5.18,223.79,230.41,7.17,16.01
5.22,187.37,192.01,7.43,16.21
5.25,158.93,161.69,7.81,16.36
5.28,158.48,136.44,8.35,16.52
5.32,158.03,115.91,8.58,16.68
5.34,134.45,115.91,8.79,16.89
5.38,115.88,99.27,9.07,17.11
5.41,100.31,84.62,9.67,17.34
5.44,86.49,72.52,10.27,22.02
5.47,74.49,61.78,10.89,22.15
5.5,64.15,52.49,11.35,22.25
5.53,54.89,44.29,11.79,22.73
5.57,46.66,36.93,12.22,22.83
5.59,39.30,30.33,12.64,22.95
5.63,32.70,24.38,13.06,22.98
5.66,26.94,18.87,13.65,22.92
5.69,27.17,18.70,13.87,22.81
5.72,27.32,18.66,13.93,22.74
5.75,21.98,18.81,13.81,22.68
5.78,17.13,18.91,14.06,22.59
5.82,17.28,14.02,14.46,22.46
5.84,17.22,13.95,14.63,22.31
5.88,17.14,14.03,14.44,22.15
5.91,17.18,13.93,14.25,17.88
5.94,17.21,13.92,14.07,17.85
5.97,17.17,13.85,14.07,17.84
6.0,17.19,13.79,14.24,17.83
6.03,17.23,13.77,14.32,17.83
6.06,17.27,13.74,14.37,17.83
6.09,17.30,13.69,14.43,17.89
6.13,17.15,13.72,14.31,17.95
6.16,17.00,13.74,14.28,22.21
6.19,16.86,13.70,14.29,22.25
6.22,16.86,13.65,14.34,22.28
6.25,16.85,13.61,14.38,22.32
6.28,16.82,13.57,14.28,22.36
6.31,16.76,13.56,14.34,22.39
6.35,16.66,13.56,14.40,22.43
6.37,16.61,13.56,14.47,22.48
6.41,16.58,13.56,14.53,22.56
6.44,16.56,13.56,14.59,22.67
6.47,16.53,13.53,14.53,27.31
6.5,16.52,13.50,14.51,27.36
6.53,16.51,13.49,14.55,27.44
6.57,16.50,13.48,14.59,27.49
6.6,16.47,13.46,14.62,32.47
6.62,16.46,13.45,14.66,32.46
6.66,16.44,13.42,14.68,37.92
6.69,16.42,13.39,14.68,43.87
6.72,16.39,13.36,14.69,50.42
