imgnum,Angle1(deg),Angle2(deg)
270,13.72,6.39
271,13.93,6.34
272,13.93,6.34
273,13.72,6.39
274,13.72,6.39
275,13.93,6.34
276,13.72,6.39
277,13.93,6.34
278,13.93,6.34
279,13.93,6.34
280,13.93,6.34
281,13.93,6.34
282,14.39,6.34
283,14.87,5.86
284,14.1,6.34
285,14.34,6.39
286,14.39,6.34
287,14.17,6.39
288,14.39,6.34
289,14.17,6.39
290,14.17,6.39
291,14.39,6.34
292,14.34,6.39
293,14.1,6.34
294,14.1,6.34
295,14.56,6.34
296,14.56,6.34
297,14.1,6.34
298,14.34,6.39
299,13.88,6.39
300,14.34,6.39
301,13.88,6.39
302,14.34,6.39
303,14.34,6.39
304,14.56,6.34
305,13.88,6.39
306,14.36,5.91
307,13.93,6.34
308,4.59,7.37
309,4.59,7.37
310,3.83,6.82
311,2.66,6.88
312,2.21,6.39
313,-0.05,6.82
314,-3.08,7.37
315,-4.51,7.37
316,-4.89,6.82
317,-4.89,6.82
318,-4.91,6.82
319,-5.46,6.88
320,-4.99,6.88
321,-4.99,6.88
322,-5.45,6.88
323,-5.45,6.88
324,-5.45,6.88
325,-5.45,6.88
326,-5.45,6.88
327,-4.99,6.88
328,-4.99,6.88
329,-5.39,6.82
330,-5.45,6.88
331,-4.91,6.82
332,-4.97,6.88
333,-4.86,6.77
334,-5.38,6.82
335,-5.38,6.82
336,-5.38,6.82
337,-4.91,6.82
338,-5.45,6.88
339,-5.45,6.88
340,-5.45,6.88
341,-5.38,6.82
342,-5.38,6.82
343,-5.39,6.82
344,-5.38,6.82
345,-5.38,6.82
346,-5.38,6.82
347,-5.38,6.82
348,-5.33,6.77
349,-5.38,6.82
350,-5.38,6.82
351,-6.42,7.37
352,-5.45,6.88
353,-6.42,7.37
354,-6.42,7.37
355,-5.81,7.24
356,-4.45,7.31
357,4.05,21.25
358,4.46,21.89
359,3.58,22.35
360,4.46,21.89
361,3.58,22.35
362,3.58,22.35
363,4.22,22.35
364,5.23,22.81
365,4.81,23.46
366,5.23,23.46
367,5.01,23.91
368,5.83,23.91
369,5.83,23.91
370,5.63,24.11
371,5.41,24.57
372,5.82,24.57
373,6.43,24.78
374,5.57,25.23
375,5.57,25.23
376,6.22,25.23
377,6.22,25.23
378,6.63,25.23
379,6.02,25.68
380,6.43,25.68
381,6.43,25.68
382,6.43,25.68
383,6.43,25.68
384,6.43,25.68
385,6.43,25.68
386,6.43,25.68
387,6.43,25.68
388,7.08,25.68
389,6.62,25.89
390,6.62,25.89
391,6.62,25.89
392,7.08,25.68
393,6.62,25.89
394,7.02,25.89
395,7.47,25.44
396,7.02,25.89
397,7.02,25.89
398,6.17,26.34
399,7.02,25.89
400,6.17,26.34
401,7.02,25.89
402,6.17,26.34
403,6.62,25.89
404,7.02,25.89
405,6.87,25.89
406,6.87,25.89
407,6.62,25.89
408,6.87,25.89
409,6.42,26.34
410,6.42,26.34
411,6.42,26.34
412,6.82,26.34
413,6.82,26.34
414,6.87,25.89
415,6.87,25.89
416,6.82,26.34
417,6.87,25.89
418,6.42,26.34
419,6.82,26.34
420,6.82,26.34
421,7.27,25.89
422,6.82,26.34
423,7.27,25.89
424,6.42,26.34
425,7.27,25.89
426,6.82,26.34
427,7.27,25.89
428,7.27,25.89
429,7.27,25.89
430,6.82,26.34
431,6.82,26.34
432,6.82,26.34
433,6.82,26.34
434,6.82,26.34
435,6.82,26.34
436,7.67,25.89
437,15.19,22.35
438,15.19,22.35
439,17.8,20.79
440,21.16,20.79
441,21.38,21.25
442,22.06,21.25
443,22.55,21.43
444,23.41,21.25
445,23.75,21.25
446,23.26,22.08
447,23.33,22.35
448,24.34,22.35
449,24.01,22.35
450,25.38,22.35
451,25.7,22.35
452,25.7,22.35
453,25.7,22.35
454,26.28,22.81
455,26.09,23.0
456,26.09,23.0
457,26.4,23.0
458,26.4,23.0
459,26.4,23.0
460,25.63,23.46
461,25.63,23.46
462,26.4,23.0
463,26.3,23.46
464,26.3,23.46
465,26.67,23.46
466,26.67,23.46
467,26.67,23.46
468,26.67,23.46
469,26.67,23.46
470,26.98,23.46
471,27.35,23.46
472,27.35,23.46
473,27.35,23.46
474,27.35,23.46
475,27.35,23.46
476,27.35,23.46
477,27.35,23.46
478,27.66,23.46
479,27.66,23.46
480,27.35,23.46
481,27.66,23.46
482,27.35,23.46
483,27.35,23.46
484,28.03,23.46
485,27.28,23.91
486,27.46,23.66
487,27.28,23.91
488,27.46,23.66
489,27.46,23.66
490,27.46,23.66
491,27.46,23.66
492,27.46,23.66
493,27.28,23.91
