Time(s),R1(O),R2(O),R3(O),R4(O)
1734217084.5478427,84.52,Potval1:,737,mapval1
1734217084.5508416,70.35,133.69,137.22,84.52
1734217084.5955417,65.56,122.70,116.47,76.86
1734217084.7229578,66.12,124.58,118.31,78.12
1734217084.853329,66.39,126.74,120.37,78.63
1734217084.9804692,67.44,128.28,121.08,78.80
1734217085.1113718,67.94,128.97,121.33,78.88
1734217085.2384953,68.02,129.56,121.43,78.92
1734217085.3692179,68.09,130.09,123.36,80.00
1734217085.4964385,68.82,132.93,125.02,80.42
1734217085.628284,69.68,134.38,125.72,80.57
1734217085.7549806,69.86,134.64,126.37,80.63
1734217085.8860784,70.72,135.33,127.18,80.72
1734217086.017085,70.78,137.33,129.91,81.50
1734217086.1476846,70.87,137.48,130.44,82.45
1734217086.278458,71.19,137.90,131.04,82.60
1734217086.4059439,71.98,140.33,131.89,83.07
1734217086.5367534,72.04,140.41,133.80,84.52
1734217086.6683803,71.60,138.43,131.79,83.42
1734217086.7996218,71.76,136.55,129.70,83.14
1734217086.9260173,71.15,137.15,131.25,83.36
1734217087.057259,70.78,136.55,131.82,84.49
1734217087.1885903,71.11,136.29,131.89,84.52
1734217087.319815,72.12,136.74,130.19,83.46
1734217087.4462948,71.59,135.88,130.69,83.77
1734217087.577857,71.00,134.75,130.09,84.41
1734217087.7081885,71.30,135.19,129.67,84.38
1734217087.8399732,71.19,137.52,130.09,84.56
1734217087.9710221,71.21,136.11,129.36,84.87
1734217088.0984197,71.26,136.74,129.04,83.94
1734217088.229125,71.36,137.37,128.83,83.84
1734217088.3603015,71.00,137.60,130.55,83.88
1734217088.4910464,71.02,138.05,129.22,83.49
1734217088.618438,71.09,138.12,129.81,83.27
1734217088.7494807,71.51,138.54,130.48,83.12
1734217088.880197,71.06,137.97,130.83,83.99
1734217089.0114465,71.00,137.97,130.48,83.07
1734217089.1383302,70.93,138.01,130.83,83.27
1734217089.2695737,70.63,139.37,131.57,83.70
1734217089.4000268,70.48,137.33,131.01,84.34
1734217089.5305934,70.37,137.19,131.01,83.79
1734217089.658181,70.40,137.11,130.97,83.97
1734217089.7890985,69.81,136.33,131.93,84.45
1734217089.920525,70.01,135.88,129.98,84.25
1734217090.0514927,70.31,135.52,129.95,84.23
1734217090.182726,70.91,136.14,130.19,84.30
1734217090.309338,70.70,135.33,129.81,84.87
1734217090.4401813,70.93,135.19,129.43,83.86
1734217090.571569,71.21,136.11,129.01,83.86
1734217090.7030025,71.06,138.16,129.74,84.10
1734217090.8291821,71.08,137.04,128.87,83.90
1734217090.9611146,71.15,137.71,128.66,83.62
1734217091.0919223,71.66,138.39,128.59,83.40
1734217091.2225437,70.96,138.61,130.12,83.55
1734217091.3493524,70.96,138.99,129.01,83.12
1734217091.4805744,71.06,139.18,129.56,82.92
1734217091.6116798,71.34,141.02,130.65,82.92
1734217091.7433255,71.25,138.69,130.97,83.42
1734217091.869726,71.09,138.73,131.36,82.62
1734217092.0014603,70.98,138.73,131.32,82.83
1734217092.1315827,70.65,139.34,132.54,83.31
1734217092.2628806,70.51,137.63,131.75,83.53
