Time(s),R1(O),R2(O),R3(O),R4(O)
1734219216.083888,75.06,147.99,137.86,86.34
1734219216.2106037,74.82,147.87,138.24,86.46
1734219216.3380003,74.59,147.62,139.03,86.16
1734219216.4650753,74.37,145.80,139.56,86.30
1734219216.5917795,74.37,144.83,139.34,86.73
1734219216.7188845,74.67,144.24,139.07,87.11
1734219216.8461978,74.77,144.39,138.20,87.34
1734219216.973408,75.02,144.39,137.37,86.79
1734219217.100114,75.28,144.63,136.66,86.57
1734219217.226442,75.16,144.91,137.52,86.23
1734219217.354018,75.26,145.96,137.78,85.98
1734219217.480963,75.12,146.68,138.05,86.05
1734219217.6076305,74.81,146.44,138.92,86.12
1734219217.7350156,74.59,146.20,139.56,86.23
1734219217.8617907,74.32,145.07,140.68,86.37
1734219217.9888868,74.39,144.39,140.41,86.77
1734219218.1155264,74.45,144.43,141.02,87.36
1734219218.2428265,74.53,144.51,140.14,87.27
1734219218.3698678,74.81,144.63,138.42,87.09
1734219218.496872,74.75,144.75,139.07,86.70
1734219218.6228788,74.94,145.96,139.30,86.37
1734219218.7503812,74.92,146.93,139.64,86.19
1734219218.8778715,74.65,147.62,139.98,86.30
1734219219.0042999,74.39,147.38,139.95,86.39
1734219219.1316695,74.18,146.93,140.60,86.57
1734219219.2582483,74.24,146.08,141.06,86.73
1734219219.3854609,74.26,145.31,141.64,87.64
1734219219.5118861,74.59,146.48,141.18,88.03
1734219219.6395683,74.77,146.64,139.56,87.87
1734219219.766268,74.98,146.48,138.73,87.68
1734219219.8929322,75.18,147.46,138.96,87.27
1734219220.0204928,75.22,148.69,138.31,86.70
1734219220.1476657,75.14,149.47,138.58,86.77
1734219220.2740238,74.86,150.06,138.99,86.82
1734219220.4008682,74.63,149.64,139.87,87.02
1734219220.5276382,74.39,149.14,140.52,87.14
1734219220.654866,74.35,148.07,140.91,88.00
1734219220.7819667,74.39,148.36,141.64,88.46
1734219220.9091349,74.88,149.02,141.06,88.35
1734219221.0364778,75.26,148.32,139.22,88.05
1734219221.1630244,75.12,147.87,138.35,87.77
1734219221.2901824,75.34,148.24,138.39,87.36
1734219221.4162972,75.04,149.10,139.22,87.18
1734219221.5441573,75.22,150.27,139.75,86.89
1734219221.6708322,75.08,149.52,139.87,86.91
1734219221.7975566,74.47,147.99,140.21,86.91
1734219221.9248967,74.39,146.81,140.48,87.50
1734219222.052205,74.43,146.93,141.18,88.07
1734219222.1787724,74.88,146.89,141.10,88.05
1734219222.3053849,75.12,146.44,139.34,87.75
1734219222.432606,75.04,145.39,138.24,87.50
1734219222.55986,75.28,145.59,137.56,87.02
1734219222.6865597,75.56,146.56,137.75,86.79
1734219222.813885,75.42,148.11,138.05,86.52
1734219222.9407709,75.18,148.85,138.54,86.64
1734219223.0678334,74.96,148.69,139.41,86.77
1734219223.1947913,74.75,148.24,139.26,86.84
1734219223.3218331,74.79,147.17,139.56,87.34
1734219223.448763,74.86,147.05,139.34,87.75
1734219223.575215,75.02,147.25,138.42,88.05
1734219223.7023325,75.36,147.42,137.71,87.96
1734219223.8294377,75.62,147.54,137.15,87.70
1734219223.9561374,75.81,147.66,137.26,87.61
1734219224.083192,75.71,149.14,137.60,87.32
1734219224.210235,75.48,149.68,138.46,87.80
1734219224.3366764,75.16,150.48,139.91,88.05
1734219224.4643126,75.28,150.60,140.95,87.77
1734219224.591096,75.12,148.81,140.52,87.70
1734219224.718365,74.81,146.68,139.87,87.98
1734219224.8447027,74.75,145.80,140.06,88.76
1734219224.9718685,74.82,146.89,140.25,89.20
1734219225.0993621,75.54,147.42,139.72,88.69
1734219225.2264333,75.91,146.89,138.27,88.03
1734219225.3533566,75.52,146.00,138.01,87.52
1734219225.4794912,75.32,146.64,137.97,87.66
1734219225.6073537,75.02,148.32,139.26,88.00
1734219225.7342868,75.14,149.39,140.48,87.84
