Time(s),R1(O),R2(O),R3(O),R4(O),Angle1(deg),Angle2(deg)
1734289367.0661712,60.97,53.01,64.6,61.67,18.92,17.18
1734289367.1933355,61.05,53.14,65.38,62.37,17.85,17.18
1734289367.327207,61.66,53.65,65.21,61.97,16.46,16.56
1734289367.4462664,61.8,53.43,64.62,61.8,15.69,15.6
1734289367.5818243,61.32,53.22,64.48,61.8,13.55,14.52
1734289367.7125185,61.25,53.16,64.52,62.37,11.67,14.04
1734289367.8457751,61.2,53.56,65.49,62.22,10.96,13.44
1734289367.9776433,61.8,53.59,65.19,61.65,10.21,12.48
1734289368.104648,61.43,53.14,65.14,61.54,9.01,11.99
1734289368.2354074,61.05,53.0,65.18,61.49,7.95,11.99
1734289368.3626986,60.92,52.95,65.75,62.22,7.99,11.5
1734289368.481173,61.37,53.41,66.19,61.99,7.39,11.5
1734289368.620238,61.53,53.13,65.61,61.79,7.39,11.5
1734289368.7508268,61.0,52.82,65.58,61.72,8.31,11.02
1734289368.8760338,60.77,52.64,65.89,61.77,8.57,10.92
1734289369.0089023,60.84,53.02,66.6,62.3,8.57,10.92
1734289369.1273727,61.5,53.5,66.19,61.8,9.19,10.92
1734289369.2643926,61.32,53.13,65.65,61.6,9.64,10.92
1734289369.391292,60.75,52.92,65.26,61.55,9.77,11.41
1734289369.5251832,60.67,52.97,65.07,62.12,9.95,11.5
1734289369.6455264,60.7,53.55,65.67,61.95,10.57,11.5
1734289369.7824335,61.3,53.56,64.98,61.6,10.57,11.5
1734289369.9107342,60.94,53.16,64.78,61.42,11.01,11.5
1734289370.0417142,60.64,53.07,64.52,61.35,11.15,11.99
1734289370.164913,60.66,53.08,64.86,62.05,11.58,11.99
1734289370.2987037,61.18,53.59,64.76,61.64,11.58,11.99
1734289370.4253514,61.3,53.29,64.12,61.45,12.22,11.99
1734289370.5561814,60.74,53.05,63.9,61.42,12.36,12.48
1734289370.6724167,60.57,53.02,63.66,61.89,12.8,12.48
1734289370.815411,60.59,53.47,63.96,62.41,13.23,12.48
1734289370.9429126,61.23,53.58,63.6,61.92,12.96,12.96
1734289371.0675523,61.03,53.19,63.37,61.8,12.96,12.96
1734289371.196385,60.69,53.02,63.33,61.79,13.39,12.96
1734289371.33157,60.67,53.02,63.52,62.37,13.39,12.96
1734289371.4630303,60.75,53.56,64.21,62.14,14.04,12.96
1734289371.5881174,61.3,53.41,63.74,61.8,13.13,13.44
1734289371.7179492,60.94,53.19,63.6,61.7,13.13,13.44
1734289371.847836,60.69,53.13,63.57,61.64,14.13,13.07
1734289371.978582,60.69,53.17,64.39,62.29,14.95,13.55
1734289372.1056206,61.23,53.66,64.6,61.82,15.11,14.04
1734289372.2335582,61.37,53.37,64.22,61.69,15.94,14.04
1734289372.3634677,60.77,53.22,64.27,61.62,15.28,14.52
1734289372.4952068,60.57,53.2,64.39,62.1,15.28,14.52
1734289372.61545,60.59,53.66,65.19,62.39,15.28,14.52
1734289372.7535467,61.25,53.77,64.83,61.92,15.7,14.52
1734289372.880113,60.98,53.34,64.58,61.82,15.28,14.52
1734289373.0039556,60.54,53.13,64.52,61.79,16.36,14.52
1734289373.131129,60.62,53.11,64.74,62.37,16.65,14.64
1734289373.2694914,61.08,53.66,65.42,62.09,16.17,15.12
1734289373.3956883,61.61,53.49,64.95,61.8,16.17,15.12
1734289373.5174477,61.18,53.23,64.69,61.74,16.17,15.12
1734289373.6458335,60.98,53.04,64.62,61.79,16.17,15.12
1734289373.7757075,60.98,53.13,65.35,62.49,16.58,15.12
1734289373.910249,61.55,53.58,65.19,61.97,16.58,15.12
1734289374.0430107,61.63,53.26,64.78,61.74,16.95,15.0
1734289374.1704545,61.03,53.11,64.58,61.64,17.24,15.12
1734289374.291196,60.97,53.08,64.46,62.19,17.9,15.12
1734289374.4238322,60.97,53.53,64.98,62.22,18.3,15.12
1734289374.5511668,61.56,53.59,64.38,61.7,18.49,15.6
1734289374.6818333,61.22,53.14,64.05,61.6,18.49,15.6
1734289374.8153615,60.9,53.02,63.86,61.6,18.76,15.6
1734289374.9325235,60.98,53.02,64.31,62.19,19.16,15.6
1734289375.0681703,61.5,53.52,64.71,61.85,18.88,15.6
1734289375.2014449,61.81,53.28,64.02,61.62,19.16,15.6
1734289375.3289142,61.33,53.02,63.76,61.57,19.16,15.6
1734289375.4471118,61.2,52.95,63.67,62.09,19.16,15.6
1734289375.5811806,61.2,53.44,64.29,62.69,19.16,15.6
1734289375.7166736,61.76,53.98,64.07,62.17,19.16,15.6
1734289375.849558,61.68,53.66,63.78,62.02,19.35,16.08
1734289375.96604,61.08,53.52,63.66,61.94,19.35,16.08
1734289376.1057615,61.03,53.49,63.86,62.49,19.15,16.56
1734289376.2340424,61.05,53.95,64.78,62.34,19.15,16.56
1734289376.3657722,61.7,53.87,64.43,62.05,19.15,16.56
1734289376.4803293,61.28,53.46,64.38,61.97,19.82,16.56
1734289376.6179702,60.9,53.37,64.43,61.97,19.82,16.56
1734289376.7445138,60.87,53.37,65.12,62.71,19.82,16.56
1734289376.8813207,61.42,53.87,65.35,62.34,19.82,16.56
1734289377.0015306,61.61,53.56,64.88,62.14,19.82,16.56
1734289377.129182,61.12,53.23,64.81,62.09,19.12,17.65
1734289377.2628589,61.03,53.14,64.9,62.56,23.61,22.74
1734289377.3974912,61.07,53.59,65.47,62.69,25.31,27.92
1734289377.52245,61.66,53.75,65.0,62.19,25.08,26.11
1734289377.6469357,61.48,53.41,64.39,62.05,25.76,26.11
1734289377.779033,61.05,53.28,64.07,62.0,25.45,26.34
1734289377.9123216,61.05,53.29,64.03,62.62,25.74,26.34
1734289378.0414426,61.13,53.77,64.57,62.37,25.38,26.79
1734289378.1721618,61.76,53.61,63.9,62.0,25.38,26.79
1734289378.300693,61.37,53.31,63.71,61.9,25.38,26.79
1734289378.4206803,61.12,53.23,63.49,61.87,25.76,26.79
1734289378.5514395,61.13,53.25,63.86,62.67,26.05,26.79
1734289378.6880622,61.63,53.75,63.47,62.25,26.05,26.79
1734289378.8135552,61.81,53.43,62.72,62.09,26.05,26.79
