Time(s),R1(O),R2(O),R3(O),R4(O),Angle1(deg),Angle2(deg)
1734288562.398415,59.61,54.55,65.79,61.77,-6.73,4.36
1734288562.4430983,59.72,54.61,65.84,62.29,-6.73,4.36
1734288562.483578,59.79,54.7,66.46,62.91,-6.73,4.36
1734288562.5459754,60.16,55.21,67.15,63.22,-6.73,4.36
1734288562.5924647,60.74,55.59,67.44,63.39,-6.73,4.36
1734288562.6512818,60.80,55.63,68.03,64.02,-6.73,4.36
1734288562.6954882,60.82,56.08,68.72,64.35,-6.73,4.36
1734288562.7616832,60.94,56.16,68.78,64.8,-6.73,4.36
1734288562.7990522,61.25,56.33,68.93,64.9,-6.73,4.36
1734288562.8581488,61.33,56.83,69.64,65.27,-6.73,4.36
1734288562.9090383,61.43,56.9,69.72,65.35,-6.73,4.36
1734288562.960699,61.78,57.09,69.88,65.44,-6.73,4.36
1734288563.0205512,61.86,57.6,70.63,65.81,-6.73,4.36
1734288563.068158,61.53,57.14,69.92,65.21,-6.72,4.33
1734288563.1158364,61.80,57.22,69.38,64.64,-6.72,4.33
1734288563.1791413,61.43,57.2,69.37,64.71,-6.73,4.36
1734288563.246375,61.43,57.22,69.37,64.26,-6.73,4.36
1734288563.298237,61.71,57.31,68.87,63.71,-6.73,4.36
1734288563.3354611,61.42,57.3,68.87,63.76,-6.73,4.36
1734288563.394322,60.94,56.98,68.63,64.09,-6.73,4.36
1734288563.4595878,61.18,57.11,68.18,63.54,-6.73,4.36
1734288563.4987383,61.25,57.16,68.22,63.56,-6.73,4.36
1734288563.559416,61.25,57.16,68.23,63.61,-6.73,4.36
1734288563.6129348,61.25,57.16,68.27,63.61,-6.73,4.36
1734288563.6597118,61.25,57.16,68.34,63.61,-6.72,4.33
1734288563.6962893,61.25,57.16,68.40,63.61,-6.73,4.36
1734288563.7512271,61.25,57.16,68.40,63.61,-6.73,4.36
1734288563.8056178,61.25,57.16,68.40,63.61,-6.73,4.36
1734288563.876508,61.25,57.16,68.42,64.02,-6.73,4.36
1734288563.9209423,61.25,57.14,68.42,64.02,-6.73,4.36
1734288563.9806151,61.25,57.14,68.42,64.02,-6.73,4.36
1734288564.02544,61.25,57.14,68.42,64.02,-6.73,4.36
1734288564.0906143,61.23,57.12,68.42,64.02,-6.73,4.36
1734288564.138329,61.23,57.12,68.42,64.02,-6.73,4.36
1734288564.1853282,61.23,57.12,68.42,63.61,-6.73,4.36
1734288564.230741,61.23,57.12,68.42,63.61,-6.73,4.36
1734288564.287905,61.23,57.12,68.40,63.63,-6.73,4.36
1734288564.3423216,61.23,57.12,68.38,63.63,-6.73,4.36
1734288564.4149334,61.23,57.12,68.34,63.63,-6.73,4.36
1734288564.4520571,61.22,57.12,68.27,63.63,-6.73,4.36
1734288564.4990916,61.22,57.12,68.20,64.04,-6.73,4.36
1734288564.5556517,61.20,57.11,68.18,64.04,-6.73,4.36
1734288564.6088643,61.20,57.11,68.16,64.02,-6.73,4.36
1734288564.6488302,61.20,57.11,68.14,63.61,-6.73,4.36
1734288564.713636,61.20,57.11,68.14,63.61,-6.73,4.36
1734288564.771573,61.20,57.11,68.14,63.63,-6.73,4.36
1734288564.8366585,61.20,57.11,68.14,63.63,-7.66,4.8
1734288564.8910842,61.20,57.11,68.13,63.63,-7.66,4.8
1734288564.9380567,61.20,57.11,68.13,63.63,-6.73,4.36
1734288564.9885988,61.20,57.11,68.13,64.04,-6.73,4.36
1734288565.036211,61.20,57.11,68.13,64.04,-6.73,4.36
1734288565.089376,61.20,57.11,68.13,64.02,-6.73,4.36
1734288565.150221,61.20,57.11,68.13,63.61,-7.66,4.8
1734288565.200672,61.20,57.11,68.13,63.61,-6.73,4.36
1734288565.2490506,61.22,57.11,68.13,63.61,-6.73,4.36
1734288565.3248827,61.22,57.09,68.13,63.2,-7.66,4.8
1734288565.4501824,61.23,57.11,68.13,63.2,-6.73,4.36
1734288565.5737877,61.23,57.11,68.13,63.2,-6.73,4.36
1734288565.6973598,61.23,57.11,68.13,63.52,-6.73,4.36
1734288565.819978,61.25,57.11,68.13,63.52,-6.73,4.36
1734288565.947722,61.25,57.11,68.13,63.51,-6.73,4.36
1734288566.0696332,61.25,57.11,68.13,63.51,-6.73,4.36
1734288566.1923728,61.23,57.19,68.18,63.51,-6.73,4.36
1734288566.3099496,61.23,57.3,68.23,63.47,3.39,3.85
1734288566.443326,61.23,57.41,68.31,63.06,3.87,4.33
1734288566.559149,61.22,57.52,68.36,63.06,5.37,3.85
1734288566.6890645,61.22,57.63,68.43,63.05,5.85,3.85
1734288566.8050258,61.22,57.74,68.54,63.05,6.33,3.85
1734288566.938244,61.20,57.86,68.60,63.05,6.33,3.85
1734288567.0578406,61.20,57.98,68.65,63.03,6.33,3.85
1734288567.1841226,61.20,58.1,68.74,63.03,6.33,3.85
1734288567.3071964,61.17,58.21,68.80,63.03,6.33,3.85
1734288567.4291131,61.17,58.33,68.83,63.01,6.8,3.85
1734288567.5457933,61.17,58.44,68.89,62.69,6.8,3.85
1734288567.680417,61.13,58.56,68.93,62.69,6.8,3.85
1734288567.7894676,61.13,58.68,68.96,62.69,6.8,3.85
1734288567.9260616,61.13,58.79,69.02,62.69,7.27,3.85
1734288568.0437038,61.13,58.84,69.04,62.69,7.36,3.85
1734288568.176011,61.13,58.85,69.04,62.69,7.74,3.85
1734288568.2902162,61.13,58.85,69.04,62.69,7.74,3.85
1734288568.4251463,60.89,58.72,69.44,63.2,7.84,3.85
1734288568.5409873,60.89,58.74,69.42,63.18,7.84,3.85
1734288568.6755457,61.35,59.05,69.61,63.27,7.84,3.85
1734288568.7924736,61.12,58.92,70.09,63.78,7.84,3.85
1734288568.9105866,61.05,58.9,70.07,63.69,7.84,3.85
1734288569.047949,61.05,58.9,70.05,64.14,7.84,3.85
1734288569.174603,60.82,58.82,70.57,64.69,7.74,3.85
1734288569.29748,61.22,58.87,70.37,64.62,7.84,3.85
1734288569.4224343,61.71,59.09,70.61,64.68,8.31,3.85
1734288569.5481842,61.47,59.32,71.15,64.97,7.84,3.85
1734288569.6742437,61.81,59.35,70.83,64.83,8.31,3.85
1734288569.7952583,62.32,59.55,70.98,64.88,8.31,3.85
1734288569.9068031,62.07,59.81,71.51,65.13,8.31,3.85
1734288570.0411923,62.45,59.84,71.09,64.99,8.31,3.85
1734288570.1699922,62.96,60.03,71.21,65.02,8.31,3.85
1734288570.2859137,62.96,60.47,71.34,64.71,8.31,3.85
1734288570.4130428,63.37,60.51,70.93,64.57,8.31,3.85
1734288570.5409224,63.26,60.38,70.81,64.5,8.31,3.85
1734288570.6701915,63.25,60.82,70.87,64.17,8.31,3.85
1734288570.7925158,63.76,60.87,70.40,64.07,8.31,3.85
1734288570.909371,64.05,61.02,70.44,63.64,8.31,3.85
1734288571.0416582,64.12,61.0,69.77,63.05,8.78,3.85
1734288571.1698673,63.69,60.47,69.27,62.81,8.31,3.85
1734288571.29268,63.13,60.21,69.48,63.28,8.31,3.85
