Time(s),R1(O),R2(O),R3(O),R4(O)
1734288458.355445,60.66,56.05,67.03,64.59
1734288458.4001377,58.53,53.89,61.97,60.00
1734288458.4382298,58.97,54.39,62.69,60.66
1734288458.4837844,59.03,54.81,63.33,60.94
1734288458.5426908,59.51,55.33,63.76,61.19
1734288458.598122,60.11,55.62,64.02,61.34
1734288458.6667914,60.18,55.71,64.64,61.77
1734288458.7179449,60.25,56.19,65.39,62.04
1734288458.7554708,60.34,56.25,65.45,62.57
1734288458.8160064,60.41,56.31,66.07,63.22
1734288458.8790987,60.51,56.81,66.76,63.52
1734288458.9326668,60.62,56.87,66.81,64.02
1734288458.9737356,60.69,56.90,67.39,64.66
1734288459.0335386,60.82,56.98,67.46,64.69
1734288459.0950592,61.38,57.12,67.69,64.83
1734288459.1325307,61.45,57.16,68.31,65.48
1734288459.1841385,61.63,57.25,68.40,65.55
1734288459.2533894,61.75,56.87,67.85,64.99
1734288459.309215,61.76,56.47,67.78,65.35
1734288459.3588908,61.45,56.03,67.44,65.16
1734288459.412631,61.40,56.10,67.40,65.13
1734288459.4591284,61.42,56.03,67.37,65.34
1734288459.5022852,61.53,55.65,66.71,65.13
1734288459.5553882,62.00,55.73,66.87,64.71
1734288459.613423,62.02,55.70,66.85,64.69
1734288459.6625206,62.10,55.30,66.25,64.45
1734288459.7186742,62.55,55.59,66.51,64.09
1734288459.7776473,62.57,55.59,66.55,64.09
1734288459.817474,62.62,55.59,66.58,64.12
1734288459.8744023,62.62,55.96,66.64,64.16
1734288459.923058,62.64,55.94,66.65,64.17
1734288459.9918656,62.64,55.93,66.67,64.17
1734288460.0297334,62.64,56.30,66.73,64.21
1734288460.0819554,62.64,56.30,66.73,64.19
1734288460.1512063,62.64,56.28,66.73,64.19
1734288460.192089,62.64,56.44,66.78,64.24
1734288460.2454503,62.64,56.42,66.78,64.23
1734288460.2982523,62.64,56.41,66.78,64.23
1734288460.3473465,62.64,56.39,66.80,64.23
1734288460.4134016,62.64,56.38,66.81,64.24
1734288460.465957,62.64,56.36,66.83,64.24
1734288460.5330222,62.64,56.34,66.76,64.24
1734288460.5739527,62.64,56.34,66.89,64.24
1734288460.6406033,62.64,56.34,66.89,64.24
1734288460.6942372,62.64,56.17,66.83,64.21
1734288460.7401836,62.64,56.19,66.81,64.19
1734288460.7987354,62.64,56.19,66.80,64.19
1734288460.84508,62.64,56.02,66.74,64.16
1734288460.8930035,62.64,56.02,66.74,64.16
1734288460.9428186,62.64,56.02,66.73,64.16
1734288461.0057695,62.64,55.85,66.67,64.12
1734288461.050045,62.64,55.85,66.67,64.12
1734288461.1027396,62.64,55.85,66.65,64.12
1734288461.1712527,62.64,56.24,66.67,64.16
1734288461.2131765,62.64,56.24,66.64,64.16
1734288461.2681534,62.64,56.24,66.62,64.16
1734288461.3105733,62.64,56.41,66.64,64.19
1734288461.3636997,62.64,56.41,66.51,64.19
1734288461.4327402,62.64,56.41,66.49,64.19
1734288461.476039,62.64,56.27,66.51,64.19
1734288461.539191,62.64,56.38,66.55,64.21
1734288461.6083627,62.64,56.50,66.60,64.21
1734288461.726911,62.64,56.64,66.65,64.23
1734288461.8580184,62.64,56.75,66.69,64.23
1734288461.975988,62.64,56.87,66.74,64.23
1734288462.1036863,62.64,57.16,66.81,64.24
1734288462.222378,62.64,57.30,66.85,64.24
1734288462.3569467,62.64,57.42,66.90,64.24
1734288462.4763978,62.64,57.38,66.89,64.21
1734288462.6022868,62.65,57.55,66.96,64.21
1734288462.7211108,62.65,57.71,67.03,64.23
1734288462.852402,62.65,57.67,67.01,64.19
1734288462.974405,62.67,57.83,67.06,64.21
1734288463.0913403,62.67,57.99,67.14,64.23
1734288463.2238824,62.67,58.20,67.14,64.23
1734288463.34299,62.69,58.25,67.15,64.23
1734288463.4710145,62.69,58.28,67.17,64.24
1734288463.5936623,62.69,58.28,67.15,64.21
1734288463.7050261,62.70,58.33,67.17,64.23
1734288463.839274,62.70,58.36,67.19,64.24
1734288463.955473,62.70,58.13,67.14,64.23
1734288464.0892198,62.72,58.17,67.15,64.24
1734288464.2059364,62.72,58.20,67.17,64.26
1734288464.3380435,62.72,58.21,67.19,64.26
1734288464.4547503,62.72,58.20,67.19,64.24
1734288464.5889578,62.59,58.56,67.76,64.42
1734288464.7075229,62.15,58.26,67.66,64.81
1734288464.8239021,62.13,58.29,67.69,64.81
1734288464.9559534,62.43,58.71,68.03,64.99
1734288465.086578,62.49,58.68,68.07,65.01
1734288465.2076764,62.49,59.00,68.13,64.71
1734288465.326438,62.76,59.38,68.38,64.83
1734288465.4585035,62.82,59.24,68.38,64.87
1734288465.5765808,62.82,59.56,68.43,64.55
1734288465.710709,63.13,59.94,68.65,64.68
1734288465.8337574,63.18,59.82,68.65,64.69
1734288465.9613245,63.16,60.15,68.72,64.35
1734288466.0787103,63.49,60.51,68.91,64.45
1734288466.2058327,63.54,60.28,68.91,64.45
1734288466.3213575,63.52,60.62,69.07,64.11
1734288466.452649,64.02,60.59,68.67,64.02
1734288466.5766098,64.29,60.66,68.78,63.63
1734288466.7063262,64.36,60.54,68.22,63.05
1734288466.8233151,63.95,59.95,67.82,62.88
1734288466.9556522,63.42,59.68,68.25,63.37
1734288467.071885,63.43,59.74,68.38,63.30
1734288467.2052402,63.11,59.27,68.14,63.63
1734288467.3245656,62.55,59.11,68.65,64.12
1734288467.4560444,62.94,59.24,68.47,64.04
1734288467.5722334,63.08,59.03,68.45,63.99
1734288467.7040281,62.54,59.24,69.00,64.19
1734288467.8265584,62.89,59.38,68.71,64.09
1734288467.9543493,63.03,59.17,68.85,64.05
1734288468.0789025,62.49,59.46,69.44,64.24
1734288468.2052631,62.87,59.61,69.02,64.14
1734288468.326839,62.96,59.40,68.98,64.11
1734288468.4548452,62.64,59.72,69.46,64.28
1734288468.5755682,62.99,60.29,69.73,64.40
1734288468.6921713,63.54,60.57,69.96,64.43
1734288468.8282921,63.52,61.08,70.01,64.07
1734288468.9508812,63.95,61.18,69.53,63.95
1734288469.0760677,64.22,61.37,69.62,63.56
1734288469.192105,64.29,61.38,69.00,62.98
1734288469.3235753,63.86,60.89,68.58,62.81
1734288469.4506567,63.31,60.66,68.89,63.28
1734288469.576617,63.35,60.79,68.87,63.22
1734288469.6943028,63.03,60.31,68.58,63.54
1734288469.8133209,62.49,60.15,68.80,64.04
1734288469.9546297,62.89,60.23,68.47,63.97
1734288470.0755725,63.04,59.94,68.34,63.93
1734288470.192014,62.50,60.07,68.76,64.17
1734288470.3262582,62.87,60.10,68.47,64.07
1734288470.442483,63.01,59.74,68.32,64.05
1734288470.577162,62.47,59.89,68.72,64.28
1734288470.6934116,62.87,59.87,68.32,64.19
1734288470.810176,62.96,59.48,68.20,64.17
1734288470.9428394,62.64,59.66,68.65,64.35
1734288471.0727546,62.99,60.03,68.83,64.47
1734288471.195693,63.55,60.15,68.96,64.50
1734288471.3114972,63.55,60.49,69.04,64.14
1734288471.4422085,63.98,60.43,68.58,64.02
1734288471.5592752,63.98,60.33,69.02,64.12
1734288471.6946385,63.93,60.59,69.05,63.78
1734288471.8111792,64.05,60.51,68.87,63.73
1734288471.9412217,63.52,60.21,69.22,64.21
1734288472.0673246,63.49,60.23,69.24,64.12
1734288472.1940706,63.64,60.08,69.15,64.11
1734288472.3178458,63.09,59.87,69.55,64.59
1734288472.4435377,63.06,59.94,69.59,64.50
1734288472.5677493,62.70,59.50,69.35,64.85
1734288472.6947217,62.17,59.40,69.83,65.35
1734288472.8168669,62.57,59.53,69.70,65.30
1734288472.9429874,62.69,59.34,69.66,65.27
1734288473.0596647,62.15,59.58,70.16,65.51
1734288473.1921988,62.50,59.71,69.86,65.44
1734288473.3130412,62.59,59.51,69.90,65.42
1734288473.4372594,62.55,59.98,70.12,65.13
1734288473.5622468,62.98,60.16,69.83,65.01
1734288473.6785543,62.99,59.97,69.81,64.94
1734288473.8168411,62.98,60.47,69.96,64.61
1734288473.9376788,63.43,60.64,69.59,64.49
1734288474.0558872,63.45,60.52,69.53,64.42
1734288474.188917,63.43,61.03,69.64,64.04
1734288474.312241,63.91,61.15,69.24,63.95
1734288474.4395525,64.17,61.33,69.37,63.54
1734288474.560147,64.24,61.35,68.80,62.96
1734288474.6885276,63.81,60.85,68.32,62.78
1734288474.8120537,63.26,60.64,68.69,63.25
1734288474.9362297,63.30,60.77,68.80,63.18
1734288475.0615928,62.98,60.31,68.51,63.51
1734288475.1871684,62.43,60.15,68.89,63.99
1734288475.3070672,62.84,60.25,68.62,63.90
1734288475.4383247,62.99,59.97,68.47,63.87
1734288475.5562854,62.45,60.11,68.89,64.09
1734288475.6886933,62.81,60.18,68.63,63.99
1734288475.8114948,62.94,59.85,68.62,63.97
1734288475.9244328,62.40,60.03,69.07,64.17
1734288476.0580854,62.81,60.05,68.71,64.09
1734288476.1838896,62.91,59.69,68.63,64.07
1734288476.3106425,62.60,59.89,69.13,64.24
