Time(s),R1(O),R2(O),R3(O),R4(O),Angle1(deg),Angle2(deg)
1734233769.6679742,74.39,147.25,137.90,86.19,8.79,29.87
1734233769.7332032,69.94,133.11,125.79,80.78,9.09,29.87
1734233769.7845569,70.46,134.02,126.13,80.97,9.09,29.87
1734233769.8303187,70.57,135.11,126.54,81.1,9.09,29.87
1734233769.8765662,70.72,136.18,127.15,81.74,8.42,29.87
1734233769.9432333,70.94,136.63,128.35,82.02,8.42,29.87
1734233769.981035,71.13,137.04,129.36,82.32,8.79,29.87
1734233770.0338326,71.34,137.45,130.34,83.33,8.42,29.87
1734233770.0859053,71.57,138.84,131.61,83.97,9.09,29.87
1734233770.1403298,72.04,139.41,132.00,84.45,9.09,29.87
1734233770.1898282,72.55,140.18,132.46,84.6,8.42,29.87
1734233770.2463691,72.69,141.49,132.86,84.74,8.97,29.62
1734233770.3149884,73.21,143.13,133.62,84.98,8.42,29.87
1734233770.364025,73.40,144.28,134.31,85.2,9.52,29.44
1734233770.3974795,73.91,145.71,135.81,85.54,9.22,29.44
1734233770.4566803,74.10,146.16,137.67,86.32,8.42,29.87
1734233770.5135417,73.65,146.24,137.75,86.48,9.22,29.44
1734233770.5663447,73.36,145.75,137.75,87.16,9.22,29.44
1734233770.625358,73.83,145.27,137.78,87.2,8.42,29.87
1734233770.693063,74.10,144.63,137.45,86.64,8.42,29.87
1734233770.743438,74.69,145.39,136.85,86.59,8.42,29.87
1734233770.7830174,74.67,146.36,136.33,86.46,8.42,29.87
1734233770.8434002,74.94,148.32,136.29,85.72,9.22,29.44
1734233770.900523,74.86,147.13,137.00,85.78,9.22,29.44
1734233770.937222,74.61,147.05,137.75,85.58,9.22,29.44
1734233770.98644,74.63,147.13,137.75,86.07,9.22,29.44
1734233771.0354538,74.71,146.24,138.58,87.0,9.22,29.44
1734233771.0950074,74.75,146.12,138.58,87.32,9.22,29.44
1734233771.1668348,75.00,145.51,138.24,87.64,9.22,29.44
1734233771.2076557,74.96,144.87,137.00,87.45,9.22,29.44
1734233771.2558963,74.92,145.8,135.66,86.82,9.22,29.44
1734233771.30975,74.88,145.67,135.77,86.77,9.22,29.44
1734233771.3778808,74.81,145.51,136.66,86.12,9.22,29.44
1734233771.4131138,74.75,145.67,137.56,86.25,9.22,29.44
1734233771.4797006,74.51,145.55,139.15,87.02,9.22,29.44
1734233771.5214496,74.20,145.84,139.26,87.45,9.22,29.44
1734233771.5684917,74.28,144.95,139.07,88.19,9.22,29.44
1734233771.6190531,74.32,143.25,138.50,88.0,9.22,29.44
1734233771.6791062,74.55,143.48,136.81,87.39,9.22,29.44
1734233771.7244515,74.73,144.39,136.96,87.75,9.22,29.44
1734233771.7770898,74.35,144.83,137.04,87.27,9.22,29.44
1734233771.8307405,74.65,145.96,136.74,86.48,9.22,29.44
1734233771.8916214,74.26,144.71,138.09,86.68,9.22,29.44
1734233771.9366922,74.28,145.59,139.26,86.57,9.22,29.44
1734233771.996789,74.02,145.27,139.30,87.41,9.76,29.2
1734233772.053954,74.10,145.11,140.10,87.98,9.22,29.44
1734233772.1184258,74.41,144.35,139.03,87.41,9.22,29.44
1734233772.1657436,74.67,144.59,138.09,87.8,9.22,29.44
1734233772.2020905,74.30,145.15,137.15,87.61,9.76,29.2
1734233772.2660062,74.61,146.68,136.11,87.0,9.76,29.2
1734233772.315121,74.26,146.28,136.92,87.04,9.76,29.2
1734233772.3648064,74.22,146.08,137.78,86.41,9.09,29.2
1734233772.4223535,74.24,146.2,138.54,86.61,9.09,29.2
1734233772.4667969,74.02,145.96,139.41,87.61,9.39,29.2
1734233772.5196843,73.89,145.07,138.50,87.48,9.09,29.2
1734233772.5703273,74.02,144.28,138.24,87.91,9.39,29.2
1734233772.619078,73.96,143.25,137.63,87.75,9.39,29.2
1734233772.6803515,74.20,143.64,135.96,87.14,9.39,29.2
1734233772.7437446,74.00,143.76,135.15,86.93,9.39,29.2
1734233772.7870517,74.22,145.43,135.96,86.25,9.39,29.2
1734233772.83131,74.16,144.59,135.92,86.21,9.39,29.2
1734233772.8895247,73.94,144.63,136.55,86.41,9.39,29.2
1734233772.9385378,74.00,145.47,136.77,86.46,9.39,29.2
1734233772.9929135,74.08,144.55,137.37,87.36,9.39,29.2
1734233773.063082,73.83,144.08,137.90,87.68,9.09,29.2
1734233773.1863637,74.08,143.48,136.63,87.07,9.39,29.2
1734233773.3242297,74.37,144.04,135.92,86.98,9.39,29.2
1734233773.4421394,73.98,144.51,135.26,86.82,9.39,29.2
1734233773.559064,74.32,145.88,134.89,85.98,9.39,29.2
1734233773.688784,74.18,145.55,136.70,86.19,9.39,29.2
1734233773.827577,74.06,145.47,137.56,85.85,9.09,29.2
1734233773.9513197,73.98,145.59,137.63,86.34,9.09,29.2
1734233774.0750892,73.75,146.16,138.46,86.89,9.39,29.2
1734233774.1936128,73.71,145.15,138.16,87.16,9.39,29.2
1734233774.3287084,73.83,143.68,137.45,87.0,9.39,29.2
1734233774.4518633,74.06,143.76,136.55,86.46,9.09,29.2
1734233774.5846674,74.59,145.07,136.29,86.39,9.52,28.77
1734233774.7067976,74.22,144.75,137.26,86.41,8.86,28.77
1734233774.8346229,74.18,145.39,137.11,85.63,9.15,28.77
1734233774.9620662,74.28,144.59,137.04,85.29,8.86,28.77
1734233775.086908,74.02,145.31,138.69,85.65,8.86,28.77
1734233775.2055738,74.08,145.47,138.73,86.12,8.86,28.77
1734233775.3374052,74.16,144.71,139.45,86.98,8.86,28.77
1734233775.4693997,73.91,143.52,138.92,86.84,8.86,28.77
1734233775.59587,74.22,143.84,137.04,86.68,9.23,28.77
1734233775.7186296,74.49,144.12,136.33,86.57,8.86,28.77
1734233775.8405235,74.49,144.91,136.48,86.16,8.86,28.77
1734233775.9752982,74.45,144.91,136.63,86.14,8.86,28.77
1734233776.093659,74.67,146.64,137.48,86.01,8.86,28.77
1734233776.2301214,74.65,146.6,138.50,86.14,8.86,28.77
1734233776.34841,74.45,146.64,139.26,86.28,8.86,28.77
1734233776.484918,73.85,145.15,138.73,86.32,8.86,28.77
1734233776.612923,73.94,144.51,138.31,86.73,8.86,28.77
1734233776.7360811,73.98,144.87,138.84,87.14,8.86,28.77
1734233776.8579123,73.91,144.79,137.90,87.45,8.86,28.77
1734233776.9942744,74.22,144.12,136.22,87.09,8.86,28.77
1734233777.1242075,74.08,143.76,136.11,86.59,9.01,28.53
1734233777.2414052,73.98,144.63,136.11,86.19,8.72,28.53
1734233777.3745785,74.14,146.56,137.45,86.39,8.72,28.53
1734233777.5059252,74.22,147.62,137.97,86.1,9.01,28.53
1734233777.6281717,73.96,147.38,138.65,86.19,8.72,28.53
1734233777.7505934,73.75,146.24,139.15,86.23,8.72,28.53
1734233777.8808494,73.81,145.39,139.45,86.41,8.72,28.53
