Time(s),R1(O),R2(O),R3(O),R4(O),Angle1(deg),Angle2(deg)
1734287209.149371,64.43,56.64,63.37,64.47,10.26,28.33
1734287209.2909384,64.17,56.59,63.49,64.68,10.26,28.33
1734287209.4138277,64.03,56.73,63.76,64.71,9.44,28.77
1734287209.53565,64.29,56.75,63.62,64.71,9.44,28.77
1734287209.6637323,63.96,56.64,63.76,65.16,9.44,28.77
1734287209.7905257,63.86,56.78,64.0,65.23,9.96,28.33
1734287209.9106653,64.31,56.81,64.05,65.28,9.96,28.33
1734287210.0317726,64.38,56.83,64.03,65.04,9.96,28.33
1734287210.1617362,64.39,56.83,63.62,64.73,9.96,28.33
1734287210.2903366,64.17,56.64,63.49,64.85,9.59,28.33
1734287210.4031198,63.9,56.55,63.71,64.95,9.59,28.33
1734287210.5290296,64.1,56.75,63.72,64.92,9.59,28.33
1734287210.6616542,64.02,56.62,63.69,65.13,9.59,28.33
1734287210.7803924,63.81,56.56,63.64,65.09,9.59,28.33
1734287210.912531,63.98,56.41,63.62,65.08,9.59,28.33
1734287211.039848,64.15,56.42,63.64,65.34,9.59,28.33
1734287211.148171,64.14,56.62,63.57,65.32,9.59,28.33
1734287211.2855778,64.38,56.67,63.42,65.23,9.3,28.33
1734287211.398659,64.38,56.52,63.57,65.04,8.92,28.33
1734287211.5354905,64.31,56.67,63.6,64.87,8.92,28.33
1734287211.6620958,64.41,56.69,63.42,65.02,8.92,28.33
1734287211.781623,64.19,56.53,63.57,65.25,8.92,28.33
1734287211.9115465,64.26,56.53,63.78,65.3,8.92,28.33
1734287212.0353243,64.67,56.78,63.84,65.37,8.92,28.33
1734287212.1581175,64.78,57.0,63.72,65.16,8.92,28.33
1734287212.283544,64.78,57.03,63.49,64.83,10.25,27.67
1734287212.4002972,64.57,56.81,63.43,64.81,10.25,27.67
1734287212.5350437,64.27,56.7,63.62,65.09,10.25,27.67
1734287212.661848,64.26,56.89,63.88,65.41,9.58,27.67
1734287212.7825737,64.31,56.9,63.88,65.69,9.58,27.67
1734287212.899013,64.33,56.76,64.07,65.67,9.58,27.67
1734287213.0284898,64.55,56.83,63.88,65.44,9.06,27.9
1734287213.1614976,64.57,56.84,63.66,65.37,8.69,27.9
1734287213.2879064,64.33,56.8,63.62,65.3,8.69,27.9
1734287213.3985984,64.33,56.61,63.57,65.02,8.69,27.9
1734287213.5316458,64.34,56.45,63.57,65.06,9.2,27.67
1734287213.66118,64.17,56.62,63.6,65.11,9.2,27.67
1734287213.7838087,64.46,56.66,63.42,65.08,8.92,27.67
1734287213.9021492,64.34,56.33,63.33,64.97,8.92,27.67
1734287214.0260758,64.22,56.27,63.25,64.9,8.92,27.67
1734287214.1602347,64.21,56.42,63.11,64.92,8.92,27.67
1734287214.2831368,64.19,56.44,63.37,64.95,9.2,27.67
1734287214.3996053,64.17,56.64,63.6,64.61,8.92,27.67
1734287214.5310805,64.22,56.58,63.43,64.61,8.92,27.67
1734287214.6471093,64.07,56.56,63.67,64.85,8.53,27.67
1734287214.77836,64.05,56.73,63.66,64.62,9.36,27.23
1734287214.9000604,64.29,56.47,63.57,64.59,8.97,27.23
1734287215.0267637,64.12,56.44,63.54,64.59,8.69,27.23
1734287215.1447573,64.08,56.58,63.38,64.57,8.69,27.23
1734287215.2779768,64.08,56.61,63.42,64.81,8.69,27.23
1734287215.3991587,63.81,56.73,63.81,64.92,8.69,27.23
1734287215.5303705,64.02,56.75,63.67,64.9,8.69,27.23
1734287215.654935,63.93,56.61,63.66,65.11,8.69,27.23
1734287215.780972,63.83,56.52,63.59,65.09,8.69,27.23
1734287215.905025,64.03,56.38,63.57,65.08,8.69,27.23
1734287216.0305665,64.05,56.38,63.72,65.3,8.69,27.23
1734287216.155192,64.03,56.72,63.62,65.13,8.69,27.23
1734287216.2818058,64.26,56.75,63.47,65.04,8.69,27.23
1734287216.399222,64.12,56.64,63.62,64.87,8.69,27.23
1734287216.5257268,64.05,56.81,63.62,64.69,8.69,27.23
1734287216.651924,64.21,56.72,63.45,64.88,8.69,27.23
1734287216.777501,64.05,56.62,63.4,64.85,8.31,26.57
1734287216.9043174,63.96,56.44,63.31,64.78,8.31,26.57
1734287217.026611,63.98,56.48,63.3,65.01,8.31,26.57
1734287217.143439,63.96,56.64,63.4,65.02,8.31,26.57
1734287217.2642028,64.15,56.66,63.45,64.8,7.91,26.57
1734287217.3970962,64.17,56.52,63.59,64.64,8.31,26.57
1734287217.5270865,63.84,56.41,63.76,64.9,7.91,26.57
1734287217.6537302,63.69,56.41,63.76,65.14,7.91,26.57
1734287217.7749968,63.69,56.39,63.76,65.41,7.91,26.57
1734287217.9030569,63.83,56.44,63.79,65.39,7.91,26.57
1734287218.0172286,64.08,56.5,63.6,65.32,7.91,26.57
1734287218.1543982,64.08,56.5,63.42,65.28,7.91,26.57
1734287218.2732756,63.96,56.45,63.4,65.21,7.65,26.57
1734287218.4040437,63.96,56.25,63.33,64.97,7.65,26.57
1734287218.526382,63.67,56.13,63.47,65.27,7.65,26.57
1734287218.6520667,63.43,56.3,63.71,65.55,8.49,26.12
1734287218.7764103,63.9,56.16,63.78,65.58,8.49,26.12
1734287218.9035766,64.14,56.05,63.76,65.34,8.57,25.91
1734287219.011717,64.15,56.08,63.49,65.04,8.1,26.12
1734287219.1455529,63.95,56.05,63.06,65.14,8.1,26.12
1734287219.2626283,63.67,55.99,63.26,65.35,8.1,26.12
1734287219.4033384,63.86,56.21,63.5,65.02,7.44,26.12
1734287219.5262735,64.1,56.3,63.59,65.09,7.91,25.91
1734287219.6412275,63.95,56.28,63.83,65.2,7.91,25.91
