Time(s),R1(O),R2(O),R3(O),R4(O),Angle1(deg),Angle2(deg)
1734288458.4837844,59.03,54.81,63.33,60.94,-7.19,4.33
1734288458.5426908,59.51,55.33,63.76,61.19,-7.19,4.33
1734288458.598122,60.11,55.62,64.02,61.34,-7.19,4.33
1734288458.6667914,60.18,55.71,64.64,61.77,-7.19,4.33
1734288458.7179449,60.25,56.19,65.39,62.04,-7.19,4.33
1734288458.7554708,60.34,56.25,65.45,62.57,-7.19,4.33
1734288458.8160064,60.41,56.31,66.07,63.22,-7.19,4.33
1734288458.879099,60.51,56.81,66.76,63.52,-7.19,4.33
1734288458.9326668,60.62,56.87,66.81,64.02,-7.19,4.33
1734288458.9737356,60.69,56.9,67.39,64.66,-7.19,4.33
1734288459.0335386,60.82,56.98,67.46,64.69,-7.19,4.33
1734288459.0950592,61.38,57.12,67.69,64.83,-7.19,4.33
1734288459.1325307,61.45,57.16,68.31,65.48,-7.19,4.33
1734288459.1841383,61.63,57.25,68.4,65.55,-7.19,4.33
1734288459.2533894,61.75,56.87,67.85,64.99,-7.19,4.33
1734288459.309215,61.76,56.47,67.78,65.35,-7.19,4.33
1734288459.3588908,61.45,56.03,67.44,65.16,-7.19,4.33
1734288459.412631,61.4,56.1,67.4,65.13,-7.19,4.33
1734288459.4591284,61.42,56.03,67.37,65.34,-7.19,4.33
1734288459.5022852,61.53,55.65,66.71,65.13,-7.19,4.33
1734288459.5553882,62.0,55.73,66.87,64.71,-7.19,4.33
1734288459.613423,62.02,55.7,66.85,64.69,-7.19,4.33
1734288459.6625206,62.1,55.3,66.25,64.45,-7.19,4.33
1734288459.7186742,62.55,55.59,66.51,64.09,-7.22,4.33
1734288459.7776473,62.57,55.59,66.55,64.09,-7.19,4.33
1734288459.817474,62.62,55.59,66.58,64.12,-7.19,4.33
1734288459.8744023,62.62,55.96,66.64,64.16,-7.19,4.33
1734288459.923058,62.64,55.94,66.65,64.17,-7.19,4.33
1734288459.9918656,62.64,55.93,66.67,64.17,-7.19,4.33
1734288460.0297334,62.64,56.3,66.73,64.21,-7.19,4.33
1734288460.0819554,62.64,56.3,66.73,64.19,-7.19,4.33
1734288460.1512065,62.64,56.28,66.73,64.19,-7.19,4.33
1734288460.192089,62.64,56.44,66.78,64.24,-7.19,4.33
1734288460.2454505,62.64,56.42,66.78,64.23,-7.19,4.33
1734288460.2982523,62.64,56.41,66.78,64.23,-7.19,4.33
1734288460.3473463,62.64,56.39,66.8,64.23,-7.19,4.33
1734288460.4134016,62.64,56.38,66.81,64.24,-7.19,4.33
1734288460.465957,62.64,56.36,66.83,64.24,-7.19,4.33
1734288460.5330222,62.64,56.34,66.76,64.24,-7.19,4.33
1734288460.573953,62.64,56.34,66.89,64.24,-7.19,4.33
1734288460.6406033,62.64,56.34,66.89,64.24,-7.19,4.33
1734288460.6942372,62.64,56.17,66.83,64.21,-7.19,4.33
1734288460.7401836,62.64,56.19,66.81,64.19,-7.19,4.33
1734288460.7987354,62.64,56.19,66.8,64.19,-7.19,4.33
1734288460.84508,62.64,56.02,66.74,64.16,-7.19,4.33
1734288460.8930037,62.64,56.02,66.74,64.16,-7.19,4.33
1734288460.9428186,62.64,56.02,66.73,64.16,-7.19,4.33
1734288461.0057695,62.64,55.85,66.67,64.12,-7.19,4.33
1734288461.050045,62.64,55.85,66.67,64.12,-7.19,4.33
1734288461.1027396,62.64,55.85,66.65,64.12,-7.19,4.33
1734288461.1712527,62.64,56.24,66.67,64.16,-7.19,4.33
1734288461.2131765,62.64,56.24,66.64,64.16,-7.19,4.33
1734288461.2681534,62.64,56.24,66.62,64.16,1.91,2.89
1734288461.310573,62.64,56.41,66.64,64.19,2.38,3.85
1734288461.3636997,62.64,56.41,66.51,64.19,3.87,3.85
1734288461.4327402,62.64,56.41,66.49,64.19,4.35,3.85
1734288461.476039,62.64,56.27,66.51,64.19,4.35,3.85
1734288461.539191,62.64,56.38,66.55,64.21,5.85,3.85
1734288461.608363,62.64,56.5,66.6,64.21,6.24,3.85
1734288461.726911,62.64,56.64,66.65,64.23,6.33,3.85
1734288461.8580184,62.64,56.75,66.69,64.23,6.8,3.85
1734288461.975988,62.64,56.87,66.74,64.23,7.74,3.85
1734288462.1036863,62.64,57.16,66.81,64.24,8.31,3.85
1734288462.222378,62.64,57.3,66.85,64.24,9.25,3.85
1734288462.3569467,62.64,57.42,66.9,64.24,9.36,3.85
1734288462.4763978,62.64,57.38,66.89,64.21,9.83,3.85
1734288462.6022868,62.65,57.55,66.96,64.21,17.22,3.85
1734288462.7211108,62.65,57.71,67.03,64.23,19.44,3.37
1734288462.852402,62.65,57.67,67.01,64.19,18.96,3.85
1734288462.974405,62.67,57.83,67.06,64.21,18.96,3.85
1734288463.0913403,62.67,57.99,67.14,64.23,19.89,3.37
1734288463.2238824,62.67,58.2,67.14,64.23,19.89,3.37
1734288463.34299,62.69,58.25,67.15,64.23,19.89,3.37
1734288463.4710145,62.69,58.28,67.17,64.24,19.89,3.37
1734288463.5936625,62.69,58.28,67.15,64.21,19.89,3.37
1734288463.705026,62.7,58.33,67.17,64.23,19.89,3.37
1734288463.839274,62.7,58.36,67.19,64.24,20.34,3.37
1734288463.955473,62.7,58.13,67.14,64.23,20.09,3.37
1734288464.0892198,62.72,58.17,67.15,64.24,19.89,3.37
1734288464.2059364,62.72,58.2,67.17,64.26,20.34,3.37
1734288464.3380437,62.72,58.21,67.19,64.26,19.89,3.37
1734288464.4547503,62.72,58.2,67.19,64.24,19.44,3.37
1734288464.5889578,62.59,58.56,67.76,64.42,18.8,3.37
1734288464.7075229,62.15,58.26,67.66,64.81,17.4,3.85
1734288464.823902,62.13,58.29,67.69,64.81,17.7,3.37
1734288464.9559534,62.43,58.71,68.03,64.99,15.51,3.85
1734288465.086578,62.49,58.68,68.07,65.01,15.05,3.85
1734288465.2076764,62.49,59.0,68.13,64.71,12.43,3.85
1734288465.326438,62.76,59.38,68.38,64.83,10.3,3.85
