Time(s),R1(O),R2(O),R3(O),R4(O),Angle1(deg),Angle2(deg)
1734289452.4033198,57.27,49.92,58.95,58.52,-5.84,4.89
1734289452.4549737,57.69,50.15,59.0,58.54,-6.32,4.89
1734289452.5100896,57.72,50.22,59.0,58.54,-5.84,4.89
1734289452.5701523,57.72,50.29,59.16,59.1,-5.84,4.89
1734289452.6200578,57.74,50.82,59.94,59.55,-5.84,4.89
1734289452.6835322,58.31,51.28,60.34,59.7,-5.84,4.89
1734289452.7211316,58.69,51.4,60.54,59.84,-5.84,4.89
1734289452.7770047,59.11,51.85,61.08,60.15,-5.84,4.89
1734289452.835219,59.14,51.85,61.53,60.89,-5.84,4.89
1734289452.8859658,59.29,51.88,61.53,60.91,-5.84,4.89
1734289452.9377334,60.0,52.1,61.61,61.04,-5.84,4.89
1734289452.983658,60.1,52.51,62.22,61.64,-5.84,4.89
1734289453.043573,60.29,52.55,62.22,61.65,-5.84,4.89
1734289453.0903666,59.92,52.29,61.65,60.87,-5.84,4.89
1734289453.1395664,60.05,52.36,61.7,60.86,-5.84,4.89
1734289453.1935675,59.32,51.92,61.48,61.34,-5.84,4.89
1734289453.2502956,59.06,51.85,61.58,61.34,-5.84,4.89
1734289453.3204544,59.55,52.21,62.03,61.47,-5.84,4.89
1734289453.3530908,59.56,52.14,62.57,61.62,-5.84,4.89
1734289453.4066358,59.64,51.62,61.86,61.24,-5.84,4.89
1734289453.4702196,59.68,51.25,61.48,61.2,-5.84,4.89
1734289453.5245523,59.3,51.57,61.86,61.64,-5.84,4.89
1734289453.5701444,58.95,51.14,61.32,61.77,-5.84,4.89
1734289453.621047,59.34,51.23,60.89,61.04,-5.84,4.89
1734289453.6744215,59.63,51.7,61.48,61.19,-5.84,4.89
1734289453.7331362,59.05,51.52,61.88,61.64,-5.84,4.89
1734289453.7957814,59.21,51.25,61.3,61.04,-5.84,4.89
1734289453.8324432,59.56,51.53,61.42,61.05,-5.84,4.89
1734289453.8916774,59.46,51.81,62.1,61.7,-5.84,4.89
1734289453.9544516,59.22,51.34,61.53,61.4,-5.84,4.89
1734289454.011799,59.48,51.31,61.66,60.86,-5.84,4.89
1734289454.0643458,59.59,51.59,62.25,61.17,-5.84,4.89
1734289454.1002915,59.09,51.14,61.88,61.74,-5.84,4.89
1734289454.1558592,59.27,51.18,61.2,61.12,-5.84,4.89
1734289454.2101765,59.74,51.65,61.35,61.15,-5.84,4.89
1734289454.2635145,59.22,51.54,61.85,61.77,-5.84,4.89
1734289454.3216226,59.45,51.14,61.27,61.19,-5.84,4.89
1734289454.369846,60.08,51.27,61.32,60.76,-5.84,4.89
1734289454.4255636,59.76,51.73,61.95,61.34,-5.84,4.89
1734289454.4695458,59.5,51.31,61.35,61.65,-5.84,4.89
1734289454.5222795,59.56,51.47,60.9,61.09,-5.84,4.89
1734289454.577444,59.79,51.79,61.58,61.32,-5.84,4.89
1734289454.62808,59.25,51.56,62.07,61.94,-5.84,4.89
1734289454.6762366,59.38,51.11,61.5,61.29,-5.84,4.89
1734289454.7297964,59.9,51.17,61.48,61.32,-5.84,4.89
1734289454.7879016,59.63,51.47,62.03,62.12,-5.84,4.89
1734289454.844683,59.4,51.05,61.3,61.87,-5.84,4.89
1734289454.9157057,59.71,51.12,61.23,61.27,-5.84,4.89
1734289454.9634144,59.92,51.54,61.81,61.59,-5.84,4.89
1734289455.0182395,59.5,51.07,61.55,62.0,-5.84,4.89
1734289455.065894,59.71,51.14,61.02,61.27,-5.84,4.89
1734289455.1033938,60.0,51.72,61.37,61.39,-5.84,4.89
1734289455.1567364,59.32,51.65,61.91,61.99,-5.84,4.89
1734289455.2055657,59.3,51.23,61.28,61.39,-5.84,4.89
1734289455.2602274,59.68,51.25,61.47,60.92,-5.84,4.89
1734289455.3249483,59.48,51.59,62.23,61.57,-5.84,4.89
1734289455.3731005,59.03,51.14,61.61,61.87,-5.84,4.89
1734289455.424217,59.27,51.11,61.15,61.32,-5.84,4.89
1734289455.4772265,59.63,51.53,61.56,61.65,-5.84,4.89
