imgnum,timestamp,Angle1(deg),Angle2(deg)
0,1734287201.969103,10.31,29.68
1,1734287202.0041747,10.61,29.68
2,1734287202.0546994,10.61,29.68
3,1734287202.1055386,10.61,29.68
4,1734287202.1582112,10.61,29.68
5,1734287202.2124407,10.61,29.68
6,1734287202.2679558,10.61,29.68
7,1734287202.322654,10.31,29.68
8,1734287202.36857,10.31,29.68
9,1734287202.4253018,10.31,29.68
10,1734287202.4761386,10.31,29.68
11,1734287202.536732,10.31,29.68
12,1734287202.5900054,10.31,29.68
13,1734287202.6435056,10.31,29.68
14,1734287202.6950488,10.31,29.68
15,1734287202.7526116,10.31,29.68
16,1734287202.8085363,10.31,29.68
17,1734287202.8624756,10.31,29.68
18,1734287202.9168842,10.31,29.68
19,1734287202.9695776,10.31,29.68
20,1734287203.0236056,10.31,29.68
21,1734287203.075618,10.31,29.68
22,1734287203.12976,10.31,29.68
23,1734287203.1804314,10.31,29.68
24,1734287203.2336314,10.31,29.68
25,1734287203.2890155,10.31,29.68
26,1734287203.339769,10.31,29.68
27,1734287203.3928757,10.31,29.68
28,1734287203.445072,10.31,29.68
29,1734287203.4986317,10.31,29.68
30,1734287203.5531166,10.31,29.68
31,1734287203.601365,10.31,29.68
32,1734287203.6547863,10.31,29.68
33,1734287203.706809,10.31,29.68
34,1734287203.757439,10.31,29.68
35,1734287203.806206,10.31,29.68
36,1734287203.859044,10.31,29.68
37,1734287203.9198546,10.31,29.68
38,1734287203.9744701,10.31,29.68
39,1734287204.0274143,10.61,29.68
40,1734287204.0813959,10.31,29.68
41,1734287204.1344779,10.31,29.68
42,1734287204.1900709,10.31,29.68
43,1734287204.2401214,10.31,29.68
44,1734287204.2906268,10.31,29.68
45,1734287204.3402014,10.31,29.68
46,1734287204.388643,10.31,29.68
47,1734287204.4522638,10.61,29.68
48,1734287204.5074503,10.31,29.68
49,1734287204.5588336,10.31,29.68
50,1734287204.6111202,10.31,29.68
51,1734287204.6697428,10.31,29.68
52,1734287204.725983,10.31,29.68
53,1734287204.774365,9.94,29.68
54,1734287204.8333673,9.94,29.68
55,1734287204.8937304,9.94,29.68
56,1734287204.9454165,9.94,29.68
57,1734287204.9982114,10.18,29.44
58,1734287205.052406,10.49,29.44
59,1734287205.1067982,9.82,29.44
60,1734287205.1595242,9.82,29.44
61,1734287205.21872,9.82,29.44
62,1734287205.2674246,9.82,29.44
63,1734287205.3225806,9.82,29.44
64,1734287205.3723738,9.82,29.44
65,1734287205.4271417,10.18,29.44
66,1734287205.4758415,9.82,29.44
67,1734287205.52794,10.18,29.44
68,1734287205.5822895,9.82,29.44
69,1734287205.7028482,9.82,29.44
70,1734287205.8214943,9.82,29.44
71,1734287205.9556797,9.82,29.44
72,1734287206.065116,9.82,29.44
73,1734287206.190406,9.82,29.44
74,1734287206.3166025,9.82,29.44
75,1734287206.4498365,10.25,29.01
76,1734287206.5635674,9.95,29.01
77,1734287206.6876986,10.25,29.01
78,1734287206.8164175,10.25,29.01
79,1734287206.934766,10.25,29.01
80,1734287207.0686953,9.95,29.01
81,1734287207.189574,9.95,29.01
82,1734287207.3075526,10.25,29.01
83,1734287207.4340196,9.95,29.01
84,1734287207.5689664,9.95,29.01
85,1734287207.6876686,9.95,29.01
86,1734287207.8065252,9.95,29.01
87,1734287207.9376588,9.95,29.01
88,1734287208.0667152,9.58,29.01
89,1734287208.1857157,9.28,29.01
90,1734287208.3045654,9.58,29.01
91,1734287208.4334037,9.28,29.01
92,1734287208.5544827,9.28,29.01
93,1734287208.687392,9.28,29.01
94,1734287208.8031633,8.91,29.01
95,1734287208.9356601,10.63,28.33
96,1734287209.0549204,10.26,28.33
97,1734287209.189055,10.26,28.33
98,1734287209.3040564,9.44,28.77
99,1734287209.4378252,9.44,28.77
100,1734287209.5566146,9.44,28.77
101,1734287209.6724062,9.96,28.33
102,1734287209.8058543,9.96,28.33
103,1734287209.9328344,9.96,28.33
104,1734287210.0503092,9.96,28.33
105,1734287210.188028,9.59,28.33
106,1734287210.3063164,9.59,28.33
