imgnum,timestamp,Angle1(deg),Angle2(deg)
0,1734286854.2295103,16.91,2.91
1,1734286854.2701366,16.61,2.91
2,1734286854.319114,17.07,2.91
3,1734286854.3653998,16.61,2.91
4,1734286854.420535,17.07,2.91
5,1734286854.476068,17.07,2.91
6,1734286854.5283802,16.61,2.91
7,1734286854.5838203,17.07,2.91
8,1734286854.63905,17.07,2.91
9,1734286854.6918018,17.07,2.91
10,1734286854.7469573,17.07,2.91
11,1734286854.7990382,17.07,2.91
12,1734286854.8516238,17.07,2.91
13,1734286854.9089897,17.07,2.91
14,1734286854.9606626,17.07,2.91
15,1734286855.0109863,17.07,2.91
16,1734286855.0703015,17.07,2.91
17,1734286855.1240122,17.07,2.91
18,1734286855.1790018,17.53,2.91
19,1734286855.2292511,17.07,2.91
20,1734286855.2813497,17.07,2.91
21,1734286855.334832,17.53,2.91
22,1734286855.3876154,17.53,2.91
23,1734286855.4374757,17.53,2.91
24,1734286855.4919946,17.53,2.91
25,1734286855.5444489,17.53,2.91
26,1734286855.5959504,17.53,2.91
27,1734286855.6515813,17.53,2.91
28,1734286855.7036562,17.7,2.91
29,1734286855.75701,17.7,2.91
30,1734286855.8070104,17.53,2.91
31,1734286855.8635678,17.53,2.91
32,1734286855.9136636,17.7,2.91
33,1734286855.9623058,17.7,2.91
34,1734286856.0143518,17.7,2.91
35,1734286856.063336,17.7,2.91
36,1734286856.1177692,17.7,2.91
37,1734286856.1708708,17.7,2.91
38,1734286856.2250705,17.7,2.91
39,1734286856.2787821,17.7,2.91
40,1734286856.3323452,17.7,2.91
41,1734286856.3851533,17.7,2.91
42,1734286856.4366207,17.7,2.91
43,1734286856.4861212,17.7,2.91
44,1734286856.5412397,17.7,2.91
45,1734286856.5961368,17.7,2.91
46,1734286856.650749,17.7,2.91
47,1734286856.7060404,17.7,2.91
48,1734286856.7602766,17.7,2.91
49,1734286856.8129978,17.7,2.91
50,1734286856.8646169,17.7,2.91
51,1734286856.917809,17.7,2.91
52,1734286856.9700043,17.7,2.91
53,1734286857.0251782,17.7,2.91
54,1734286857.0762782,17.7,2.91
55,1734286857.1250367,17.7,2.91
56,1734286857.185909,17.7,2.91
57,1734286857.2410207,17.7,2.91
58,1734286857.2936263,17.7,2.91
59,1734286857.3470912,17.7,2.91
60,1734286857.403187,17.7,2.91
61,1734286857.4592588,17.7,2.91
62,1734286857.5077784,17.7,2.91
63,1734286857.5602515,17.7,2.91
64,1734286857.613376,17.7,2.91
65,1734286857.6614454,17.7,2.91
66,1734286857.7149522,17.7,2.91
67,1734286857.7686534,17.7,2.91
68,1734286857.8225794,17.7,2.91
69,1734286857.9363542,17.7,2.91
70,1734286858.057398,17.7,2.91
71,1734286858.1905105,17.7,2.91
72,1734286858.305665,17.7,2.91
73,1734286858.4272382,17.7,2.91
74,1734286858.560352,17.7,2.91
75,1734286858.68687,17.7,2.91
76,1734286858.8114147,17.07,2.91
77,1734286858.9234252,17.07,2.91
78,1734286859.0457706,16.61,2.91
79,1734286859.173766,16.61,2.91
80,1734286859.3081555,16.45,2.91
81,1734286859.4270701,16.45,2.91
82,1734286859.5423856,16.45,2.91
83,1734286859.6737432,15.99,2.91
84,1734286859.7909293,15.99,2.91
85,1734286859.9232273,15.52,2.91
86,1734286860.0431595,15.99,2.91
87,1734286860.174809,15.99,2.91
88,1734286860.2911332,15.99,2.91
89,1734286860.4250937,15.52,2.91
90,1734286860.5435572,15.99,2.91
91,1734286860.66917,15.99,2.91
92,1734286860.7947657,15.52,2.91
93,1734286860.9135008,15.99,2.91
94,1734286861.0487645,15.99,2.91
95,1734286861.1713572,15.52,2.91
96,1734286861.2929301,15.83,2.91
97,1734286861.4207618,15.99,2.91
98,1734286861.536367,15.99,2.91
99,1734286861.658702,15.52,2.91
100,1734286861.7956161,15.37,2.91
101,1734286861.9223676,15.37,2.91
102,1734286862.0410962,15.37,2.91
103,1734286862.160335,14.76,2.91
104,1734286862.2908626,14.76,2.91
105,1734286862.4152222,14.91,2.91
106,1734286862.540782,14.91,2.91
107,1734286862.658802,14.91,2.91
108,1734286862.7932885,14.44,2.91
109,1734286862.910049,14.44,2.91
110,1734286863.0409615,14.44,2.91
111,1734286863.1591806,14.91,2.91
112,1734286863.2941513,14.44,2.91
113,1734286863.4095664,13.84,2.91
114,1734286863.5405712,12.29,3.39
115,1734286863.6637049,12.77,2.91
116,1734286863.7845948,12.18,2.91
117,1734286863.9083316,11.71,2.91
118,1734286864.0294797,10.76,3.39
119,1734286864.1586828,10.29,3.39
120,1734286864.2755075,10.29,3.39
121,1734286864.4014268,10.29,3.39
122,1734286864.5374696,9.82,3.39
123,1734286864.6550684,9.71,3.39
124,1734286864.7796874,9.71,3.39
125,1734286864.9057662,10.29,3.39
126,1734286865.0210137,10.76,3.39
127,1734286865.1541772,10.76,3.39
128,1734286865.2781203,10.88,3.39
129,1734286865.4069996,11.23,3.39
130,1734286865.5237374,11.35,3.39
131,1734286865.6594112,11.7,3.39
132,1734286865.7766986,11.35,3.39
133,1734286865.9061136,11.82,3.39
134,1734286866.023688,11.82,3.39
135,1734286866.15802,11.82,3.39
136,1734286866.2775617,11.82,3.39
137,1734286866.3937757,12.77,2.91
138,1734286866.5216458,11.82,3.39
139,1734286866.654345,11.82,3.39
140,1734286866.769163,11.82,3.39
141,1734286866.8961592,12.77,2.91
142,1734286867.0185013,11.35,3.39
143,1734286867.1551363,11.35,3.39
144,1734286867.2733269,11.35,3.39
145,1734286867.3918839,11.23,3.39
146,1734286867.5106957,11.23,3.39
147,1734286867.6419072,10.88,3.39
148,1734286867.7593317,10.76,3.39
149,1734286867.892456,10.29,3.39
150,1734286868.02628,10.29,3.39
151,1734286868.1463966,9.71,3.39
152,1734286868.2645843,9.71,3.39
153,1734286868.3877714,9.71,3.39
154,1734286868.523573,9.82,3.39
155,1734286868.6427448,9.71,3.39
156,1734286868.7704515,9.24,3.39
157,1734286868.8898923,9.24,3.39
158,1734286869.009578,9.24,3.39
159,1734286869.1428602,9.24,3.39
160,1734286869.2591362,9.24,3.39
161,1734286869.3887784,9.24,3.39
162,1734286869.5041914,9.24,3.39
163,1734286869.6366446,9.24,3.39
164,1734286869.759375,9.24,3.39
165,1734286869.8868103,8.77,3.39
166,1734286870.0084705,8.77,3.39
167,1734286870.1415386,8.77,3.39
168,1734286870.2610545,8.77,3.39
169,1734286870.3826878,8.2,3.39
170,1734286870.5096197,7.73,3.39
171,1734286870.6388378,7.73,3.39
172,1734286870.758191,7.73,3.39
173,1734286870.887874,7.73,3.39
174,1734286871.0062509,7.26,3.39
175,1734286871.1255183,7.26,3.39
176,1734286871.2550683,7.26,3.39
177,1734286871.3893347,7.26,3.39
178,1734286871.5060973,7.26,3.39
179,1734286871.6273417,7.26,3.39
180,1734286871.7541893,7.26,3.39
181,1734286871.8728874,7.26,3.39
182,1734286872.00577,7.26,3.39
183,1734286872.1192415,7.26,3.39
184,1734286872.2571764,6.7,3.39
185,1734286872.3771982,6.31,3.39
186,1734286872.5117967,5.76,3.39
187,1734286872.6293926,5.76,3.39
188,1734286872.7510045,5.28,3.39
189,1734286872.8756707,4.32,3.88
190,1734286873.004286,4.32,3.88
191,1734286873.122282,4.32,3.88
192,1734286873.259521,3.84,3.88
193,1734286873.378217,3.84,3.88
194,1734286873.492224,3.84,3.88
195,1734286873.620571,3.78,3.88
196,1734286873.7551506,3.78,3.88
197,1734286873.873399,3.84,3.88
198,1734286874.003122,3.3,3.88
199,1734286874.1261284,3.3,3.88
200,1734286874.2445707,3.3,3.88
201,1734286874.377093,3.3,3.88
202,1734286874.4946125,3.3,3.88
203,1734286874.609052,3.3,3.88
204,1734286874.7463539,3.36,3.88
205,1734286874.8723533,3.3,3.88
206,1734286874.9898849,2.83,3.88
207,1734286875.123595,2.35,3.88
208,1734286875.2367954,1.88,3.88
209,1734286875.3614635,1.88,3.88
210,1734286875.4869227,1.88,3.88
211,1734286875.6239197,1.4,3.88
212,1734286875.7420158,1.4,3.88
213,1734286875.857396,1.4,3.88
214,1734286875.9876764,0.92,3.88
215,1734286876.108153,0.92,3.88
216,1734286876.2409582,0.92,3.88
217,1734286876.3570309,0.92,3.88
218,1734286876.488963,0.88,3.88
219,1734286876.6080294,0.92,3.88
220,1734286876.7378626,0.45,3.88
221,1734286876.8555799,0.45,3.88
222,1734286876.9884374,0.45,3.88
223,1734286877.1096222,0.45,3.88
224,1734286877.2342162,0.41,3.88
225,1734286877.350342,-0.03,3.88
226,1734286877.497422,-0.54,3.88
227,1734286877.599219,-0.54,3.88
228,1734286877.7253478,-1.02,3.88
229,1734286877.8617938,-1.49,3.88
230,1734286877.9800026,-1.47,3.88
231,1734286878.1135876,-1.49,3.88
232,1734286878.222702,-1.49,3.88
233,1734286878.3545938,-1.97,3.88
234,1734286878.469923,-1.97,3.88
235,1734286878.6027558,-1.97,3.88
236,1734286878.7225652,-1.97,3.88
237,1734286878.8492165,-1.97,3.88
238,1734286878.9787097,-2.45,3.88
239,1734286879.1030352,-2.45,3.88
240,1734286879.2198324,-2.93,3.88
241,1734286879.3537824,-2.93,3.88
242,1734286879.4704843,-2.93,3.88
243,1734286879.606203,-3.4,3.88
244,1734286879.7260919,-3.4,3.88
245,1734286879.8396869,-3.4,3.88
246,1734286879.9752753,-3.88,3.88
247,1734286880.1022544,-3.88,3.88
248,1734286880.2237086,-3.88,3.88
249,1734286880.3413515,-4.36,3.88
250,1734286880.4750159,-4.36,3.88
251,1734286880.592273,-4.83,3.88
252,1734286880.71378,-4.83,3.88
253,1734286880.8424053,-4.83,3.88
254,1734286880.9704654,-5.31,3.88
255,1734286881.103881,-5.31,3.88
256,1734286881.2225404,-5.31,3.88
257,1734286881.3441582,-5.31,3.88
258,1734286881.4740584,-5.31,3.88
259,1734286881.594737,-5.31,3.88
260,1734286881.7130542,-5.31,3.88
261,1734286881.8347068,-5.79,3.88
262,1734286881.9637382,-6.27,3.88
263,1734286882.0875292,-6.27,3.88
264,1734286882.2204175,-6.27,3.88
265,1734286882.338159,-6.27,3.88
266,1734286882.4617088,-6.27,3.88
267,1734286882.5943024,-6.27,3.88
268,1734286882.7108448,-6.27,3.88
269,1734286882.8434653,-6.27,3.88
270,1734286882.9634743,-6.27,3.88
271,1734286883.0818553,-6.27,3.88
272,1734286883.204773,-6.27,3.88
273,1734286883.3402765,-6.27,3.88
274,1734286883.4588995,-6.27,3.88
275,1734286883.5846615,-6.27,3.88
276,1734286883.703427,-6.27,3.88
277,1734286883.8373888,-6.27,3.88
278,1734286883.9554145,-6.27,3.88
279,1734286884.0914857,-5.79,3.88
280,1734286884.2015395,-5.79,3.88
281,1734286884.33928,-4.34,3.39
282,1734286884.459278,-3.87,3.39
283,1734286884.5752978,-3.39,3.39
284,1734286884.7011163,-2.91,3.39
285,1734286884.8385248,-2.91,3.39
286,1734286884.9562724,-2.44,3.39
287,1734286885.0938594,-2.44,3.39
288,1734286885.202951,-1.96,3.39
289,1734286885.3338923,-1.96,3.39
290,1734286885.4562578,-1.96,3.39
291,1734286885.5743973,-1.96,3.39
292,1734286885.7054098,-1.96,3.39
293,1734286885.817927,-1.96,3.39
294,1734286885.95548,-1.48,3.39
295,1734286886.0735734,-1.48,3.39
296,1734286886.2091072,-1.48,3.39
297,1734286886.326573,-1.46,3.39
298,1734286886.4455614,-1.0,3.39
299,1734286886.5741155,-0.53,3.39
300,1734286886.693621,-0.05,3.39
301,1734286886.8279555,0.42,3.39
302,1734286886.9429657,0.94,3.39
303,1734286887.072798,1.89,2.91
304,1734286887.19133,2.37,2.91
305,1734286887.323306,2.37,2.91
306,1734286887.4425783,2.85,2.91
307,1734286887.5766876,2.85,2.91
308,1734286887.6928694,2.85,2.91
309,1734286887.8324203,3.32,2.91
310,1734286887.9512124,3.32,2.91
311,1734286888.0678647,3.32,2.91
312,1734286888.1868527,3.32,2.91
313,1734286888.3107722,3.32,2.91
314,1734286888.4427652,3.8,2.91
315,1734286888.5621648,3.8,2.91
316,1734286888.696478,4.75,2.91
317,1734286888.822309,5.29,2.91
318,1734286888.9350505,5.76,2.91
319,1734286889.0594025,6.24,2.91
320,1734286889.1931617,6.31,2.91
321,1734286889.3112533,6.79,2.91
322,1734286889.4330022,6.79,2.91
323,1734286889.5627406,6.79,2.91
324,1734286889.6896281,7.27,2.91
325,1734286889.8080952,7.27,2.91
326,1734286889.9355695,7.27,2.91
327,1734286890.0713234,7.74,2.91
328,1734286890.1831734,7.74,2.91
329,1734286890.3075805,7.74,2.91
330,1734286890.4403791,8.21,2.91
331,1734286890.5592284,8.78,2.91
332,1734286890.6910522,9.25,2.91
333,1734286890.8079793,9.25,2.91
334,1734286890.9341002,9.72,2.91
335,1734286891.0533803,10.19,2.91
336,1734286891.1885247,10.77,2.91
337,1734286891.3128295,10.77,2.91
338,1734286891.423677,10.77,2.91
339,1734286891.554919,10.77,2.91
340,1734286891.672671,10.66,2.91
341,1734286891.8075294,10.77,2.91
342,1734286891.924768,10.77,2.91
343,1734286892.050092,10.77,2.91
344,1734286892.173413,10.89,2.91
345,1734286892.3067756,11.24,2.91
346,1734286892.4263659,11.71,2.91
347,1734286892.5448709,11.71,2.91
348,1734286892.6794147,11.83,2.91
349,1734286892.8007412,12.3,2.91
350,1734286892.9174912,12.3,2.91
351,1734286893.038723,12.3,2.91
352,1734286893.180501,13.25,2.43
353,1734286893.3022811,12.3,2.91
354,1734286893.4198644,13.25,2.43
355,1734286893.5574033,13.25,2.43
356,1734286893.6626077,12.3,2.91
357,1734286893.7929547,13.25,2.43
358,1734286893.927333,13.85,2.43
359,1734286894.045359,13.85,2.43
360,1734286894.1751442,14.32,2.43
